Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Nevada (Mountain West),12,5-7,830,4586,5.53,38,
Wisconsin (Big Ten),14,11-3,981,5350,5.45,45,
Nebraska (Big Ten),13,9-4,923,4951,5.36,42,
UCLA (Pac-12),12,4-8,839,4558,5.43,35,
Ga. Southern (Sun Belt),12,5-7,870,4558,5.24,37,
Arkansas St. (Sun Belt),13,8-5,919,4932,5.37,40,
San Jose St. (Mountain West),12,4-8,851,4534,5.33,34,
Maryland (Big Ten),13,6-7,875,4911,5.61,41,
Utah St. (Mountain West),12,3-9,793,4515,5.69,35,
UTSA (C-USA),13,6-7,907,4881,5.38,48,
FIU (C-USA),12,4-8,830,4503,5.43,35,
Cincinnati (AAC),12,4-8,850,4489,5.28,27,
ULM (Sun Belt),12,4-8,876,4480,5.11,36,
Charlotte (C-USA),12,4-8,897,4434,4.94,35,
UTEP (C-USA),12,4-8,736,4430,6.02,41,
Stanford (Pac-12),13,10-3,827,4772,5.77,35,
Miami (OH) (MAC),13,6-7,842,4770,5.67,36,
Oregon St. (Pac-12),12,4-8,795,4386,5.52,37,
Kansas (Big 12),12,2-10,870,4314,4.96,27,
Minnesota (Big Ten),13,9-4,886,4644,5.24,43,
Louisiana (Sun Belt),13,6-7,929,4643,5.00,33,
Massachusetts (FBS Independent),12,2-10,802,4274,5.33,37,
Vanderbilt (SEC),13,6-7,891,4624,5.19,35,
Buffalo (MAC),12,2-10,823,4245,5.16,23,
Virginia (ACC),12,2-10,871,4235,4.86,36,
UCF (AAC),13,6-7,975,4561,4.68,39,
Marshall (C-USA),12,3-9,834,4200,5.04,40,
South Carolina (SEC),13,6-7,877,4518,5.15,32,
Florida (SEC),13,9-4,862,4472,5.19,29,
North Texas (C-USA),13,5-8,875,4444,5.08,39,
Tulane (AAC),12,4-8,849,4097,4.83,35,
Georgia St. (Sun Belt),12,3-9,755,4007,5.31,27,
Fresno St. (Mountain West),12,1-11,845,3951,4.68,24,
Iowa (Big Ten),13,8-5,812,4225,5.20,40,
UConn (AAC),12,3-9,798,3840,4.81,19,
Illinois (Big Ten),12,3-9,711,3781,5.32,27,
Wake Forest (ACC),13,7-6,886,4049,4.57,26,
Kent St. (MAC),12,3-9,765,3710,4.85,26,
Texas St. (Sun Belt),12,2-10,841,3628,4.31,27,
Boston College (ACC),13,7-6,862,3807,4.42,30,
Rutgers (Big Ten),12,2-10,821,3398,4.14,19,
Coastal Carolina (FBS Independent),12,10-2,798,4652,5.83,46,
