Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Oklahoma (Big 12),13,11-2,8,9,17,9,8,17,0,0.00
Southern California (Pac-12),13,10-3,6,14,20,9,11,20,0,0.00
Clemson (ACC),15,14-1,7,20,27,11,17,28,-1,-0.07
Virginia Tech (ACC),14,10-4,9,16,25,18,8,26,-1,-0.07
Colorado St. (Mountain West),13,7-6,6,8,14,8,7,15,-1,-0.08
New Mexico (Mountain West),13,9-4,5,8,13,8,6,14,-1,-0.08
Syracuse (ACC),12,4-8,9,10,19,7,13,20,-1,-0.08
San Jose St. (Mountain West),12,4-8,9,10,19,5,15,20,-1,-0.08
NIU (MAC),12,5-7,2,14,16,4,13,17,-1,-0.08
Middle Tenn. (C-USA),13,8-5,8,11,19,6,15,21,-2,-0.15
South Alabama (Sun Belt),13,6-7,10,10,20,8,14,22,-2,-0.15
Tennessee (SEC),13,9-4,13,11,24,14,12,26,-2,-0.15
North Carolina (ACC),13,8-5,13,1,14,10,6,16,-2,-0.15
UCLA (Pac-12),12,4-8,8,15,23,9,16,25,-2,-0.17
Illinois (Big Ten),12,3-9,11,7,18,11,9,20,-2,-0.17
Army West Point (FBS Independent),13,8-5,5,17,22,14,11,25,-3,-0.23
Texas (Big 12),12,5-7,10,10,20,11,12,23,-3,-0.25
Oregon (Pac-12),12,4-8,3,9,12,9,6,15,-3,-0.25
Ole Miss (SEC),12,5-7,8,8,16,5,14,19,-3,-0.25
Missouri (SEC),12,4-8,5,15,20,13,10,23,-3,-0.25
Iowa St. (Big 12),12,3-9,4,9,13,8,8,16,-3,-0.25
Toledo (MAC),13,9-4,4,6,10,5,9,14,-4,-0.31
TCU (Big 12),13,6-7,8,8,16,6,14,20,-4,-0.31
Arkansas (SEC),13,7-6,11,10,21,10,15,25,-4,-0.31
Duke (ACC),12,4-8,9,10,19,14,9,23,-4,-0.33
Texas Tech (Big 12),12,5-7,8,5,13,6,11,17,-4,-0.33
Notre Dame (FBS Independent),12,4-8,6,8,14,9,9,18,-4,-0.33
Arizona St. (Pac-12),12,5-7,8,9,17,7,14,21,-4,-0.33
Baylor (Big 12),13,7-6,10,12,22,12,15,27,-5,-0.38
Michigan St. (Big Ten),12,3-9,5,8,13,7,11,18,-5,-0.42
Georgia St. (Sun Belt),12,3-9,7,11,18,8,15,23,-5,-0.42
Utah St. (Mountain West),12,3-9,3,7,10,6,9,15,-5,-0.42
UTEP (C-USA),12,4-8,5,6,11,8,8,16,-5,-0.42
Rutgers (Big Ten),12,2-10,6,8,14,12,7,19,-5,-0.42
Fla. Atlantic (C-USA),12,3-9,5,10,15,7,13,20,-5,-0.42
Central Mich. (MAC),13,6-7,5,13,18,8,16,24,-6,-0.46
Indiana (Big Ten),13,6-7,10,13,23,11,18,29,-6,-0.46
Buffalo (MAC),12,2-10,8,5,13,8,11,19,-6,-0.50
Maryland (Big Ten),13,6-7,7,5,12,10,9,19,-7,-0.54
Louisville (ACC),13,9-4,10,15,25,22,10,32,-7,-0.54
Houston (AAC),13,9-4,11,7,18,10,15,25,-7,-0.54
Kentucky (SEC),13,7-6,8,13,21,16,12,28,-7,-0.54
Hawaii (Mountain West),14,7-7,6,11,17,10,15,25,-8,-0.57
Rice (C-USA),12,3-9,6,5,11,8,10,18,-7,-0.58
Arizona (Pac-12),12,3-9,6,8,14,9,12,21,-7,-0.58
UConn (AAC),12,3-9,4,7,11,8,11,19,-8,-0.67
Akron (MAC),12,5-7,6,8,14,8,14,22,-8,-0.67
Boise St. (Mountain West),13,10-3,2,7,9,10,8,18,-9,-0.69
FIU (C-USA),12,4-8,8,6,14,6,17,23,-9,-0.75
Virginia (ACC),12,2-10,8,9,17,10,16,26,-9,-0.75
Fresno St. (Mountain West),12,1-11,4,5,9,5,13,18,-9,-0.75
Ball St. (MAC),12,4-8,7,7,14,9,15,24,-10,-0.83
Massachusetts (FBS Independent),12,2-10,11,4,15,10,15,25,-10,-0.83
ULM (Sun Belt),12,4-8,7,6,13,8,16,24,-11,-0.92
Texas St. (Sun Belt),12,2-10,8,3,11,8,17,25,-14,-1.17
Kansas (Big 12),12,2-10,12,10,22,14,22,36,-14,-1.17
Southern Miss. (C-USA),13,7-6,5,10,15,16,16,32,-17,-1.31
East Carolina (AAC),12,3-9,3,5,8,12,12,24,-16,-1.33
Bowling Green (MAC),12,4-8,8,9,17,8,25,33,-16,-1.33
Purdue (Big Ten),12,3-9,4,12,16,8,25,33,-17,-1.42
Coastal Carolina (FBS Independent),12,10-2,8,21,29,12,6,18,11,0.92
