Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Minnesota (Big Ten),13,9-4,558,2387,4.28,34,183.6
Virginia Tech (ACC),14,10-4,638,2563,4.02,27,183.1
Colorado (Pac-12),14,10-4,635,2557,4.03,30,182.6
ULM (Sun Belt),12,4-8,512,2176,4.25,21,181.3
Bowling Green (MAC),12,4-8,503,2170,4.31,18,180.8
Louisiana (Sun Belt),13,6-7,586,2326,3.97,21,178.9
Charlotte (C-USA),12,4-8,484,2121,4.38,18,176.8
Temple (AAC),14,10-4,564,2466,4.37,31,176.1
Southern Miss. (C-USA),13,7-6,544,2269,4.17,26,174.5
Boise St. (Mountain West),13,10-3,493,2268,4.60,29,174.5
Nevada (Mountain West),12,5-7,474,2088,4.41,20,174.0
Michigan St. (Big Ten),12,3-9,471,2072,4.40,14,172.7
Penn St. (Big Ten),14,11-3,540,2406,4.46,34,171.9
Iowa (Big Ten),13,8-5,502,2234,4.45,23,171.8
Oklahoma St. (Big 12),13,10-3,491,2221,4.52,32,170.8
Utah St. (Mountain West),12,3-9,411,2046,4.98,25,170.5
New Mexico St. (Sun Belt),12,3-9,453,2037,4.50,13,169.8
Clemson (ACC),15,14-1,591,2546,4.31,30,169.7
Rice (C-USA),12,3-9,483,2036,4.22,23,169.7
Troy (Sun Belt),13,10-3,485,2199,4.53,28,169.2
Nebraska (Big Ten),13,9-4,523,2199,4.20,24,169.2
Ohio (MAC),14,8-6,546,2350,4.30,17,167.9
Kent St. (MAC),12,3-9,473,2010,4.25,15,167.5
Vanderbilt (SEC),13,6-7,497,2138,4.30,26,164.5
Arkansas (SEC),13,7-6,517,2135,4.13,21,164.2
Hawaii (Mountain West),14,7-7,477,2293,4.81,25,163.8
Notre Dame (FBS Independent),12,4-8,438,1960,4.47,18,163.3
SMU (AAC),12,5-7,478,1959,4.10,14,163.3
Iowa St. (Big 12),12,3-9,458,1953,4.26,18,162.8
UTSA (C-USA),13,6-7,524,2104,4.02,22,161.8
Memphis (AAC),13,8-5,487,2071,4.25,23,159.3
Eastern Mich. (MAC),13,7-6,480,2068,4.31,21,159.1
NC State (ACC),13,7-6,504,2030,4.03,23,156.2
San Jose St. (Mountain West),12,4-8,480,1869,3.89,16,155.8
California (Pac-12),12,5-7,414,1852,4.47,16,154.3
Duke (ACC),12,4-8,474,1843,3.89,19,153.6
Buffalo (MAC),12,2-10,426,1839,4.32,12,153.3
Northwestern (Big Ten),13,7-6,501,1991,3.97,22,153.2
Indiana (Big Ten),13,6-7,534,1979,3.71,18,152.2
Miami (FL) (ACC),13,9-4,435,1973,4.54,24,151.8
Louisiana Tech (C-USA),14,9-5,417,2119,5.08,30,151.4
Ole Miss (SEC),12,5-7,422,1793,4.25,17,149.4
Boston College (ACC),13,7-6,566,1938,3.42,16,149.1
FIU (C-USA),12,4-8,423,1783,4.22,16,148.6
Idaho (Sun Belt),13,9-4,488,1921,3.94,24,147.8
Houston (AAC),13,9-4,561,1912,3.41,29,147.1
North Carolina (ACC),13,8-5,401,1896,4.73,21,145.8
Wake Forest (ACC),13,7-6,533,1895,3.56,17,145.8
South Alabama (Sun Belt),13,6-7,468,1893,4.04,25,145.6
Rutgers (Big Ten),12,2-10,489,1739,3.56,8,144.9
UCF (AAC),13,6-7,527,1835,3.48,25,141.2
Illinois (Big Ten),12,3-9,353,1686,4.78,14,140.5
Arkansas St. (Sun Belt),13,8-5,517,1784,3.45,19,137.2
Miami (OH) (MAC),13,6-7,484,1772,3.66,9,136.3
South Carolina (SEC),13,6-7,475,1747,3.68,20,134.4
North Texas (C-USA),13,5-8,426,1736,4.08,24,133.5
East Carolina (AAC),12,3-9,404,1589,3.93,13,132.4
Akron (MAC),12,5-7,380,1586,4.17,13,132.2
Arizona St. (Pac-12),12,5-7,475,1578,3.32,27,131.5
Florida (SEC),13,9-4,452,1667,3.69,11,128.2
Washington St. (Pac-12),13,8-5,362,1560,4.31,23,120.0
Syracuse (ACC),12,4-8,449,1435,3.20,15,119.6
Kansas (Big 12),12,2-10,405,1429,3.53,11,119.1
Cincinnati (AAC),12,4-8,397,1418,3.57,8,118.2
UConn (AAC),12,3-9,418,1408,3.37,11,117.3
Fresno St. (Mountain West),12,1-11,440,1394,3.17,11,116.2
Central Mich. (MAC),13,6-7,407,1507,3.70,18,115.9
Virginia (ACC),12,2-10,384,1363,3.55,13,113.6
Marshall (C-USA),12,3-9,396,1298,3.28,12,108.2
Texas Tech (Big 12),12,5-7,389,1218,3.13,22,101.5
Massachusetts (FBS Independent),12,2-10,366,1194,3.26,10,99.5
Purdue (Big Ten),12,3-9,361,1154,3.20,12,96.2
Georgia St. (Sun Belt),12,3-9,336,1052,3.13,10,87.7
UCLA (Pac-12),12,4-8,345,1011,2.93,13,84.3
Texas St. (Sun Belt),12,2-10,426,989,2.32,13,82.4
Coastal Carolina (FBS Independent),12,10-2,587,3052,5.20,31,254.3
