Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Central Mich. (MAC),13,6-7,45,42,1,0,8,2,342,26.3
Ohio (MAC),14,8-6,40,35,1,0,29,2,368,26.3
Oregon St. (Pac-12),12,4-8,40,37,1,0,11,1,314,26.2
Northwestern (Big Ten),13,7-6,45,42,0,0,8,1,338,26.0
Maryland (Big Ten),13,6-7,44,37,2,0,10,0,335,25.8
Indiana (Big Ten),13,6-7,41,33,1,0,16,3,335,25.8
Syracuse (ACC),12,4-8,40,36,0,0,10,1,308,25.7
Nevada (Mountain West),12,5-7,39,34,1,1,11,0,305,25.4
South Alabama (Sun Belt),13,6-7,43,42,0,0,10,0,330,25.4
Rice (C-USA),12,3-9,40,33,2,1,8,0,303,25.3
Charlotte (C-USA),12,4-8,40,33,1,0,9,0,302,25.2
Iowa (Big Ten),13,8-5,42,38,1,0,10,1,324,24.9
UCLA (Pac-12),12,4-8,37,36,1,0,13,0,299,24.9
New Mexico St. (Sun Belt),12,3-9,37,29,0,0,15,1,298,24.8
Bowling Green (MAC),12,4-8,39,35,1,0,9,0,298,24.8
North Texas (C-USA),13,5-8,42,41,0,0,9,1,322,24.8
Arizona (Pac-12),12,3-9,39,36,0,0,9,0,297,24.8
Purdue (Big Ten),12,3-9,38,35,0,0,10,1,295,24.6
Georgia (SEC),13,8-5,38,36,1,0,17,1,319,24.5
San Jose St. (Mountain West),12,4-8,35,31,2,0,16,0,293,24.4
Michigan St. (Big Ten),12,3-9,35,30,2,0,15,0,289,24.1
Tulane (AAC),12,4-8,37,33,2,0,10,0,289,24.1
FIU (C-USA),12,4-8,36,34,1,0,12,0,288,24.0
Florida (SEC),13,9-4,35,32,1,1,21,1,311,23.9
Utah St. (Mountain West),12,3-9,36,35,0,0,12,0,287,23.9
Louisiana (Sun Belt),13,6-7,36,30,1,1,19,0,307,23.6
Duke (ACC),12,4-8,39,37,0,0,3,0,280,23.3
Massachusetts (FBS Independent),12,2-10,37,35,0,1,7,0,280,23.3
ULM (Sun Belt),12,4-8,36,35,0,0,9,1,280,23.3
Vanderbilt (SEC),13,6-7,36,36,0,0,15,1,299,23.0
Miami (OH) (MAC),13,6-7,38,32,0,0,11,2,297,22.8
Virginia (ACC),12,2-10,37,29,2,0,5,0,270,22.5
South Carolina (SEC),13,6-7,33,31,1,0,13,0,270,20.8
Kent St. (MAC),12,3-9,29,28,0,0,15,0,247,20.6
Wake Forest (ACC),13,7-6,29,28,0,0,21,0,265,20.4
Boston College (ACC),13,7-6,33,29,1,0,12,0,265,20.4
Kansas (Big 12),12,2-10,29,26,1,0,13,1,243,20.3
Georgia St. (Sun Belt),12,3-9,31,26,0,0,9,0,239,19.9
Illinois (Big Ten),12,3-9,28,26,2,0,12,1,236,19.7
Cincinnati (AAC),12,4-8,28,23,1,0,13,0,232,19.3
Texas St. (Sun Belt),12,2-10,29,26,1,0,7,0,223,18.6
Fresno St. (Mountain West),12,1-11,24,23,0,0,15,0,212,17.7
Buffalo (MAC),12,2-10,24,21,0,0,11,0,198,16.5
Rutgers (Big Ten),12,2-10,23,20,0,0,10,0,188,15.7
UConn (AAC),12,3-9,20,19,0,0,13,0,178,14.8
Coastal Carolina (FBS Independent),12,10-2,56,42,8,0,17,1,447,37.3
