Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
California (Pac-12),12,5-7,236,395,2945,30,7.46,12.48,245.4
Troy (Sun Belt),13,10-3,254,482,3203,20,6.65,12.61,246.4
Missouri (SEC),12,4-8,241,418,2962,17,7.09,12.29,246.8
Texas St. (Sun Belt),12,2-10,249,373,2985,28,8.00,11.99,248.8
Wyoming (Mountain West),14,8-6,241,425,3493,23,8.22,14.49,249.5
Memphis (AAC),13,8-5,304,495,3246,20,6.56,10.68,249.7
Louisiana (Sun Belt),13,6-7,271,439,3249,18,7.40,11.99,249.9
Texas A&M (SEC),13,8-5,272,462,3250,16,7.03,11.95,250.0
Tulsa (AAC),13,10-3,260,487,3252,16,6.68,12.51,250.2
NIU (MAC),12,5-7,236,416,3008,25,7.23,12.75,250.7
Air Force (Mountain West),13,10-3,201,383,3259,23,8.51,16.21,250.7
Middle Tenn. (C-USA),13,8-5,286,491,3260,24,6.64,11.40,250.8
BYU (FBS Independent),13,9-4,271,429,3278,17,7.64,12.10,252.2
New Mexico St. (Sun Belt),12,3-9,232,360,3029,23,8.41,13.06,252.4
Oklahoma St. (Big 12),13,10-3,263,431,3287,22,7.63,12.50,252.8
Marshall (C-USA),12,3-9,220,372,3044,21,8.18,13.84,253.7
Navy (AAC),14,9-5,267,413,3557,29,8.61,13.32,254.1
Utah (Pac-12),13,9-4,254,467,3306,23,7.08,13.02,254.3
Ohio (MAC),14,8-6,308,489,3581,25,7.32,11.63,255.8
Virginia (ACC),12,2-10,221,361,3079,25,8.53,13.93,256.6
West Virginia (Big 12),13,10-3,271,478,3350,21,7.01,12.36,257.7
Texas (Big 12),12,5-7,246,405,3102,22,7.66,12.61,258.5
Massachusetts (FBS Independent),12,2-10,254,394,3115,27,7.91,12.26,259.6
UConn (AAC),12,3-9,265,414,3176,20,7.67,11.98,264.7
Eastern Mich. (MAC),13,7-6,279,461,3447,25,7.48,12.35,265.2
Northwestern (Big Ten),13,7-6,303,496,3448,13,6.95,11.38,265.2
Fla. Atlantic (C-USA),12,3-9,233,355,3221,24,9.07,13.82,268.4
Oklahoma (Big 12),13,11-2,271,495,3502,29,7.07,12.92,269.4
Washington St. (Pac-12),13,8-5,278,445,3532,20,7.94,12.71,271.7
Oregon (Pac-12),12,4-8,291,449,3263,29,7.27,11.21,271.9
Kansas St. (Big 12),13,9-4,297,474,3545,26,7.48,11.94,272.7
Bowling Green (MAC),12,4-8,243,380,3280,32,8.63,13.50,273.3
Louisiana Tech (C-USA),14,9-5,323,494,3846,33,7.79,11.91,274.7
Arizona (Pac-12),12,3-9,281,427,3302,34,7.73,11.75,275.2
Syracuse (ACC),12,4-8,215,373,3313,20,8.88,15.41,276.1
Western Ky. (C-USA),14,11-3,328,558,3911,25,7.01,11.92,279.4
Mississippi St. (SEC),13,6-7,291,472,3660,33,7.75,12.58,281.5
Idaho (Sun Belt),13,9-4,282,448,3685,31,8.23,13.07,283.5
South Fla. (AAC),13,11-2,303,507,3712,21,7.32,12.25,285.5
Rice (C-USA),12,3-9,214,338,3452,25,10.21,16.13,287.7
Charlotte (C-USA),12,4-8,310,496,3718,29,7.50,11.99,309.8
Texas Tech (Big 12),12,5-7,271,443,3789,28,8.55,13.98,315.8
Ball St. (MAC),12,4-8,301,480,3836,27,7.99,12.74,319.7
Pittsburgh (ACC),13,8-5,350,549,4331,28,7.89,12.37,333.2
Arizona St. (Pac-12),12,5-7,310,485,4289,33,8.84,13.84,357.4
Coastal Carolina (FBS Independent),12,10-2,217,392,2497,18,6.37,11.51,208.1
