Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
ETSU (SoCon),13,11-2,264,420,2979,17,7.09,11.28,229.2
Harvard (Ivy League),10,8-2,206,385,2295,9,5.96,11.14,229.5
Central Ark. (ASUN),11,5-6,201,354,2527,21,7.14,12.57,229.7
Furman (SoCon),11,6-5,199,332,2530,15,7.62,12.71,230.0
Wagner (NEC),11,0-11,195,304,2530,30,8.32,12.97,230.0
Marist (Pioneer),10,5-5,205,332,2301,11,6.93,11.22,230.1
Columbia (Ivy League),10,7-3,198,345,2315,11,6.71,11.69,231.5
Alcorn (SWAC),11,6-5,207,344,2554,15,7.42,12.34,232.2
Elon (CAA),11,6-5,197,330,2561,23,7.76,13.00,232.8
Jacksonville St. (ASUN),11,5-6,201,329,2580,18,7.84,12.84,234.5
Lamar University (WAC),10,1-9,180,284,2372,21,8.35,13.18,237.2
Norfolk St. (MEAC),11,6-5,177,318,2614,23,8.22,14.77,237.6
N.C. A&T (Big South),11,5-6,207,352,2616,16,7.43,12.64,237.8
Alabama A&M (SWAC),10,7-3,182,326,2382,23,7.31,13.09,238.2
Valparaiso (Pioneer),11,4-7,201,338,2629,21,7.78,13.08,239.0
LIU (NEC),10,2-8,189,284,2401,24,8.45,12.70,240.1
South Dakota St. (MVFC),15,11-4,303,505,3615,22,7.16,11.93,241.0
Charleston So. (Big South),10,4-6,196,358,2413,15,6.74,12.31,241.3
Campbell (Big South),11,3-8,227,370,2664,21,7.20,11.74,242.2
UC Davis (Big Sky),12,8-4,250,435,2911,15,6.69,11.64,242.6
Missouri St. (MVFC),12,8-4,217,399,2925,21,7.33,13.48,243.8
Cal Poly (Big Sky),11,2-9,228,338,2685,21,7.94,11.78,244.1
Monmouth (Big South),11,7-4,211,348,2691,18,7.73,12.75,244.6
Portland St. (Big Sky),11,5-6,203,318,2691,22,8.46,13.26,244.6
Mississippi Val. (SWAC),11,4-7,197,334,2698,25,8.08,13.70,245.3
Western Ill. (MVFC),11,2-9,204,319,2705,26,8.48,13.26,245.9
Nicholls (Southland),11,6-5,230,376,2710,24,7.21,11.78,246.4
Montana (Big Sky),13,10-3,292,513,3203,16,6.24,10.97,246.4
Eastern Ky. (ASUN),11,7-4,198,361,2730,13,7.56,13.79,248.2
William & Mary (CAA),11,6-5,233,406,2741,15,6.75,11.76,249.2
Bethune-Cookman (SWAC),11,2-9,212,332,2745,23,8.27,12.95,249.5
UIW (Southland),13,10-3,310,478,3251,17,6.80,10.49,250.1
Robert Morris (Big South),10,4-6,183,282,2512,23,8.91,13.73,251.2
Youngstown St. (MVFC),10,3-7,194,318,2515,25,7.91,12.96,251.5
Central Conn. St. (NEC),11,4-7,198,325,2778,26,8.55,14.03,252.5
Idaho St. (Big Sky),11,1-10,215,360,2815,26,7.82,13.09,255.9
Idaho (Big Sky),11,4-7,210,331,2821,26,8.52,13.43,256.5
Southeast Mo. St. (OVC),11,4-7,199,346,2834,20,8.19,14.24,257.6
Fordham (Patriot),11,6-5,236,369,2853,14,7.73,12.09,259.4
Morehead St. (Pioneer),11,7-4,212,374,2857,22,7.64,13.48,259.7
Sam Houston (WAC),12,11-1,261,470,3132,24,6.66,12.00,261.0
Morgan St. (MEAC),11,2-9,204,352,2876,26,8.17,14.10,261.5
Samford (SoCon),11,4-7,189,320,2876,23,8.99,15.22,261.5
Houston Christian (Southland),11,0-11,263,384,2892,27,7.53,11.00,262.9
Northwestern St. (Southland),11,3-8,211,337,2898,19,8.60,13.73,263.5
McNeese (Southland),11,4-7,235,397,2919,23,7.35,12.42,265.4
New Hampshire (CAA),11,3-8,225,341,2935,23,8.61,13.04,266.8
Brown (Ivy League),10,2-8,190,296,2694,26,9.10,14.18,269.4
Dayton (Pioneer),10,6-4,211,371,2700,18,7.28,12.80,270.0
Southern Utah (Big Sky),11,1-10,204,296,2975,25,10.05,14.58,270.5
Hampton (Big South),11,5-6,215,351,2983,20,8.50,13.87,271.2
Texas Southern (SWAC),10,2-8,226,341,2759,21,8.09,12.21,275.9
Northern Ariz. (Big Sky),11,5-6,260,435,3049,17,7.01,11.73,277.2
Southeastern La. (Southland),13,9-4,264,475,3644,36,7.67,13.80,280.3
Ark.-Pine Bluff (SWAC),11,2-9,213,346,3109,36,8.99,14.60,282.6
Merrimack (NEC),11,5-6,131,262,1581,18,6.03,12.07,143.7
St. Thomas (MN) (Pioneer),10,7-3,172,303,1750,9,5.78,10.17,175.0
Tarleton St. (WAC),11,6-5,195,356,2090,15,5.87,10.72,190.0
North Ala. (Big South),11,3-8,191,334,2410,22,7.22,12.62,219.1
Utah Tech (WAC),11,1-10,193,328,2530,20,7.71,13.11,230.0
