Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Grambling (SWAC),11,4-7,5,10,0.500
Eastern Ky. (ASUN),11,7-4,4,8,0.500
Cal Poly (Big Sky),11,2-9,14,29,0.483
Portland St. (Big Sky),11,5-6,13,27,0.481
Stony Brook (CAA),11,5-6,10,21,0.476
Montana (Big Sky),13,10-3,9,19,0.474
Central Conn. St. (NEC),11,4-7,17,36,0.472
Youngstown St. (MVFC),10,3-7,8,17,0.471
Butler (Pioneer),11,3-8,15,32,0.469
Dartmouth (Ivy League),10,9-1,7,15,0.467
Stetson (Pioneer),10,3-7,20,43,0.465
SFA (WAC),12,8-4,13,28,0.464
Harvard (Ivy League),10,8-2,6,13,0.462
LIU (NEC),10,2-8,6,13,0.462
N.C. A&T (Big South),11,5-6,6,13,0.462
Wofford (SoCon),11,1-10,6,13,0.462
Eastern Ill. (OVC),11,1-10,16,35,0.457
Alabama St. (SWAC),11,5-6,5,11,0.455
Gardner-Webb (Big South),11,4-7,12,27,0.444
Northwestern St. (Southland),11,3-8,11,25,0.440
Murray St. (OVC),11,6-5,7,16,0.438
Lafayette (Patriot),11,3-8,9,21,0.429
Rhode Island (CAA),11,7-4,9,21,0.429
San Diego (Pioneer),11,7-4,6,14,0.429
Penn (Ivy League),10,3-7,8,19,0.421
Tennessee St. (OVC),11,5-6,5,12,0.417
Montana St. (Big Sky),15,12-3,7,17,0.412
Southern Utah (Big Sky),11,1-10,7,17,0.412
Idaho (Big Sky),11,4-7,9,22,0.409
Valparaiso (Pioneer),11,4-7,9,22,0.409
Bucknell (Patriot),11,1-10,12,30,0.400
Jacksonville St. (ASUN),11,5-6,8,20,0.400
New Hampshire (CAA),11,3-8,8,20,0.400
Nicholls (Southland),11,6-5,8,20,0.400
Saint Francis (PA) (NEC),11,5-6,6,15,0.400
Cornell (Ivy League),10,2-8,10,26,0.385
Abilene Christian (WAC),11,5-6,5,13,0.385
Missouri St. (MVFC),12,8-4,5,13,0.385
Richmond (CAA),11,6-5,5,13,0.385
Texas Southern (SWAC),10,2-8,8,21,0.381
South Dakota (MVFC),12,7-5,6,16,0.375
Tennessee Tech (OVC),11,3-8,6,16,0.375
Bethune-Cookman (SWAC),11,2-9,3,8,0.375
Colgate (Patriot),11,5-6,7,19,0.368
Sam Houston (WAC),12,11-1,8,22,0.364
Illinois St. (MVFC),11,4-7,4,11,0.364
Maine (CAA),11,6-5,4,11,0.364
Georgetown (Patriot),10,2-8,9,25,0.360
Presbyterian (Pioneer),11,2-9,29,86,0.337
Duquesne (NEC),10,7-3,4,12,0.333
Elon (CAA),11,6-5,4,12,0.333
Fordham (Patriot),11,6-5,4,13,0.308
Charleston So. (Big South),10,4-6,5,17,0.294
Ark.-Pine Bluff (SWAC),11,2-9,7,24,0.292
Florida A&M (SWAC),12,9-3,7,24,0.292
UNI (MVFC),12,6-6,5,18,0.278
Western Ill. (MVFC),11,2-9,5,18,0.278
Marist (Pioneer),10,5-5,5,19,0.263
Lehigh (Patriot),11,3-8,6,23,0.261
Drake (Pioneer),10,2-8,5,21,0.238
Jackson St. (SWAC),13,11-2,3,14,0.214
Lamar University (WAC),10,1-9,3,16,0.188
Howard (MEAC),11,3-8,2,12,0.167
St. Thomas (MN) (Pioneer),10,7-3,15,29,0.517
North Ala. (Big South),11,3-8,7,15,0.467
Utah Tech (WAC),11,1-10,9,22,0.409
Merrimack (NEC),11,5-6,12,30,0.400
Tarleton St. (WAC),11,6-5,5,13,0.385
