Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
North Dakota (MVFC),11,5-6,43,38,261,62,5.6
Sacred Heart (NEC),12,8-4,46,42,284,67,5.6
Tennessee St. (OVC),11,5-6,46,30,246,61,5.5
Western Ill. (MVFC),11,2-9,47,28,247,61,5.5
Robert Morris (Big South),10,4-6,43,24,201,55,5.5
McNeese (Southland),11,4-7,47,26,278,60,5.5
Tennessee Tech (OVC),11,3-8,41,38,189,60,5.5
Weber St. (Big Sky),11,6-5,44,32,222,60,5.5
William & Mary (CAA),11,6-5,49,22,234,60,5.5
South Dakota (MVFC),12,7-5,61,8,293,65,5.4
Abilene Christian (WAC),11,5-6,34,50,203,59,5.4
Murray St. (OVC),11,6-5,46,26,198,59,5.4
Nicholls (Southland),11,6-5,50,18,255,59,5.4
Southern Ill. (MVFC),13,8-5,56,26,316,69,5.3
Marist (Pioneer),10,5-5,41,24,196,53,5.3
Morgan St. (MEAC),11,2-9,48,20,184,58,5.3
Sacramento St. (Big Sky),12,9-3,56,14,273,63,5.2
UC Davis (Big Sky),12,8-4,48,30,208,63,5.2
LIU (NEC),10,2-8,43,18,208,52,5.2
Alcorn (SWAC),11,6-5,39,36,204,57,5.2
Davidson (Pioneer),11,8-3,42,30,222,57,5.2
Indiana St. (MVFC),11,5-6,47,20,298,57,5.2
Western Caro. (SoCon),11,4-7,42,30,175,57,5.2
Alabama A&M (SWAC),10,7-3,38,26,181,51,5.1
Lehigh (Patriot),11,3-8,46,20,241,56,5.1
Stony Brook (CAA),11,5-6,40,32,214,56,5.1
Elon (CAA),11,6-5,37,36,205,55,5.0
Bryant (NEC),11,7-4,38,32,193,54,4.9
Fordham (Patriot),11,6-5,32,44,212,54,4.9
Furman (SoCon),11,6-5,41,26,221,54,4.9
Dartmouth (Ivy League),10,9-1,37,24,201,49,4.9
UIW (Southland),13,10-3,51,24,236,63,4.8
Delaware (CAA),11,5-6,43,20,203,53,4.8
ETSU (SoCon),13,11-2,53,18,259,62,4.8
Illinois St. (MVFC),11,4-7,42,20,175,52,4.7
Norfolk St. (MEAC),11,6-5,34,36,241,52,4.7
Samford (SoCon),11,4-7,38,28,214,52,4.7
Villanova (CAA),13,10-3,48,26,253,61,4.7
UAlbany (CAA),11,2-9,43,16,226,51,4.6
Lafayette (Patriot),11,3-8,37,26,202,50,4.5
Rhode Island (CAA),11,7-4,43,14,205,50,4.5
Cornell (Ivy League),10,2-8,35,20,161,45,4.5
Drake (Pioneer),10,2-8,36,18,141,45,4.5
N.C. Central (MEAC),11,6-5,35,26,193,48,4.4
Towson (CAA),11,4-7,36,24,211,48,4.4
Howard (MEAC),11,3-8,41,12,157,47,4.3
Kennesaw St. (Big South),13,11-2,45,20,229,55,4.2
Lamar University (WAC),10,1-9,31,22,169,42,4.2
Butler (Pioneer),11,3-8,34,24,178,46,4.2
Southern Utah (Big Sky),11,1-10,38,16,161,46,4.2
Southeastern La. (Southland),13,9-4,39,30,179,54,4.2
Georgetown (Patriot),10,2-8,35,10,129,40,4.0
VMI (SoCon),11,6-5,32,22,166,43,3.9
Youngstown St. (MVFC),10,3-7,22,30,152,37,3.7
Colgate (Patriot),11,5-6,32,16,125,40,3.6
Maine (CAA),11,6-5,31,16,127,39,3.5
Idaho St. (Big Sky),11,1-10,31,12,133,37,3.4
The Citadel (SoCon),11,4-7,26,20,154,36,3.3
Bucknell (Patriot),11,1-10,21,28,123,35,3.2
Wofford (SoCon),11,1-10,24,18,124,33,3.0
St. Thomas (MN) (Pioneer),10,7-3,49,44,323,71,7.1
Utah Tech (WAC),11,1-10,57,20,258,67,6.1
Merrimack (NEC),11,5-6,47,34,207,64,5.8
Tarleton St. (WAC),11,6-5,38,50,200,63,5.7
North Ala. (Big South),11,3-8,29,18,153,38,3.5
