Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Indiana St. (MVFC),11,5-6,7,11,18,3,11,14,4,0.36
Southeast Mo. St. (OVC),11,4-7,7,11,18,5,9,14,4,0.36
Missouri St. (MVFC),12,8-4,10,15,25,10,11,21,4,0.33
UNI (MVFC),12,6-6,12,14,26,7,15,22,4,0.33
Jackson St. (SWAC),13,11-2,13,13,26,14,8,22,4,0.31
Drake (Pioneer),10,2-8,9,8,17,3,11,14,3,0.30
Princeton (Ivy League),10,9-1,5,9,14,3,8,11,3,0.30
Campbell (Big South),11,3-8,12,13,25,12,10,22,3,0.27
Chattanooga (SoCon),11,6-5,7,15,22,6,13,19,3,0.27
Eastern Ky. (ASUN),11,7-4,4,13,17,4,10,14,3,0.27
Furman (SoCon),11,6-5,7,11,18,6,9,15,3,0.27
Hampton (Big South),11,5-6,13,6,19,4,12,16,3,0.27
UT Martin (OVC),13,10-3,6,17,23,10,10,20,3,0.23
Gardner-Webb (Big South),11,4-7,10,12,22,14,6,20,2,0.18
Illinois St. (MVFC),11,4-7,5,12,17,8,7,15,2,0.18
Monmouth (Big South),11,7-4,7,10,17,9,6,15,2,0.18
Norfolk St. (MEAC),11,6-5,4,14,18,11,5,16,2,0.18
The Citadel (SoCon),11,4-7,6,10,16,9,5,14,2,0.18
Dartmouth (Ivy League),10,9-1,3,6,9,5,3,8,1,0.10
Duquesne (NEC),10,7-3,4,8,12,3,8,11,1,0.10
Mercer (SoCon),10,7-3,8,12,20,7,12,19,1,0.10
Stetson (Pioneer),10,3-7,5,10,15,4,10,14,1,0.10
Texas Southern (SWAC),10,2-8,10,8,18,13,4,17,1,0.10
Jacksonville St. (ASUN),11,5-6,9,8,17,7,9,16,1,0.09
Mississippi Val. (SWAC),11,4-7,5,13,18,7,10,17,1,0.09
Northwestern St. (Southland),11,3-8,12,7,19,8,10,18,1,0.09
Rhode Island (CAA),11,7-4,5,10,15,7,7,14,1,0.09
South Dakota (MVFC),12,7-5,8,10,18,8,9,17,1,0.08
Kennesaw St. (Big South),13,11-2,9,11,20,15,4,19,1,0.08
Abilene Christian (WAC),11,5-6,12,6,18,6,12,18,0,0.00
New Hampshire (CAA),11,3-8,10,11,21,9,12,21,0,0.00
Saint Francis (PA) (NEC),11,5-6,3,7,10,5,5,10,0,0.00
Sam Houston (WAC),12,11-1,3,13,16,5,11,16,0,0.00
Southern U. (SWAC),11,4-7,7,10,17,7,10,17,0,0.00
Stony Brook (CAA),11,5-6,11,6,17,6,11,17,0,0.00
UAlbany (CAA),11,2-9,9,8,17,10,7,17,0,0.00
Weber St. (Big Sky),11,6-5,8,10,18,10,8,18,0,0.00
Youngstown St. (MVFC),10,3-7,6,9,15,4,11,15,0,0.00
Fordham (Patriot),11,6-5,10,7,17,9,9,18,-1,-0.09
North Dakota (MVFC),11,5-6,4,12,16,10,7,17,-1,-0.09
Western Ill. (MVFC),11,2-9,13,6,19,6,14,20,-1,-0.09
LIU (NEC),10,2-8,5,6,11,7,5,12,-1,-0.10
Sacred Heart (NEC),12,8-4,7,8,15,9,8,17,-2,-0.17
UC Davis (Big Sky),12,8-4,5,13,18,2,18,20,-2,-0.17
Davidson (Pioneer),11,8-3,4,10,14,9,7,16,-2,-0.18
Lafayette (Patriot),11,3-8,3,7,10,3,9,12,-2,-0.18
N.C. A&T (Big South),11,5-6,6,7,13,6,9,15,-2,-0.18
Samford (SoCon),11,4-7,8,10,18,5,15,20,-2,-0.18
Tennessee St. (OVC),11,5-6,5,7,12,8,6,14,-2,-0.18
Alabama A&M (SWAC),10,7-3,8,8,16,9,9,18,-2,-0.20
Georgetown (Patriot),10,2-8,6,4,10,3,9,12,-2,-0.20
Southeastern La. (Southland),13,9-4,5,17,22,15,10,25,-3,-0.23
Alabama St. (SWAC),11,5-6,7,4,11,4,10,14,-3,-0.27
Colgate (Patriot),11,5-6,4,8,12,4,11,15,-3,-0.27
Delaware (CAA),11,5-6,4,9,13,6,10,16,-3,-0.27
Morehead St. (Pioneer),11,7-4,6,14,20,3,20,23,-3,-0.27
Valparaiso (Pioneer),11,4-7,9,9,18,5,16,21,-3,-0.27
Penn (Ivy League),10,3-7,5,6,11,2,12,14,-3,-0.30
N.C. Central (MEAC),11,6-5,7,5,12,10,6,16,-4,-0.36
Wofford (SoCon),11,1-10,7,2,9,5,8,13,-4,-0.36
Lamar University (WAC),10,1-9,2,8,10,9,5,14,-4,-0.40
Robert Morris (Big South),10,4-6,5,7,12,8,8,16,-4,-0.40
Eastern Ill. (OVC),11,1-10,14,4,18,6,17,23,-5,-0.45
Northern Colo. (Big Sky),11,3-8,5,7,12,6,11,17,-5,-0.45
Richmond (CAA),11,6-5,6,10,16,13,8,21,-5,-0.45
Southern Utah (Big Sky),11,1-10,9,6,15,7,13,20,-5,-0.45
Cornell (Ivy League),10,2-8,5,8,13,4,14,18,-5,-0.50
Yale (Ivy League),10,5-5,2,8,10,3,12,15,-5,-0.50
Bucknell (Patriot),11,1-10,8,4,12,5,13,18,-6,-0.55
Butler (Pioneer),11,3-8,6,10,16,8,14,22,-6,-0.55
Portland St. (Big Sky),11,5-6,9,9,18,12,12,24,-6,-0.55
Towson (CAA),11,4-7,9,7,16,7,15,22,-6,-0.55
Idaho St. (Big Sky),11,1-10,10,6,16,9,14,23,-7,-0.64
VMI (SoCon),11,6-5,8,5,13,7,13,20,-7,-0.64
Wagner (NEC),11,0-11,5,7,12,9,10,19,-7,-0.64
Bethune-Cookman (SWAC),11,2-9,10,6,16,10,14,24,-8,-0.73
Howard (MEAC),11,3-8,4,2,6,6,8,14,-8,-0.73
Prairie View (SWAC),12,7-5,6,10,16,12,13,25,-9,-0.75
Cal Poly (Big Sky),11,2-9,7,7,14,8,15,23,-9,-0.82
Lehigh (Patriot),11,3-8,4,5,9,8,10,18,-9,-0.82
Morgan St. (MEAC),11,2-9,2,8,10,4,15,19,-9,-0.82
Idaho (Big Sky),11,4-7,5,4,9,6,13,19,-10,-0.91
Murray St. (OVC),11,6-5,5,6,11,6,15,21,-10,-0.91
Nicholls (Southland),11,6-5,8,6,14,9,15,24,-10,-0.91
Western Caro. (SoCon),11,4-7,10,11,21,14,18,32,-11,-1.00
Ark.-Pine Bluff (SWAC),11,2-9,6,7,13,12,14,26,-13,-1.18
Houston Christian (Southland),11,0-11,11,5,16,13,19,32,-16,-1.45
Tennessee Tech (OVC),11,3-8,6,3,9,8,19,27,-18,-1.64
Brown (Ivy League),10,2-8,5,4,9,13,14,27,-18,-1.80
Presbyterian (Pioneer),11,2-9,13,2,15,12,35,47,-32,-2.91
St. Thomas (MN) (Pioneer),10,7-3,5,22,27,10,13,23,4,0.40
North Ala. (Big South),11,3-8,8,14,22,8,13,21,1,0.09
Tarleton St. (WAC),11,6-5,4,13,17,7,10,17,0,0.00
Merrimack (NEC),11,5-6,12,9,21,6,16,22,-1,-0.09
Utah Tech (WAC),11,1-10,5,9,14,6,20,26,-12,-1.09
