Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Alabama St. (SWAC),11,5-6,34,632,0,18.59
Southeast Mo. St. (OVC),11,4-7,26,485,1,18.65
Delaware St. (MEAC),11,5-6,28,523,0,18.68
Alabama A&M (SWAC),10,7-3,40,750,1,18.75
Florida A&M (SWAC),12,9-3,37,694,0,18.76
Weber St. (Big Sky),11,6-5,34,640,0,18.82
Bryant (NEC),11,7-4,30,570,0,19.00
UIW (Southland),13,10-3,37,712,0,19.24
Yale (Ivy League),10,5-5,23,443,0,19.26
Maine (CAA),11,6-5,33,639,0,19.36
Sam Houston (WAC),12,11-1,38,737,1,19.39
Butler (Pioneer),11,3-8,37,721,0,19.49
Bucknell (Patriot),11,1-10,22,432,0,19.64
Southeastern La. (Southland),13,9-4,41,809,0,19.73
Wofford (SoCon),11,1-10,29,574,0,19.79
Indiana St. (MVFC),11,5-6,22,438,0,19.91
New Hampshire (CAA),11,3-8,22,439,1,19.95
Chattanooga (SoCon),11,6-5,45,900,1,20.00
Grambling (SWAC),11,4-7,24,480,0,20.00
Tennessee St. (OVC),11,5-6,29,581,0,20.03
Idaho (Big Sky),11,4-7,13,261,0,20.08
Howard (MEAC),11,3-8,47,947,0,20.15
Holy Cross (Patriot),13,10-3,40,806,1,20.15
South Carolina St. (MEAC),12,7-5,50,1009,1,20.18
Charleston So. (Big South),10,4-6,31,627,0,20.23
Texas Southern (SWAC),10,2-8,28,567,0,20.25
Tennessee Tech (OVC),11,3-8,23,468,0,20.35
Cal Poly (Big Sky),11,2-9,19,387,1,20.37
Eastern Ky. (ASUN),11,7-4,19,387,0,20.37
Southern Ill. (MVFC),13,8-5,28,575,0,20.54
Davidson (Pioneer),11,8-3,53,1092,0,20.60
Ark.-Pine Bluff (SWAC),11,2-9,25,517,1,20.68
Marist (Pioneer),10,5-5,28,582,0,20.79
SFA (WAC),12,8-4,36,751,0,20.86
Dartmouth (Ivy League),10,9-1,23,483,1,21.00
Jackson St. (SWAC),13,11-2,31,652,0,21.03
Lafayette (Patriot),11,3-8,32,674,0,21.06
Stetson (Pioneer),10,3-7,30,632,1,21.07
Lamar University (WAC),10,1-9,10,211,0,21.10
North Dakota (MVFC),11,5-6,14,298,0,21.29
Southern Utah (Big Sky),11,1-10,25,533,0,21.32
Bethune-Cookman (SWAC),11,2-9,36,772,1,21.44
Kennesaw St. (Big South),13,11-2,47,1008,1,21.45
Mississippi Val. (SWAC),11,4-7,27,582,0,21.56
LIU (NEC),10,2-8,26,561,2,21.58
Gardner-Webb (Big South),11,4-7,36,779,1,21.64
Harvard (Ivy League),10,8-2,9,195,0,21.67
Elon (CAA),11,6-5,37,802,1,21.68
Central Conn. St. (NEC),11,4-7,40,870,0,21.75
Houston Christian (Southland),11,0-11,19,414,0,21.79
Idaho St. (Big Sky),11,1-10,22,480,1,21.82
Central Ark. (ASUN),11,5-6,37,808,1,21.84
Villanova (CAA),13,10-3,38,841,1,22.13
Sacramento St. (Big Sky),12,9-3,43,952,2,22.14
Western Ill. (MVFC),11,2-9,28,620,0,22.14
Youngstown St. (MVFC),10,3-7,24,532,0,22.17
North Dakota St. (MVFC),15,14-1,60,1334,0,22.23
Portland St. (Big Sky),11,5-6,31,692,1,22.32
Eastern Wash. (Big Sky),13,10-3,59,1322,2,22.41
Samford (SoCon),11,4-7,34,767,0,22.56
Illinois St. (MVFC),11,4-7,12,273,0,22.75
San Diego (Pioneer),11,7-4,14,319,0,22.79
Missouri St. (MVFC),12,8-4,32,730,1,22.81
Western Caro. (SoCon),11,4-7,44,1005,0,22.84
Duquesne (NEC),10,7-3,39,891,2,22.85
Northwestern St. (Southland),11,3-8,27,619,0,22.93
ETSU (SoCon),13,11-2,56,1286,1,22.96
Columbia (Ivy League),10,7-3,14,322,0,23.00
Wagner (NEC),11,0-11,26,601,0,23.12
Stony Brook (CAA),11,5-6,32,741,0,23.16
Brown (Ivy League),10,2-8,22,512,0,23.27
Prairie View (SWAC),12,7-5,36,843,1,23.42
Alcorn (SWAC),11,6-5,31,731,1,23.58
Northern Colo. (Big Sky),11,3-8,8,194,0,24.25
Nicholls (Southland),11,6-5,40,982,2,24.55
Georgetown (Patriot),10,2-8,25,627,1,25.08
South Dakota (MVFC),12,7-5,15,383,0,25.53
Dayton (Pioneer),10,6-4,25,643,1,25.72
Robert Morris (Big South),10,4-6,26,676,0,26.00
The Citadel (SoCon),11,4-7,22,585,1,26.59
Northern Ariz. (Big Sky),11,5-6,17,465,0,27.35
Towson (CAA),11,4-7,22,604,1,27.45
Cornell (Ivy League),10,2-8,13,397,2,30.54
Tarleton St. (WAC),11,6-5,22,332,0,15.09
Merrimack (NEC),11,5-6,46,901,0,19.59
St. Thomas (MN) (Pioneer),10,7-3,33,694,0,21.03
North Ala. (Big South),11,3-8,42,915,0,21.79
Utah Tech (WAC),11,1-10,16,448,1,28.00
