Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Idaho (Big Sky),11,4-7,324:27,29:30
Abilene Christian (WAC),11,5-6,324:18,29:29
Jackson St. (SWAC),13,11-2,381:55,29:23
Campbell (Big South),11,3-8,322:18,29:18
Central Ark. (ASUN),11,5-6,320:19,29:07
LIU (NEC),10,2-8,291:11,29:07
Wofford (SoCon),11,1-10,318:15,28:56
Western Caro. (SoCon),11,4-7,317:27,28:52
Jacksonville St. (ASUN),11,5-6,317:16,28:51
Lehigh (Patriot),11,3-8,316:59,28:49
Eastern Wash. (Big Sky),13,10-3,374:13,28:47
Eastern Ill. (OVC),11,1-10,315:51,28:43
Georgetown (Patriot),10,2-8,286:54,28:41
Montana (Big Sky),13,10-3,372:21,28:39
Penn (Ivy League),10,3-7,286:21,28:38
Morehead St. (Pioneer),11,7-4,314:37,28:36
Indiana St. (MVFC),11,5-6,314:31,28:36
N.C. Central (MEAC),11,6-5,313:55,28:32
UC Davis (Big Sky),12,8-4,341:20,28:27
Drake (Pioneer),10,2-8,284:02,28:24
Northern Ariz. (Big Sky),11,5-6,312:02,28:22
Bucknell (Patriot),11,1-10,311:15,28:18
Charleston So. (Big South),10,4-6,279:26,27:57
Morgan St. (MEAC),11,2-9,306:17,27:51
Illinois St. (MVFC),11,4-7,305:58,27:49
Marist (Pioneer),10,5-5,277:46,27:47
Stetson (Pioneer),10,3-7,277:28,27:45
Austin Peay (OVC),11,6-5,304:37,27:42
Columbia (Ivy League),10,7-3,276:48,27:41
Rhode Island (CAA),11,7-4,304:06,27:39
Grambling (SWAC),11,4-7,303:01,27:33
Gardner-Webb (Big South),11,4-7,299:19,27:13
Ark.-Pine Bluff (SWAC),11,2-9,298:37,27:09
UIW (Southland),13,10-3,349:41,26:54
Southern Ill. (MVFC),13,8-5,348:45,26:50
New Hampshire (CAA),11,3-8,294:18,26:45
Cal Poly (Big Sky),11,2-9,291:09,26:28
Saint Francis (PA) (NEC),11,5-6,290:17,26:23
Bethune-Cookman (SWAC),11,2-9,289:38,26:20
Howard (MEAC),11,3-8,286:56,26:05
Texas Southern (SWAC),10,2-8,252:19,25:14
Houston Christian (Southland),11,0-11,272:46,24:48
Fordham (Patriot),11,6-5,268:05,24:22
Samford (SoCon),11,4-7,257:51,23:26
St. Thomas (MN) (Pioneer),10,7-3,336:02,33:36
Merrimack (NEC),11,5-6,337:32,30:41
North Ala. (Big South),11,3-8,325:39,29:36
Tarleton St. (WAC),11,6-5,310:51,28:16
Utah Tech (WAC),11,1-10,304:09,27:39
