Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Duquesne (NEC),10,7-3,12,26,0.462
Lamar University (WAC),10,1-9,6,13,0.462
Davidson (Pioneer),11,8-3,19,41,0.463
ETSU (SoCon),13,11-2,13,28,0.464
Jackson St. (SWAC),13,11-2,13,28,0.464
Ark.-Pine Bluff (SWAC),11,2-9,7,15,0.467
South Dakota St. (MVFC),15,11-4,15,32,0.469
Abilene Christian (WAC),11,5-6,8,17,0.471
Weber St. (Big Sky),11,6-5,9,19,0.474
McNeese (Southland),11,4-7,10,21,0.476
Austin Peay (OVC),11,6-5,12,25,0.480
Gardner-Webb (Big South),11,4-7,13,27,0.481
Monmouth (Big South),11,7-4,13,27,0.481
Alabama A&M (SWAC),10,7-3,12,24,0.500
Charleston So. (Big South),10,4-6,11,22,0.500
Morgan St. (MEAC),11,2-9,14,28,0.500
Penn (Ivy League),10,3-7,11,22,0.500
Southern U. (SWAC),11,4-7,11,22,0.500
The Citadel (SoCon),11,4-7,4,8,0.500
Towson (CAA),11,4-7,7,14,0.500
Yale (Ivy League),10,5-5,14,28,0.500
Presbyterian (Pioneer),11,2-9,16,31,0.516
Valparaiso (Pioneer),11,4-7,14,27,0.519
Delaware St. (MEAC),11,5-6,11,21,0.524
Central Conn. St. (NEC),11,4-7,10,19,0.526
Chattanooga (SoCon),11,6-5,10,19,0.526
Idaho (Big Sky),11,4-7,10,19,0.526
Tennessee St. (OVC),11,5-6,10,19,0.526
UAlbany (CAA),11,2-9,10,19,0.526
New Hampshire (CAA),11,3-8,9,17,0.529
South Dakota (MVFC),12,7-5,9,17,0.529
Fordham (Patriot),11,6-5,15,28,0.536
Marist (Pioneer),10,5-5,15,28,0.536
Southeastern La. (Southland),13,9-4,15,28,0.536
Saint Francis (PA) (NEC),11,5-6,14,26,0.538
Northwestern St. (Southland),11,3-8,12,22,0.545
Cornell (Ivy League),10,2-8,10,18,0.556
UIW (Southland),13,10-3,19,34,0.559
James Madison (CAA),14,12-2,14,25,0.560
Northern Colo. (Big Sky),11,3-8,9,16,0.562
Western Caro. (SoCon),11,4-7,9,16,0.562
Western Ill. (MVFC),11,2-9,9,16,0.562
Northern Ariz. (Big Sky),11,5-6,13,23,0.565
Samford (SoCon),11,4-7,13,23,0.565
Prairie View (SWAC),12,7-5,17,30,0.567
Houston Christian (Southland),11,0-11,12,21,0.571
Eastern Wash. (Big Sky),13,10-3,18,31,0.581
William & Mary (CAA),11,6-5,18,31,0.581
Southern Ill. (MVFC),13,8-5,10,17,0.588
Wofford (SoCon),11,1-10,10,17,0.588
Wagner (NEC),11,0-11,13,22,0.591
Nicholls (Southland),11,6-5,15,25,0.600
Bucknell (Patriot),11,1-10,13,21,0.619
Georgetown (Patriot),10,2-8,13,21,0.619
Norfolk St. (MEAC),11,6-5,13,21,0.619
N.C. A&T (Big South),11,5-6,15,24,0.625
Murray St. (OVC),11,6-5,12,19,0.632
Dartmouth (Ivy League),10,9-1,16,25,0.640
VMI (SoCon),11,6-5,20,31,0.645
Brown (Ivy League),10,2-8,11,17,0.647
Colgate (Patriot),11,5-6,13,20,0.650
N.C. Central (MEAC),11,6-5,13,20,0.650
Tennessee Tech (OVC),11,3-8,15,23,0.652
Cal Poly (Big Sky),11,2-9,10,15,0.667
Hampton (Big South),11,5-6,10,15,0.667
Idaho St. (Big Sky),11,1-10,8,12,0.667
LIU (NEC),10,2-8,16,24,0.667
Lafayette (Patriot),11,3-8,14,21,0.667
Drake (Pioneer),10,2-8,11,16,0.688
Southern Utah (Big Sky),11,1-10,9,13,0.692
Stony Brook (CAA),11,5-6,9,13,0.692
Texas Southern (SWAC),10,2-8,15,21,0.714
Rhode Island (CAA),11,7-4,18,25,0.720
Mercer (SoCon),10,7-3,11,15,0.733
Eastern Ill. (OVC),11,1-10,14,19,0.737
Howard (MEAC),11,3-8,14,19,0.737
Bethune-Cookman (SWAC),11,2-9,14,17,0.824
St. Thomas (MN) (Pioneer),10,7-3,8,28,0.286
Merrimack (NEC),11,5-6,12,23,0.522
Utah Tech (WAC),11,1-10,9,17,0.529
Tarleton St. (WAC),11,6-5,11,20,0.550
North Ala. (Big South),11,3-8,12,15,0.800
