Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Austin Peay (OVC),11,6-5,197,78,0.396
Northwestern St. (Southland),11,3-8,177,70,0.395
Western Caro. (SoCon),11,4-7,167,66,0.395
Eastern Ky. (ASUN),11,7-4,157,62,0.395
Prairie View (SWAC),12,7-5,180,71,0.394
Howard (MEAC),11,3-8,132,52,0.394
Alcorn (SWAC),11,6-5,160,63,0.394
Rhode Island (CAA),11,7-4,155,61,0.394
Charleston So. (Big South),10,4-6,174,68,0.391
Florida A&M (SWAC),12,9-3,171,66,0.386
Butler (Pioneer),11,3-8,141,54,0.383
Southern Utah (Big Sky),11,1-10,149,57,0.383
Jackson St. (SWAC),13,11-2,168,64,0.381
Idaho St. (Big Sky),11,1-10,171,65,0.380
Alabama St. (SWAC),11,5-6,156,59,0.378
Stony Brook (CAA),11,5-6,159,60,0.377
Sacramento St. (Big Sky),12,9-3,165,62,0.376
Maine (CAA),11,6-5,147,55,0.374
Villanova (CAA),13,10-3,169,63,0.373
Texas Southern (SWAC),10,2-8,132,49,0.371
N.C. A&T (Big South),11,5-6,141,52,0.369
McNeese (Southland),11,4-7,174,64,0.368
Richmond (CAA),11,6-5,155,57,0.368
Bethune-Cookman (SWAC),11,2-9,128,47,0.367
Montana (Big Sky),13,10-3,189,69,0.365
Yale (Ivy League),10,5-5,137,50,0.365
Harvard (Ivy League),10,8-2,151,55,0.364
Tennessee St. (OVC),11,5-6,149,54,0.362
Stetson (Pioneer),10,3-7,167,60,0.359
Wofford (SoCon),11,1-10,131,47,0.359
Campbell (Big South),11,3-8,148,53,0.358
N.C. Central (MEAC),11,6-5,148,53,0.358
Northern Ariz. (Big Sky),11,5-6,176,63,0.358
Tennessee Tech (OVC),11,3-8,154,55,0.357
Idaho (Big Sky),11,4-7,138,49,0.355
Lafayette (Patriot),11,3-8,150,53,0.353
San Diego (Pioneer),11,7-4,153,54,0.353
Saint Francis (PA) (NEC),11,5-6,145,50,0.345
Towson (CAA),11,4-7,157,54,0.344
Presbyterian (Pioneer),11,2-9,179,61,0.341
Western Ill. (MVFC),11,2-9,160,54,0.338
Southern Ill. (MVFC),13,8-5,178,59,0.331
UAlbany (CAA),11,2-9,154,51,0.331
Valparaiso (Pioneer),11,4-7,148,49,0.331
Central Conn. St. (NEC),11,4-7,170,56,0.329
William & Mary (CAA),11,6-5,144,47,0.326
LIU (NEC),10,2-8,133,43,0.323
Penn (Ivy League),10,3-7,134,43,0.321
UNI (MVFC),12,6-6,167,53,0.317
Marist (Pioneer),10,5-5,124,39,0.315
Indiana St. (MVFC),11,5-6,153,48,0.314
Colgate (Patriot),11,5-6,138,43,0.312
Drake (Pioneer),10,2-8,142,44,0.310
Southeast Mo. St. (OVC),11,4-7,167,51,0.305
Mississippi Val. (SWAC),11,4-7,151,46,0.305
Delaware St. (MEAC),11,5-6,161,49,0.304
Delaware (CAA),11,5-6,145,44,0.303
Gardner-Webb (Big South),11,4-7,151,45,0.298
Cal Poly (Big Sky),11,2-9,178,53,0.298
South Carolina St. (MEAC),12,7-5,178,53,0.298
Houston Christian (Southland),11,0-11,168,50,0.298
Cornell (Ivy League),10,2-8,147,43,0.293
Columbia (Ivy League),10,7-3,155,45,0.290
Grambling (SWAC),11,4-7,162,46,0.284
Lamar University (WAC),10,1-9,127,35,0.276
Illinois St. (MVFC),11,4-7,135,37,0.274
Morgan St. (MEAC),11,2-9,143,39,0.273
Lehigh (Patriot),11,3-8,147,40,0.272
Ark.-Pine Bluff (SWAC),11,2-9,148,40,0.270
Northern Colo. (Big Sky),11,3-8,167,43,0.257
Eastern Ill. (OVC),11,1-10,166,42,0.253
Bucknell (Patriot),11,1-10,153,37,0.242
Wagner (NEC),11,0-11,167,40,0.240
New Hampshire (CAA),11,3-8,133,30,0.226
Merrimack (NEC),11,5-6,148,68,0.459
St. Thomas (MN) (Pioneer),10,7-3,157,65,0.414
North Ala. (Big South),11,3-8,133,54,0.406
Tarleton St. (WAC),11,6-5,132,51,0.386
Utah Tech (WAC),11,1-10,163,58,0.356
