Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
North Dakota St. (MVFC),15,14-1,61,32,9,10,51,0.836
Chattanooga (SoCon),11,6-5,36,19,4,7,30,0.833
Lamar University (WAC),10,1-9,12,7,0,3,10,0.833
Monmouth (Big South),11,7-4,42,15,15,5,35,0.833
Tennessee Tech (OVC),11,3-8,30,15,5,5,25,0.833
UNI (MVFC),12,6-6,30,8,8,9,25,0.833
UT Martin (OVC),13,10-3,47,24,10,5,39,0.830
Elon (CAA),11,6-5,35,13,11,5,29,0.829
Maine (CAA),11,6-5,35,9,9,11,29,0.829
Rhode Island (CAA),11,7-4,39,12,11,9,32,0.821
Alabama St. (SWAC),11,5-6,33,8,13,6,27,0.818
Mississippi Val. (SWAC),11,4-7,33,13,7,7,27,0.818
Sacramento St. (Big Sky),12,9-3,55,17,15,13,45,0.818
Towson (CAA),11,4-7,33,13,10,4,27,0.818
UC Davis (Big Sky),12,8-4,55,16,12,17,45,0.818
Dayton (Pioneer),10,6-4,43,20,7,8,35,0.814
Delaware (CAA),11,5-6,32,13,4,9,26,0.812
San Diego (Pioneer),11,7-4,42,14,10,10,34,0.810
Princeton (Ivy League),10,9-1,47,20,6,12,38,0.809
Harvard (Ivy League),10,8-2,46,17,8,12,37,0.804
Montana (Big Sky),13,10-3,49,15,9,15,39,0.796
Davidson (Pioneer),11,8-3,44,25,7,3,35,0.795
Colgate (Patriot),11,5-6,34,14,5,8,27,0.794
UAlbany (CAA),11,2-9,34,13,7,7,27,0.794
Illinois St. (MVFC),11,4-7,24,11,3,5,19,0.792
Gardner-Webb (Big South),11,4-7,38,12,12,6,30,0.789
SFA (WAC),12,8-4,57,13,19,13,45,0.789
Nicholls (Southland),11,6-5,52,19,14,8,41,0.788
South Dakota (MVFC),12,7-5,42,17,8,8,33,0.786
Wofford (SoCon),11,1-10,28,13,3,6,22,0.786
Mercer (SoCon),10,7-3,37,17,7,5,29,0.784
Lafayette (Patriot),11,3-8,23,11,0,7,18,0.783
Western Caro. (SoCon),11,4-7,46,11,14,11,36,0.783
Southern Ill. (MVFC),13,8-5,55,14,19,10,43,0.782
Dartmouth (Ivy League),10,9-1,41,16,10,6,32,0.780
Abilene Christian (WAC),11,5-6,45,15,13,7,35,0.778
Florida A&M (SWAC),12,9-3,45,10,13,12,35,0.778
Morgan St. (MEAC),11,2-9,18,7,7,0,14,0.778
Norfolk St. (MEAC),11,6-5,54,23,13,6,42,0.778
UIW (Southland),13,10-3,62,14,31,3,48,0.774
Morehead St. (Pioneer),11,7-4,53,13,18,10,41,0.774
Northern Colo. (Big Sky),11,3-8,22,8,6,3,17,0.773
Richmond (CAA),11,6-5,35,11,7,9,27,0.771
The Citadel (SoCon),11,4-7,38,24,2,3,29,0.763
Prairie View (SWAC),12,7-5,42,17,2,13,32,0.762
Kennesaw St. (Big South),13,11-2,50,29,6,3,38,0.760
Cornell (Ivy League),10,2-8,29,8,7,7,22,0.759
Robert Morris (Big South),10,4-6,29,7,11,4,22,0.759
Butler (Pioneer),11,3-8,37,19,7,2,28,0.757
Stetson (Pioneer),10,3-7,44,18,10,5,33,0.750
Idaho (Big Sky),11,4-7,39,23,4,2,29,0.744
Central Conn. St. (NEC),11,4-7,35,9,9,8,26,0.743
Delaware St. (MEAC),11,5-6,35,14,10,2,26,0.743
Alcorn (SWAC),11,6-5,45,15,11,7,33,0.733
William & Mary (CAA),11,6-5,30,10,4,8,22,0.733
Southern Utah (Big Sky),11,1-10,41,14,8,8,30,0.732
Stony Brook (CAA),11,5-6,37,16,3,8,27,0.730
Northern Ariz. (Big Sky),11,5-6,33,10,8,6,24,0.727
Murray St. (OVC),11,6-5,36,19,3,4,26,0.722
Tennessee St. (OVC),11,5-6,36,11,6,9,26,0.722
Charleston So. (Big South),10,4-6,35,11,9,5,25,0.714
Jackson St. (SWAC),13,11-2,42,9,18,3,30,0.714
Jacksonville St. (ASUN),11,5-6,35,13,6,6,25,0.714
N.C. A&T (Big South),11,5-6,28,12,4,4,20,0.714
Portland St. (Big Sky),11,5-6,48,17,13,4,34,0.708
LIU (NEC),10,2-8,20,4,5,5,14,0.700
North Dakota (MVFC),11,5-6,49,12,15,7,34,0.694
McNeese (Southland),11,4-7,44,17,8,5,30,0.682
Wagner (NEC),11,0-11,25,11,4,2,17,0.680
Marist (Pioneer),10,5-5,31,7,8,6,21,0.677
Drake (Pioneer),10,2-8,24,7,6,3,16,0.667
Eastern Ill. (OVC),11,1-10,32,8,7,6,21,0.656
Sacred Heart (NEC),12,8-4,49,17,4,11,32,0.653
Idaho St. (Big Sky),11,1-10,31,7,6,7,20,0.645
Ark.-Pine Bluff (SWAC),11,2-9,36,10,3,10,23,0.639
Lehigh (Patriot),11,3-8,30,6,4,9,19,0.633
Presbyterian (Pioneer),11,2-9,46,8,21,0,29,0.630
Northwestern St. (Southland),11,3-8,41,13,6,6,25,0.610
Indiana St. (MVFC),11,5-6,31,7,7,4,18,0.581
Cal Poly (Big Sky),11,2-9,33,7,9,3,19,0.576
Campbell (Big South),11,3-8,38,10,10,1,21,0.553
New Hampshire (CAA),11,3-8,35,4,12,2,18,0.514
North Ala. (Big South),11,3-8,35,14,11,4,29,0.829
Tarleton St. (WAC),11,6-5,49,15,14,10,39,0.796
Utah Tech (WAC),11,1-10,32,9,7,7,23,0.719
St. Thomas (MN) (Pioneer),10,7-3,37,19,3,4,26,0.703
Merrimack (NEC),11,5-6,42,9,19,0,28,0.667
