Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Nicholls (Southland),11,6-5,5,34,0,6.80
Sacramento St. (Big Sky),12,9-3,14,97,0,6.93
Cornell (Ivy League),10,2-8,21,146,1,6.95
Drake (Pioneer),10,2-8,11,77,0,7.00
Stetson (Pioneer),10,3-7,10,70,0,7.00
N.C. Central (MEAC),11,6-5,15,106,1,7.07
Colgate (Patriot),11,5-6,8,57,0,7.12
Western Caro. (SoCon),11,4-7,7,50,0,7.14
South Dakota St. (MVFC),15,11-4,8,58,0,7.25
Davidson (Pioneer),11,8-3,7,51,1,7.29
South Dakota (MVFC),12,7-5,13,95,0,7.31
Duquesne (NEC),10,7-3,12,91,0,7.58
Alabama St. (SWAC),11,5-6,20,156,0,7.80
Idaho St. (Big Sky),11,1-10,21,166,2,7.90
Bryant (NEC),11,7-4,8,66,0,8.25
Marist (Pioneer),10,5-5,4,33,0,8.25
William & Mary (CAA),11,6-5,18,149,0,8.28
Villanova (CAA),13,10-3,14,120,0,8.57
Towson (CAA),11,4-7,16,139,1,8.69
San Diego (Pioneer),11,7-4,16,140,1,8.75
N.C. A&T (Big South),11,5-6,10,89,1,8.90
Robert Morris (Big South),10,4-6,16,143,0,8.94
Harvard (Ivy League),10,8-2,7,64,1,9.14
Western Ill. (MVFC),11,2-9,17,156,1,9.18
Butler (Pioneer),11,3-8,8,74,0,9.25
Jacksonville St. (ASUN),11,5-6,16,148,0,9.25
UT Martin (OVC),13,10-3,23,214,0,9.30
Penn (Ivy League),10,3-7,13,121,1,9.31
Eastern Ill. (OVC),11,1-10,21,204,1,9.71
Northern Colo. (Big Sky),11,3-8,23,225,0,9.78
Southeast Mo. St. (OVC),11,4-7,12,118,1,9.83
Valparaiso (Pioneer),11,4-7,20,197,2,9.85
Bethune-Cookman (SWAC),11,2-9,16,159,0,9.94
Morehead St. (Pioneer),11,7-4,13,130,0,10.00
Bucknell (Patriot),11,1-10,15,151,0,10.07
Gardner-Webb (Big South),11,4-7,11,111,0,10.09
Howard (MEAC),11,3-8,12,122,1,10.17
Wagner (NEC),11,0-11,26,268,1,10.31
Monmouth (Big South),11,7-4,15,156,1,10.40
SFA (WAC),12,8-4,10,104,0,10.40
Northern Ariz. (Big Sky),11,5-6,30,313,0,10.43
Morgan St. (MEAC),11,2-9,17,179,0,10.53
South Carolina St. (MEAC),12,7-5,33,351,1,10.64
Florida A&M (SWAC),12,9-3,13,139,0,10.69
Central Ark. (ASUN),11,5-6,24,257,0,10.71
Eastern Ky. (ASUN),11,7-4,24,257,1,10.71
Charleston So. (Big South),10,4-6,26,279,0,10.73
LIU (NEC),10,2-8,13,140,1,10.77
Furman (SoCon),11,6-5,12,131,0,10.92
Delaware (CAA),11,5-6,25,283,3,11.32
Southeastern La. (Southland),13,9-4,10,114,0,11.40
Presbyterian (Pioneer),11,2-9,3,35,1,11.67
Delaware St. (MEAC),11,5-6,24,283,2,11.79
Indiana St. (MVFC),11,5-6,21,252,0,12.00
Tennessee St. (OVC),11,5-6,26,314,2,12.08
Lamar University (WAC),10,1-9,18,221,1,12.28
Idaho (Big Sky),11,4-7,15,186,2,12.40
UAlbany (CAA),11,2-9,19,238,3,12.53
Mercer (SoCon),10,7-3,9,117,1,13.00
VMI (SoCon),11,6-5,24,313,1,13.04
Portland St. (Big Sky),11,5-6,16,209,0,13.06
Alcorn (SWAC),11,6-5,19,252,2,13.26
Columbia (Ivy League),10,7-3,19,265,2,13.95
Prairie View (SWAC),12,7-5,26,384,1,14.77
Southern Utah (Big Sky),11,1-10,20,299,0,14.95
Sacred Heart (NEC),12,8-4,18,278,1,15.44
Grambling (SWAC),11,4-7,15,237,1,15.80
Ark.-Pine Bluff (SWAC),11,2-9,23,368,1,16.00
The Citadel (SoCon),11,4-7,10,160,1,16.00
Norfolk St. (MEAC),11,6-5,12,196,2,16.33
UNI (MVFC),12,6-6,3,52,0,17.33
Alabama A&M (SWAC),10,7-3,9,160,0,17.78
Mississippi Val. (SWAC),11,4-7,23,470,3,20.43
Tarleton St. (WAC),11,6-5,6,16,0,2.67
North Ala. (Big South),11,3-8,16,104,0,6.50
Merrimack (NEC),11,5-6,16,112,0,7.00
Utah Tech (WAC),11,1-10,19,140,0,7.37
St. Thomas (MN) (Pioneer),10,7-3,14,153,1,10.93
