Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Elon (CAA),6,1-5,20,10,3,5,18,0.900
Austin Peay (OVC),9,4-5,44,22,9,9,40,0.909
North Dakota (MVFC),7,5-2,22,10,4,6,20,0.909
UIW (Southland),6,3-3,35,16,9,7,32,0.914
Lamar University (Southland),6,2-4,24,13,7,2,22,0.917
Western Ill. (MVFC),6,1-5,22,8,6,7,21,0.955
Colgate (Patriot),2,0-2,8,5,1,2,8,1.000
Montana (Big Sky),2,2-0,1,0,0,1,1,1.000
New Hampshire (CAA),1,0-1,3,0,2,1,3,1.000
North Dakota St. (MVFC),10,7-3,24,12,6,6,24,1.000
Texas Southern (SWAC),2,0-2,8,4,2,2,8,1.000
Weber St. (Big Sky),6,5-1,14,3,5,6,14,1.000
William & Mary (CAA),3,1-2,10,5,4,1,10,1.000
Merrimack (NEC),3,0-3,15,5,3,3,11,0.733
Utah Tech (FCS Independent),5,2-3,23,7,3,8,18,0.783
Tarleton St. (FCS Independent),8,5-3,23,11,3,4,18,0.783
North Ala. (FCS Independent),4,0-4,24,8,10,2,20,0.833
