Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Abilene Christian (Southland),6,1-5,28,22,1,0,7,0,213,35.5
Texas Southern (SWAC),2,0-2,9,9,0,0,2,1,71,35.5
Mississippi Val. (SWAC),3,0-3,15,11,1,0,2,0,109,36.3
Southeastern La. (Southland),7,4-3,33,29,1,0,8,1,255,36.4
Grambling (SWAC),4,0-4,21,18,0,0,1,0,147,36.8
Western Caro. (SoCon),9,1-8,49,45,1,0,6,0,359,39.9
Lamar University (Southland),6,2-4,35,30,2,0,2,0,250,41.7
UIW (Southland),6,3-3,32,27,1,0,10,0,251,41.8
Campbell (Big South),4,0-4,25,24,1,0,4,0,188,47.0
Houston Christian (Southland),4,1-3,26,23,0,0,3,0,188,47.0
Portland St. (Big Sky),1,0-1,7,6,0,0,0,0,48,48.0
Cal Poly (Big Sky),3,0-3,22,22,0,0,5,0,169,56.3
Tarleton St. (FCS Independent),8,5-3,20,14,1,0,6,0,154,19.2
Merrimack (NEC),3,0-3,9,8,0,0,3,0,71,23.7
Utah Tech (FCS Independent),5,2-3,14,13,0,0,9,0,124,24.8
North Ala. (FCS Independent),4,0-4,19,19,0,0,3,0,142,35.5
