Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
LIU (NEC),4,2-2,13,5,3,2,10,0.769
The Citadel (SoCon),12,2-10,26,15,2,3,20,0.769
Western Caro. (SoCon),9,1-8,13,8,2,0,10,0.769
Delaware (CAA),8,7-1,30,11,4,8,23,0.767
Tennessee St. (OVC),7,2-5,21,7,2,7,16,0.762
Samford (SoCon),7,4-3,33,14,3,8,25,0.758
Fordham (Patriot),3,2-1,12,5,1,3,9,0.750
Howard (MEAC),2,0-2,4,2,1,0,3,0.750
Lafayette (Patriot),3,2-1,8,1,2,3,6,0.750
San Diego (Pioneer),6,4-2,28,6,7,8,21,0.750
Valparaiso (Pioneer),6,4-2,24,8,4,6,18,0.750
William & Mary (CAA),3,1-2,8,2,2,2,6,0.750
Ark.-Pine Bluff (SWAC),5,4-1,19,4,8,2,14,0.737
Morehead St. (Pioneer),7,4-3,19,5,7,2,14,0.737
Austin Peay (OVC),9,4-5,26,8,7,4,19,0.731
Duquesne (NEC),5,4-1,22,7,5,4,16,0.727
ETSU (SoCon),6,4-2,22,8,3,5,16,0.727
Stony Brook (CAA),4,1-3,11,6,1,1,8,0.727
Tennessee Tech (OVC),7,2-5,24,9,3,5,17,0.708
Alabama St. (SWAC),5,2-3,17,6,6,0,12,0.706
Houston Christian (Southland),4,1-3,17,2,8,2,12,0.706
Monmouth (Big South),4,3-1,17,7,5,0,12,0.706
Lamar University (Southland),6,2-4,16,4,4,3,11,0.688
Weber St. (Big Sky),6,5-1,22,9,3,3,15,0.682
Butler (Pioneer),6,0-6,18,5,4,3,12,0.667
Eastern Ill. (OVC),6,1-5,20,3,6,4,13,0.650
Bryant (NEC),4,2-2,14,6,1,2,9,0.643
Gardner-Webb (Big South),4,2-2,14,4,2,3,9,0.643
Grambling (SWAC),4,0-4,11,5,2,0,7,0.636
South Carolina St. (MEAC),4,3-1,11,2,3,2,7,0.636
Cal Poly (Big Sky),3,0-3,10,1,4,1,6,0.600
Robert Morris (Big South),3,0-3,7,1,2,1,4,0.571
Western Ill. (MVFC),6,1-5,22,4,6,2,12,0.545
Delaware St. (MEAC),5,2-3,13,4,2,1,7,0.538
Lehigh (Patriot),3,0-3,4,0,1,1,2,0.500
Mississippi Val. (SWAC),3,0-3,8,2,1,1,4,0.500
Wagner (NEC),2,0-2,2,1,0,0,1,0.500
New Hampshire (CAA),1,0-1,5,0,2,0,2,0.400
Colgate (Patriot),2,0-2,9,2,0,1,3,0.333
Portland St. (Big Sky),1,0-1,0,0,0,0,0,0.000
Utah Tech (FCS Independent),5,2-3,16,5,5,3,13,0.812
North Ala. (FCS Independent),4,0-4,10,3,2,3,8,0.800
Tarleton St. (FCS Independent),8,5-3,36,11,7,9,27,0.750
Merrimack (NEC),3,0-3,11,1,4,0,5,0.455
