Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
VMI (SoCon),8,6-2,566,2929,5.17,21,22,366.1
UC Davis (Big Sky),5,3-2,374,1837,4.91,13,14,367.4
Weber St. (Big Sky),6,5-1,457,2220,4.86,12,13,370.0
Davidson (Pioneer),7,4-3,398,2600,6.53,26,26,371.4
SFA (Southland),10,6-4,693,3720,5.37,26,28,372.0
Mercer (SoCon),11,5-6,756,4096,5.42,40,42,372.4
Villanova (CAA),4,2-2,264,1511,5.72,12,12,377.8
Jackson St. (SWAC),6,3-3,431,2269,5.26,21,21,378.2
Butler (Pioneer),6,0-6,385,2283,5.93,21,23,380.5
Wofford (SoCon),5,1-4,327,1908,5.83,18,18,381.6
Eastern Wash. (Big Sky),7,5-2,488,2679,5.49,25,25,382.7
Nicholls (Southland),7,4-3,468,2681,5.73,28,32,383.0
Robert Morris (Big South),3,0-3,205,1159,5.65,11,12,386.3
Tennessee St. (OVC),7,2-5,462,2709,5.86,26,28,387.0
Central Ark. (Southland),9,5-4,661,3488,5.28,31,33,387.6
Southern Ill. (MVFC),10,6-4,634,3888,6.13,37,38,388.8
Texas Southern (SWAC),2,0-2,137,778,5.68,8,9,389.0
LIU (NEC),4,2-2,288,1569,5.45,15,15,392.2
Eastern Ill. (OVC),6,1-5,426,2355,5.53,21,24,392.5
Morehead St. (Pioneer),7,4-3,515,2828,5.49,23,23,404.0
Elon (CAA),6,1-5,431,2438,5.66,23,24,406.3
Southern Utah (Big Sky),6,1-5,434,2476,5.71,20,21,412.7
South Dakota (MVFC),4,1-3,291,1664,5.72,9,11,416.0
Mississippi Val. (SWAC),3,0-3,218,1256,5.76,13,15,418.7
Abilene Christian (Southland),6,1-5,401,2530,6.31,27,28,421.7
Rhode Island (CAA),3,2-1,217,1288,5.94,10,10,429.3
Idaho St. (Big Sky),6,2-4,419,2623,6.26,25,25,437.2
McNeese (Southland),7,3-4,538,3088,5.74,22,23,441.1
Idaho (Big Sky),6,2-4,434,2661,6.13,19,20,443.5
Samford (SoCon),7,4-3,572,3107,5.43,24,24,443.9
Northern Ariz. (Big Sky),5,3-2,373,2220,5.95,17,18,444.0
Western Ill. (MVFC),6,1-5,432,2667,6.17,23,24,444.5
Grambling (SWAC),4,0-4,263,1802,6.85,19,21,450.5
Eastern Ky. (OVC),9,3-6,648,4096,6.32,37,40,455.1
Northwestern St. (Southland),6,1-5,468,2835,6.06,22,23,472.5
Campbell (Big South),4,0-4,262,1921,7.33,23,25,480.2
Western Caro. (SoCon),9,1-8,708,4588,6.48,48,49,509.8
Lamar University (Southland),6,2-4,399,3059,7.67,34,35,509.8
Portland St. (Big Sky),1,0-1,76,511,6.72,7,7,511.0
Southeastern La. (Southland),7,4-3,507,3650,7.20,33,33,521.4
UIW (Southland),6,3-3,497,3198,6.43,31,32,533.0
Houston Christian (Southland),4,1-3,328,2367,7.22,26,26,591.8
Cal Poly (Big Sky),3,0-3,242,1855,7.67,21,22,618.3
Tarleton St. (FCS Independent),8,5-3,556,2437,4.38,18,20,304.6
Merrimack (NEC),3,0-3,208,973,4.68,9,9,324.3
Utah Tech (FCS Independent),5,2-3,379,1966,5.19,12,14,393.2
North Ala. (FCS Independent),4,0-4,249,1646,6.61,19,19,411.5
