Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Idaho St. (Big Sky),6,2-4,12,72,0,6.00
South Dakota St. (MVFC),10,8-2,9,54,0,6.00
VMI (SoCon),8,6-2,8,49,0,6.12
Nicholls (Southland),7,4-3,2,13,0,6.50
Wagner (NEC),2,0-2,2,13,0,6.50
Southern Ill. (MVFC),10,6-4,5,33,0,6.60
Campbell (Big South),4,0-4,8,53,0,6.62
North Dakota (MVFC),7,5-2,6,40,0,6.67
Duquesne (NEC),5,4-1,1,7,0,7.00
Kennesaw St. (Big South),5,4-1,1,7,0,7.00
Northern Ariz. (Big Sky),5,3-2,3,21,0,7.00
Stony Brook (CAA),4,1-3,3,21,0,7.00
Samford (SoCon),7,4-3,6,43,0,7.17
Delaware (CAA),8,7-1,16,115,1,7.19
UAlbany (CAA),4,1-3,6,44,1,7.33
Southeast Mo. St. (OVC),8,4-4,12,89,0,7.42
Alabama A&M (SWAC),4,4-0,8,60,0,7.50
Jacksonville St. (OVC),13,10-3,14,110,0,7.86
Western Caro. (SoCon),9,1-8,16,133,0,8.31
Austin Peay (OVC),9,4-5,13,115,1,8.85
Bryant (NEC),4,2-2,1,9,0,9.00
Stetson (Pioneer),4,0-4,2,18,0,9.00
The Citadel (SoCon),12,2-10,18,163,1,9.06
Ark.-Pine Bluff (SWAC),5,4-1,10,91,1,9.10
Butler (Pioneer),6,0-6,3,28,0,9.33
UC Davis (Big Sky),5,3-2,6,56,0,9.33
UNI (MVFC),7,3-4,9,84,0,9.33
Youngstown St. (MVFC),7,1-6,10,95,1,9.50
Furman (SoCon),7,3-4,10,96,2,9.60
Howard (MEAC),2,0-2,5,49,0,9.80
Jackson St. (SWAC),6,3-3,15,149,0,9.93
Sam Houston (Southland),10,10-0,13,130,1,10.00
Wofford (SoCon),5,1-4,9,93,0,10.33
Cal Poly (Big Sky),3,0-3,4,43,0,10.75
Morehead St. (Pioneer),7,4-3,13,142,0,10.92
Eastern Ill. (OVC),6,1-5,9,105,0,11.67
SFA (Southland),10,6-4,18,211,1,11.72
Prairie View (SWAC),3,2-1,4,47,0,11.75
Alabama St. (SWAC),5,2-3,10,119,0,11.90
Houston Christian (Southland),4,1-3,4,49,0,12.25
Sacred Heart (NEC),5,3-2,6,75,0,12.50
Valparaiso (Pioneer),6,4-2,10,129,0,12.90
Grambling (SWAC),4,0-4,11,143,1,13.00
Murray St. (OVC),7,5-2,7,93,1,13.29
James Madison (CAA),8,7-1,9,132,1,14.67
South Carolina St. (MEAC),4,3-1,4,59,0,14.75
Missouri St. (MVFC),10,5-5,25,373,2,14.92
Villanova (CAA),4,2-2,3,45,0,15.00
Lamar University (Southland),6,2-4,11,168,1,15.27
Monmouth (Big South),4,3-1,10,172,1,17.20
Northwestern St. (Southland),6,1-5,8,145,1,18.12
Illinois St. (MVFC),4,1-3,6,115,1,19.17
Mississippi Val. (SWAC),3,0-3,10,216,1,21.60
Weber St. (Big Sky),6,5-1,2,52,1,26.00
Portland St. (Big Sky),1,0-1,3,89,0,29.67
Gardner-Webb (Big South),4,2-2,1,32,0,32.00
Tarleton St. (FCS Independent),8,5-3,3,13,0,4.33
Merrimack (NEC),3,0-3,11,49,0,4.45
Utah Tech (FCS Independent),5,2-3,8,54,0,6.75
North Ala. (FCS Independent),4,0-4,6,48,0,8.00
