Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Alabama St. (SWAC),5,2-3,188,726,3.86,7,145.2
Southern Utah (Big Sky),6,1-5,233,875,3.76,8,145.8
Chattanooga (SoCon),5,3-2,225,731,3.25,8,146.2
Howard (MEAC),2,0-2,99,295,2.98,2,147.5
Youngstown St. (MVFC),7,1-6,254,1039,4.09,10,148.4
William & Mary (CAA),3,1-2,113,458,4.05,5,152.7
Wagner (NEC),2,0-2,84,306,3.64,6,153.0
Wofford (SoCon),5,1-4,202,766,3.79,11,153.2
Delaware St. (MEAC),5,2-3,188,771,4.10,6,154.2
LIU (NEC),4,2-2,150,624,4.16,8,156.0
South Carolina St. (MEAC),4,3-1,152,627,4.12,1,156.8
Fordham (Patriot),3,2-1,116,471,4.06,5,157.0
Jackson St. (SWAC),6,3-3,230,945,4.11,11,157.5
Idaho St. (Big Sky),6,2-4,215,970,4.51,12,161.7
Butler (Pioneer),6,0-6,218,975,4.47,8,162.5
SFA (Southland),10,6-4,367,1626,4.43,18,162.6
Central Ark. (Southland),9,5-4,364,1466,4.03,16,162.9
Northern Ariz. (Big Sky),5,3-2,179,829,4.63,4,165.8
VMI (SoCon),8,6-2,361,1346,3.73,9,168.2
Texas Southern (SWAC),2,0-2,77,338,4.39,4,169.0
Northwestern St. (Southland),6,1-5,259,1022,3.95,10,170.3
Murray St. (OVC),7,5-2,273,1196,4.38,12,170.9
The Citadel (SoCon),12,2-10,437,2063,4.72,20,171.9
Southeast Mo. St. (OVC),8,4-4,309,1395,4.51,9,174.4
Presbyterian (Pioneer),7,4-3,301,1236,4.11,10,176.6
Mercer (SoCon),11,5-6,448,1978,4.42,30,179.8
Stetson (Pioneer),4,0-4,171,734,4.29,4,183.5
McNeese (Southland),7,3-4,278,1291,4.64,8,184.4
Grambling (SWAC),4,0-4,166,771,4.64,10,192.8
Tennessee St. (OVC),7,2-5,266,1355,5.09,15,193.6
Eastern Wash. (Big Sky),7,5-2,302,1378,4.56,15,196.9
Duquesne (NEC),5,4-1,204,993,4.87,6,198.6
Eastern Ky. (OVC),9,3-6,362,1805,4.99,16,200.6
Southern Ill. (MVFC),10,6-4,394,2039,5.18,26,203.9
Samford (SoCon),7,4-3,356,1485,4.17,12,212.1
Maine (CAA),4,2-2,159,849,5.34,11,212.2
UIW (Southland),6,3-3,266,1290,4.85,18,215.0
Western Ill. (MVFC),6,1-5,271,1306,4.82,14,217.7
Elon (CAA),6,1-5,269,1311,4.87,16,218.5
Robert Morris (Big South),3,0-3,145,661,4.56,7,220.3
South Dakota (MVFC),4,1-3,180,893,4.96,6,223.2
Abilene Christian (Southland),6,1-5,271,1349,4.98,16,224.8
Houston Christian (Southland),4,1-3,164,920,5.61,11,230.0
Morehead St. (Pioneer),7,4-3,330,1624,4.92,17,232.0
Southeastern La. (Southland),7,4-3,296,1715,5.79,20,245.0
Portland St. (Big Sky),1,0-1,45,250,5.56,5,250.0
Lamar University (Southland),6,2-4,210,1510,7.19,20,251.7
Rhode Island (CAA),3,2-1,126,765,6.07,7,255.0
Cal Poly (Big Sky),3,0-3,137,819,5.98,9,273.0
Western Caro. (SoCon),9,1-8,467,2498,5.35,32,277.6
Campbell (Big South),4,0-4,190,1180,6.21,19,295.0
Tarleton St. (FCS Independent),8,5-3,328,1135,3.46,11,141.9
Merrimack (NEC),3,0-3,144,577,4.01,5,192.3
Utah Tech (FCS Independent),5,2-3,237,1122,4.73,7,224.4
North Ala. (FCS Independent),4,0-4,153,918,6.00,9,229.5
