Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Austin Peay (OVC),9,4-5,322,1204,3.74,14,133.8
Tennessee St. (OVC),7,2-5,259,936,3.61,9,133.7
Eastern Ill. (OVC),6,1-5,206,779,3.78,5,129.8
Grambling (SWAC),4,0-4,161,517,3.21,5,129.2
Eastern Ky. (OVC),9,3-6,311,1161,3.73,9,129.0
Maine (CAA),4,2-2,140,506,3.61,4,126.5
Northern Ariz. (Big Sky),5,3-2,181,630,3.48,8,126.0
SFA (Southland),10,6-4,339,1253,3.70,13,125.3
Texas Southern (SWAC),2,0-2,81,250,3.09,2,125.0
Chattanooga (SoCon),5,3-2,192,622,3.24,9,124.4
William & Mary (CAA),3,1-2,99,373,3.77,4,124.3
Idaho St. (Big Sky),6,2-4,227,730,3.22,7,121.7
Ark.-Pine Bluff (SWAC),5,4-1,177,596,3.37,5,119.2
Drake (Pioneer),5,2-3,169,596,3.53,5,119.2
UAlbany (CAA),4,1-3,144,475,3.30,2,118.8
Alabama A&M (SWAC),4,4-0,132,473,3.58,5,118.2
VMI (SoCon),8,6-2,275,946,3.44,12,118.2
Southeastern La. (Southland),7,4-3,240,817,3.40,13,116.7
Central Ark. (Southland),9,5-4,273,1026,3.76,8,114.0
Tennessee Tech (OVC),7,2-5,242,797,3.29,9,113.9
Missouri St. (MVFC),10,5-5,377,1115,2.96,12,111.5
San Diego (Pioneer),6,4-2,198,653,3.30,6,108.8
Howard (MEAC),2,0-2,60,216,3.60,2,108.0
Abilene Christian (Southland),6,1-5,190,633,3.33,8,105.5
UNI (MVFC),7,3-4,238,737,3.10,10,105.3
Butler (Pioneer),6,0-6,183,626,3.42,5,104.3
Cal Poly (Big Sky),3,0-3,129,305,2.36,1,101.7
Prairie View (SWAC),3,2-1,96,305,3.18,4,101.7
Presbyterian (Pioneer),7,4-3,228,703,3.08,9,100.4
Portland St. (Big Sky),1,0-1,35,100,2.86,0,100.0
Southern Utah (Big Sky),6,1-5,173,589,3.40,5,98.2
Charleston So. (Big South),4,2-2,143,386,2.70,4,96.5
Colgate (Patriot),2,0-2,72,187,2.60,2,93.5
Houston Christian (Southland),4,1-3,105,352,3.35,2,88.0
Wagner (NEC),2,0-2,61,174,2.85,1,87.0
Elon (CAA),6,1-5,175,517,2.95,6,86.2
Fordham (Patriot),3,2-1,98,251,2.56,5,83.7
South Dakota (MVFC),4,1-3,137,321,2.34,5,80.2
Lafayette (Patriot),3,2-1,91,239,2.63,1,79.7
UT Martin (OVC),7,3-4,202,531,2.63,5,75.9
Morehead St. (Pioneer),7,4-3,194,465,2.40,5,66.4
Bucknell (Patriot),4,2-2,122,247,2.02,3,61.8
New Hampshire (CAA),1,0-1,24,58,2.42,0,58.0
Western Ill. (MVFC),6,1-5,133,338,2.54,4,56.3
Robert Morris (Big South),3,0-3,88,156,1.77,1,52.0
Lehigh (Patriot),3,0-3,86,95,1.10,1,31.7
Tarleton St. (FCS Independent),8,5-3,324,1431,4.42,13,178.9
Utah Tech (FCS Independent),5,2-3,146,612,4.19,7,122.4
Merrimack (NEC),3,0-3,84,251,2.99,1,83.7
North Ala. (FCS Independent),4,0-4,110,198,1.80,3,49.5
