Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
NC State (ACC),13,9-4,60,46,321,83,6.4
Middle Tenn. (C-USA),14,8-6,69,40,372,89,6.4
Arizona (Pac-12),12,5-7,66,20,275,76,6.3
Cincinnati (AAC),13,11-2,61,42,341,82,6.3
Boise St. (Mountain West),13,10-3,63,38,388,82,6.3
New Mexico St. (FBS Independent),12,3-9,52,46,306,75,6.3
Temple (AAC),13,8-5,71,20,328,81,6.2
South Carolina (SEC),13,7-6,65,30,270,80,6.2
Miami (OH) (MAC),12,6-6,56,34,255,73,6.1
Pittsburgh (ACC),14,7-7,67,36,358,85,6.1
Notre Dame (FBS Independent),13,12-1,63,30,351,78,6.0
UNLV (Mountain West),12,4-8,56,32,234,72,6.0
Virginia Tech (ACC),13,6-7,57,40,292,77,5.9
California (Pac-12),13,7-6,64,26,347,77,5.9
Eastern Mich. (MAC),13,7-6,51,50,285,76,5.8
Duke (ACC),13,8-5,54,44,240,76,5.8
Fla. Atlantic (C-USA),12,5-7,49,42,247,70,5.8
Texas Tech (Big 12),12,5-7,50,40,308,70,5.8
Ohio (MAC),13,9-4,51,48,290,75,5.8
Air Force (Mountain West),12,5-7,50,38,267,69,5.8
Arkansas (SEC),12,2-10,49,40,267,69,5.8
Indiana (Big Ten),12,5-7,62,14,251,69,5.8
Florida St. (ACC),12,5-7,55,28,292,69,5.8
Northwestern (Big Ten),14,9-5,63,34,281,80,5.7
Tennessee (SEC),12,5-7,59,18,269,68,5.7
Wyoming (Mountain West),12,6-6,52,32,251,68,5.7
Oklahoma (Big 12),14,12-2,59,40,319,79,5.6
Missouri (SEC),13,8-5,60,26,274,73,5.6
Buffalo (MAC),14,10-4,63,30,316,78,5.6
Oregon (Pac-12),13,9-4,62,20,301,72,5.5
New Mexico (Mountain West),12,3-9,55,22,257,66,5.5
Kansas (Big 12),12,3-9,57,18,266,66,5.5
Minnesota (Big Ten),13,7-6,58,26,245,71,5.5
Stanford (Pac-12),13,9-4,56,30,326,71,5.5
Iowa (Big Ten),13,9-4,63,16,322,71,5.5
Illinois (Big Ten),12,4-8,52,26,223,65,5.4
Ball St. (MAC),12,4-8,54,22,230,65,5.4
Western Ky. (C-USA),12,3-9,51,28,241,65,5.4
Old Dominion (C-USA),12,4-8,50,30,224,65,5.4
Baylor (Big 12),13,7-6,55,28,304,69,5.3
Charlotte (C-USA),12,5-7,47,32,219,63,5.3
FIU (C-USA),13,9-4,60,16,228,68,5.2
San Diego St. (Mountain West),13,7-6,53,30,240,68,5.2
Nebraska (Big Ten),12,4-8,53,18,274,62,5.2
South Alabama (Sun Belt),12,3-9,49,26,244,62,5.2
Massachusetts (FBS Independent),12,4-8,39,46,196,62,5.2
Colorado St. (Mountain West),12,3-9,47,28,232,61,5.1
Coastal Carolina (Sun Belt),12,5-7,48,26,259,61,5.1
Army West Point (FBS Independent),13,11-2,52,28,287,66,5.1
Fresno St. (Mountain West),14,12-2,50,40,236,70,5.0
Hawaii (Mountain West),14,8-6,57,26,290,70,5.0
Rutgers (Big Ten),12,1-11,48,24,235,60,5.0
UTEP (C-USA),12,1-11,42,36,217,60,5.0
Tulsa (AAC),12,3-9,44,30,209,59,4.9
Ga. Southern (Sun Belt),13,10-3,47,32,225,63,4.8
Wisconsin (Big Ten),13,8-5,52,22,233,63,4.8
Texas St. (Sun Belt),12,3-9,41,34,176,58,4.8
San Jose St. (Mountain West),12,1-11,44,28,184,58,4.8
Vanderbilt (SEC),13,6-7,49,26,227,62,4.8
Virginia (ACC),13,8-5,42,40,257,62,4.8
Purdue (Big Ten),13,6-7,55,12,250,61,4.7
Georgia (SEC),14,11-3,49,32,252,65,4.6
UCLA (Pac-12),12,3-9,48,14,184,55,4.6
Washington (Pac-12),14,10-4,53,22,289,64,4.6
Louisiana (Sun Belt),14,7-7,49,28,235,63,4.5
Maryland (Big Ten),12,5-7,49,10,210,54,4.5
Kent St. (MAC),12,2-10,47,14,223,54,4.5
Oregon St. (Pac-12),12,2-10,40,26,217,53,4.4
BYU (FBS Independent),13,7-6,52,10,214,57,4.4
UConn (AAC),12,1-11,36,32,149,52,4.3
Rice (C-USA),13,2-11,49,14,215,56,4.3
Kansas St. (Big 12),12,5-7,49,2,204,50,4.2
Georgia Tech (ACC),13,7-6,41,26,214,54,4.2
Louisville (ACC),12,2-10,33,26,145,46,3.8
Georgia St. (Sun Belt),12,2-10,31,24,146,43,3.6
Bowling Green (MAC),12,3-9,33,12,143,39,3.3
Navy (AAC),13,3-10,27,20,139,37,2.8
Liberty (FBS Independent),12,6-6,51,30,263,66,5.5
