Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Tulsa (AAC),12,3-9,582,2406,4.13,23,200.5
Syracuse (ACC),13,10-3,602,2601,4.32,38,200.1
UConn (AAC),12,1-11,500,2394,4.79,16,199.5
Western Mich. (MAC),13,7-6,566,2593,4.58,32,199.5
Wyoming (Mountain West),12,6-6,495,2393,4.83,19,199.4
Kentucky (SEC),13,10-3,536,2592,4.84,27,199.4
Coastal Carolina (Sun Belt),12,5-7,515,2384,4.63,21,198.7
Alabama (SEC),15,14-1,571,2976,5.21,33,198.4
South Fla. (AAC),13,7-6,517,2522,4.88,26,194.0
North Carolina (ACC),11,2-9,402,2123,5.28,19,193.0
Miami (FL) (ACC),13,7-6,479,2489,5.20,25,191.5
Oklahoma St. (Big 12),13,7-6,518,2474,4.78,30,190.3
Buffalo (MAC),14,10-4,585,2648,4.53,36,189.1
Boston College (ACC),12,7-5,558,2269,4.07,23,189.1
Arkansas St. (Sun Belt),13,8-5,508,2402,4.73,18,184.8
Arizona St. (Pac-12),13,7-6,502,2392,4.76,26,184.0
Notre Dame (FBS Independent),13,12-1,536,2374,4.43,27,182.6
Kansas St. (Big 12),12,5-7,507,2191,4.32,20,182.6
Utah (Pac-12),14,9-5,563,2520,4.48,23,180.0
Oregon (Pac-12),13,9-4,529,2332,4.41,28,179.4
Washington (Pac-12),14,10-4,564,2468,4.38,26,176.3
FIU (C-USA),13,9-4,476,2286,4.80,27,175.8
Virginia Tech (ACC),13,6-7,520,2266,4.36,19,174.3
Troy (Sun Belt),13,10-3,485,2263,4.67,21,174.1
LSU (SEC),13,10-3,563,2257,4.01,29,173.6
Virginia (ACC),13,8-5,499,2252,4.51,19,173.2
Kent St. (MAC),12,2-10,494,2060,4.17,20,171.7
Georgia St. (Sun Belt),12,2-10,463,2057,4.44,21,171.4
Ohio St. (Big Ten),14,13-1,570,2398,4.21,23,171.3
Minnesota (Big Ten),13,7-6,524,2221,4.24,23,170.8
Baylor (Big 12),13,7-6,502,2198,4.38,25,169.1
Boise St. (Mountain West),13,10-3,519,2178,4.20,24,167.5
Vanderbilt (SEC),13,6-7,434,2178,5.02,22,167.5
Auburn (SEC),13,8-5,512,2177,4.25,25,167.5
ULM (Sun Belt),12,6-6,414,2008,4.85,22,167.3
NIU (MAC),14,8-6,597,2337,3.91,17,166.9
Marshall (C-USA),13,9-4,475,2152,4.53,22,165.5
Ole Miss (SEC),12,5-7,419,1969,4.70,24,164.1
Charlotte (C-USA),12,5-7,526,1951,3.71,18,162.6
San Diego St. (Mountain West),13,7-6,519,2102,4.05,16,161.7
West Virginia (Big 12),12,8-4,425,1931,4.54,22,160.9
Miami (OH) (MAC),12,6-6,442,1917,4.34,25,159.8
Duke (ACC),13,8-5,480,2075,4.32,19,159.6
Kansas (Big 12),12,3-9,423,1903,4.50,14,158.6
Indiana (Big Ten),12,5-7,428,1888,4.41,17,157.3
California (Pac-12),13,7-6,487,2045,4.20,13,157.3
TCU (Big 12),13,7-6,494,2036,4.12,14,156.6
Temple (AAC),13,8-5,494,2027,4.10,28,155.9
Ball St. (MAC),12,4-8,448,1868,4.17,20,155.7
Oregon St. (Pac-12),12,2-10,485,1867,3.85,23,155.6
UCLA (Pac-12),12,3-9,451,1858,4.12,20,154.8
Fresno St. (Mountain West),14,12-2,501,2161,4.31,31,154.4
North Texas (C-USA),13,9-4,462,1999,4.33,25,153.8
New Mexico (Mountain West),12,3-9,505,1838,3.64,17,153.2
BYU (FBS Independent),13,7-6,483,1991,4.12,27,153.2
Texas (Big 12),14,10-4,569,2143,3.77,24,153.1
South Carolina (SEC),13,7-6,444,1986,4.47,15,152.8
South Alabama (Sun Belt),12,3-9,491,1824,3.71,17,152.0
Nevada (Mountain West),13,8-5,436,1976,4.53,24,152.0
Iowa (Big Ten),13,9-4,488,1929,3.95,19,148.4
Texas St. (Sun Belt),12,3-9,447,1777,3.98,15,148.1
Eastern Mich. (MAC),13,7-6,493,1890,3.83,23,145.4
Rice (C-USA),13,2-11,490,1867,3.81,15,143.6
Arkansas (SEC),12,2-10,440,1721,3.91,11,143.4
Colorado (Pac-12),12,5-7,452,1716,3.80,21,143.0
NC State (ACC),13,9-4,483,1858,3.85,27,142.9
Louisville (ACC),12,2-10,403,1698,4.21,18,141.5
Massachusetts (FBS Independent),12,4-8,410,1674,4.08,22,139.5
Western Ky. (C-USA),12,3-9,439,1642,3.74,15,136.8
Purdue (Big Ten),13,6-7,400,1773,4.43,20,136.4
Rutgers (Big Ten),12,1-11,421,1609,3.82,12,134.1
Southern California (Pac-12),12,5-7,392,1602,4.09,17,133.5
Middle Tenn. (C-USA),14,8-6,505,1857,3.68,15,132.6
Texas Tech (Big 12),12,5-7,437,1591,3.64,26,132.6
Louisiana Tech (C-USA),13,8-5,438,1721,3.93,22,132.4
Old Dominion (C-USA),12,4-8,425,1569,3.69,24,130.8
Iowa St. (Big 12),13,8-5,466,1691,3.63,20,130.1
East Carolina (AAC),12,3-9,427,1556,3.64,13,129.7
Tennessee (SEC),12,5-7,419,1549,3.70,15,129.1
Michigan St. (Big Ten),13,7-6,465,1623,3.49,14,124.8
UTEP (C-USA),12,1-11,427,1484,3.48,17,123.7
Central Mich. (MAC),12,1-11,447,1442,3.23,8,120.2
Bowling Green (MAC),12,3-9,417,1399,3.35,9,116.6
SMU (AAC),12,5-7,401,1386,3.46,17,115.5
Northwestern (Big Ten),14,9-5,518,1609,3.11,25,114.9
Southern Miss. (C-USA),11,6-5,399,1239,3.11,11,112.6
Hawaii (Mountain West),14,8-6,418,1534,3.67,11,109.6
Stanford (Pac-12),13,9-4,384,1403,3.65,16,107.9
Colorado St. (Mountain West),12,3-9,392,1267,3.23,8,105.6
New Mexico St. (FBS Independent),12,3-9,354,1264,3.57,14,105.3
Akron (MAC),12,4-8,390,1143,2.93,5,95.3
Florida St. (ACC),12,5-7,392,1093,2.79,11,91.1
UTSA (C-USA),12,3-9,354,1047,2.96,7,87.3
Washington St. (Pac-12),13,11-2,281,1010,3.59,24,77.7
San Jose St. (Mountain West),12,1-11,356,738,2.07,8,61.5
Liberty (FBS Independent),12,6-6,487,1937,3.98,30,161.4
