Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Iowa (Big Ten),13,9-4,50,48,0,0,17,3,405,31.2
Fla. Atlantic (C-USA),12,5-7,50,39,2,0,10,0,373,31.1
Nevada (Mountain West),13,8-5,52,43,1,0,15,1,404,31.1
Texas (Big 12),14,10-4,54,51,1,0,18,2,435,31.1
Auburn (SEC),13,8-5,51,49,0,0,15,1,402,30.9
Old Dominion (C-USA),12,4-8,47,40,2,0,14,1,370,30.8
Hawaii (Mountain West),14,8-6,55,46,5,0,15,0,431,30.8
Troy (Sun Belt),13,10-3,49,45,2,0,18,1,399,30.7
Purdue (Big Ten),13,6-7,49,44,1,0,19,0,397,30.5
Ga. Southern (Sun Belt),13,10-3,48,45,2,0,19,1,396,30.5
SMU (AAC),12,5-7,47,40,3,0,11,2,365,30.4
Arkansas St. (Sun Belt),13,8-5,50,42,3,0,14,2,394,30.3
Air Force (Mountain West),12,5-7,47,41,3,0,10,2,363,30.3
South Carolina (SEC),13,7-6,50,46,3,0,13,0,391,30.1
Nebraska (Big Ten),12,4-8,45,40,3,0,14,1,360,30.0
Arizona St. (Pac-12),13,7-6,48,45,1,0,18,0,389,29.9
UAB (C-USA),14,11-3,53,51,0,0,15,2,418,29.9
Virginia Tech (ACC),13,6-7,50,48,2,0,12,0,388,29.8
Wisconsin (Big Ten),13,8-5,51,48,1,0,10,0,386,29.7
Baylor (Big 12),13,7-6,49,43,1,0,15,0,384,29.5
Duke (ACC),13,8-5,51,49,0,0,9,0,382,29.4
Minnesota (Big Ten),13,7-6,46,43,2,0,17,1,376,28.9
Miami (FL) (ACC),13,7-6,50,47,0,0,9,0,374,28.8
UNLV (Mountain West),12,4-8,47,41,1,0,6,1,345,28.8
Mississippi St. (SEC),13,8-5,48,47,0,0,12,0,371,28.5
Maryland (Big Ten),12,5-7,44,40,1,0,12,0,342,28.5
South Fla. (AAC),13,7-6,46,39,1,0,17,1,370,28.5
Vanderbilt (SEC),13,6-7,47,47,0,0,13,1,370,28.5
Virginia (ACC),13,8-5,46,45,1,1,15,0,370,28.5
Stanford (Pac-12),13,9-4,46,42,2,0,15,1,369,28.4
Marshall (C-USA),13,9-4,46,44,0,0,15,1,367,28.2
Miami (OH) (MAC),12,6-6,44,41,0,0,10,1,337,28.1
Utah (Pac-12),14,9-5,45,45,0,0,26,0,393,28.1
Middle Tenn. (C-USA),14,8-6,49,40,2,0,18,0,392,28.0
North Carolina (ACC),11,2-9,35,33,2,0,18,0,301,27.4
BYU (FBS Independent),13,7-6,46,43,1,0,11,0,354,27.2
Colorado (Pac-12),12,5-7,42,40,0,0,11,0,325,27.1
Eastern Mich. (MAC),13,7-6,45,41,2,0,12,0,351,27.0
Tulane (AAC),13,7-6,45,41,2,0,10,2,349,26.8
Iowa St. (Big 12),13,8-5,42,36,3,0,16,3,348,26.8
Coastal Carolina (Sun Belt),12,5-7,41,35,0,0,13,0,320,26.7
Kentucky (SEC),13,10-3,46,43,0,0,9,0,346,26.6
ULM (Sun Belt),12,6-6,42,38,1,0,9,0,319,26.6
New Mexico (Mountain West),12,3-9,43,34,2,0,7,1,319,26.6
Indiana (Big Ten),12,5-7,39,32,3,0,15,0,317,26.4
Washington (Pac-12),14,10-4,46,43,1,0,16,0,369,26.4
Southern Miss. (C-USA),11,6-5,34,30,0,0,18,0,288,26.2
Oregon St. (Pac-12),12,2-10,40,35,1,0,12,0,313,26.1
Southern California (Pac-12),12,5-7,39,38,1,0,13,0,313,26.1
Illinois (Big Ten),12,4-8,36,36,0,0,20,0,312,26.0
Pittsburgh (ACC),14,7-7,46,40,1,0,13,1,359,25.6
New Mexico St. (FBS Independent),12,3-9,38,37,1,0,12,0,303,25.3
Navy (AAC),13,3-10,42,34,2,1,11,0,325,25.0
Louisiana Tech (C-USA),13,8-5,39,38,0,0,15,2,321,24.7
UCLA (Pac-12),12,3-9,36,35,0,0,14,1,295,24.6
Bowling Green (MAC),12,3-9,39,34,3,0,6,0,292,24.3
Northwestern (Big Ten),14,9-5,44,39,3,0,10,0,339,24.2
South Alabama (Sun Belt),12,3-9,38,31,2,0,9,0,290,24.2
Ball St. (MAC),12,4-8,37,35,0,0,11,0,290,24.2
Tulsa (AAC),12,3-9,36,35,0,1,12,0,289,24.1
Georgia St. (Sun Belt),12,2-10,38,28,2,0,9,0,287,23.9
Kent St. (MAC),12,2-10,35,33,0,0,14,1,287,23.9
Kansas (Big 12),12,3-9,35,30,4,0,12,1,286,23.8
TCU (Big 12),13,7-6,38,37,0,0,13,1,306,23.5
Colorado St. (Mountain West),12,3-9,35,29,1,0,11,0,274,22.8
Tennessee (SEC),12,5-7,35,31,1,0,10,0,273,22.8
East Carolina (AAC),12,3-9,31,28,1,0,19,0,273,22.8
Kansas St. (Big 12),12,5-7,32,29,1,0,15,1,270,22.5
UConn (AAC),12,1-11,36,32,0,0,6,0,266,22.2
Florida St. (ACC),12,5-7,33,30,1,0,11,0,263,21.9
Charlotte (C-USA),12,5-7,30,27,1,0,17,0,260,21.7
Arkansas (SEC),12,2-10,29,29,0,0,19,0,260,21.7
California (Pac-12),13,7-6,35,32,0,0,12,1,280,21.5
San Jose St. (Mountain West),12,1-11,31,25,0,0,14,1,255,21.3
Western Ky. (C-USA),12,3-9,32,27,1,0,10,1,253,21.1
Wyoming (Mountain West),12,6-6,28,28,0,0,16,2,248,20.7
San Diego St. (Mountain West),13,7-6,31,27,2,0,17,0,268,20.6
NIU (MAC),14,8-6,35,29,1,1,13,0,282,20.1
Texas St. (Sun Belt),12,3-9,32,27,0,0,6,0,237,19.8
Louisville (ACC),12,2-10,30,27,0,0,10,0,237,19.8
Rice (C-USA),13,2-11,28,23,3,0,15,2,246,18.9
Akron (MAC),12,4-8,26,23,0,0,16,0,227,18.9
Michigan St. (Big Ten),13,7-6,27,25,1,0,18,0,243,18.7
UTEP (C-USA),12,1-11,27,21,4,0,7,0,212,17.7
Central Mich. (MAC),12,1-11,21,18,0,0,12,0,180,15.0
UTSA (C-USA),12,3-9,18,18,0,0,14,1,170,14.2
Rutgers (Big Ten),12,1-11,19,19,0,0,9,1,162,13.5
Liberty (FBS Independent),12,6-6,54,50,2,0,7,0,399,33.3
