Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
South Fla. (AAC),13,7-6,52,25,8,10,43,0.827
Florida St. (ACC),12,5-7,58,13,20,15,48,0.828
UAB (C-USA),14,11-3,35,9,7,13,29,0.829
Auburn (SEC),13,8-5,35,5,7,17,29,0.829
Duke (ACC),13,8-5,41,19,10,5,34,0.829
Marshall (C-USA),13,9-4,47,13,11,15,39,0.830
Fla. Atlantic (C-USA),12,5-7,47,20,15,4,39,0.830
Air Force (Mountain West),12,5-7,30,13,6,6,25,0.833
Georgia St. (Sun Belt),12,2-10,48,15,12,13,40,0.833
Memphis (AAC),14,8-6,54,27,13,5,45,0.833
North Carolina (ACC),11,2-9,48,21,9,10,40,0.833
Old Dominion (C-USA),12,4-8,42,17,13,5,35,0.833
Oregon (Pac-12),13,9-4,49,8,12,21,41,0.837
NIU (MAC),14,8-6,49,16,8,17,41,0.837
Colorado (Pac-12),12,5-7,43,10,11,15,36,0.837
Wisconsin (Big Ten),13,8-5,44,14,9,14,37,0.841
BYU (FBS Independent),13,7-6,44,20,11,6,37,0.841
UTEP (C-USA),12,1-11,51,16,14,13,43,0.843
Texas St. (Sun Belt),12,3-9,45,17,10,11,38,0.844
Coastal Carolina (Sun Belt),12,5-7,46,22,10,7,39,0.848
Virginia (ACC),13,8-5,33,12,6,10,28,0.848
LSU (SEC),13,10-3,40,13,10,11,34,0.850
Louisiana (Sun Belt),14,7-7,60,34,8,9,51,0.850
SMU (AAC),12,5-7,47,17,14,9,40,0.851
Colorado St. (Mountain West),12,3-9,47,14,13,13,40,0.851
Georgia Tech (ACC),13,7-6,47,19,12,9,40,0.851
Utah St. (Mountain West),13,11-2,41,11,11,13,35,0.854
Hawaii (Mountain West),14,8-6,62,24,18,11,53,0.855
Illinois (Big Ten),12,4-8,50,18,17,8,43,0.860
Wyoming (Mountain West),12,6-6,36,15,9,7,31,0.861
Bowling Green (MAC),12,3-9,52,33,9,3,45,0.865
West Virginia (Big 12),12,8-4,45,14,14,11,39,0.867
Arizona St. (Pac-12),13,7-6,45,14,12,13,39,0.867
Toledo (MAC),13,7-6,39,19,10,5,34,0.872
Ball St. (MAC),12,4-8,55,32,8,8,48,0.873
Minnesota (Big Ten),13,7-6,32,11,8,9,28,0.875
Washington St. (Pac-12),13,11-2,40,18,9,8,35,0.875
Ga. Southern (Sun Belt),13,10-3,40,20,8,7,35,0.875
UNLV (Mountain West),12,4-8,57,19,14,17,50,0.877
Kansas St. (Big 12),12,5-7,41,11,12,13,36,0.878
Louisville (ACC),12,2-10,59,31,13,8,52,0.881
Oregon St. (Pac-12),12,2-10,52,23,17,6,46,0.885
Rice (C-USA),13,2-11,54,26,15,7,48,0.889
Missouri (SEC),13,8-5,45,10,15,15,40,0.889
Georgia (SEC),14,11-3,37,18,3,12,33,0.892
San Diego St. (Mountain West),13,7-6,38,15,10,9,34,0.895
UCLA (Pac-12),12,3-9,57,29,10,12,51,0.895
New Mexico (Mountain West),12,3-9,57,22,16,13,51,0.895
Indiana (Big Ten),12,5-7,49,12,17,15,44,0.898
Massachusetts (FBS Independent),12,4-8,60,29,16,9,54,0.900
ULM (Sun Belt),12,6-6,41,15,13,9,37,0.902
Ohio St. (Big Ten),14,13-1,42,18,11,9,38,0.905
New Mexico St. (FBS Independent),12,3-9,53,29,8,11,48,0.906
Florida (SEC),13,10-3,32,9,9,11,29,0.906
Maryland (Big Ten),12,5-7,43,17,8,14,39,0.907
Western Mich. (MAC),13,7-6,55,21,22,7,50,0.909
California (Pac-12),13,7-6,33,12,7,11,30,0.909
Tennessee (SEC),12,5-7,45,18,12,11,41,0.911
Louisiana Tech (C-USA),13,8-5,34,17,7,7,31,0.912
UTSA (C-USA),12,3-9,46,18,13,11,42,0.913
Baylor (Big 12),13,7-6,36,13,8,12,33,0.917
Houston (AAC),13,8-5,63,35,12,11,58,0.921
Wake Forest (ACC),13,7-6,40,19,13,5,37,0.925
UConn (AAC),12,1-11,67,33,17,12,62,0.925
Oklahoma (Big 12),14,12-2,54,30,15,5,50,0.926
South Alabama (Sun Belt),12,3-9,55,25,15,11,51,0.927
Michigan (Big Ten),13,10-3,30,12,8,8,28,0.933
East Carolina (AAC),12,3-9,43,18,15,8,41,0.953
Liberty (FBS Independent),12,6-6,55,21,12,11,44,0.800
