Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Memphis (AAC),14,8-6,408:59,29:12
Tulsa (AAC),12,3-9,350:20,29:11
Tennessee (SEC),12,5-7,350:02,29:10
Miami (FL) (ACC),13,7-6,377:49,29:03
Notre Dame (FBS Independent),13,12-1,377:49,29:03
Maryland (Big Ten),12,5-7,348:23,29:01
Oklahoma (Big 12),14,12-2,405:34,28:58
Rutgers (Big Ten),12,1-11,346:56,28:54
Iowa St. (Big 12),13,8-5,375:40,28:53
West Virginia (Big 12),12,8-4,346:09,28:50
Indiana (Big Ten),12,5-7,345:42,28:48
Southern California (Pac-12),12,5-7,345:42,28:48
Clemson (ACC),15,15-0,431:20,28:45
Illinois (Big Ten),12,4-8,342:52,28:34
Temple (AAC),13,8-5,371:23,28:34
Louisiana (Sun Belt),14,7-7,399:32,28:32
Auburn (SEC),13,8-5,368:36,28:21
Arizona (Pac-12),12,5-7,339:11,28:15
North Carolina (ACC),11,2-9,310:54,28:15
Wake Forest (ACC),13,7-6,366:58,28:13
NIU (MAC),14,8-6,394:52,28:12
Akron (MAC),12,4-8,337:54,28:09
Oregon (Pac-12),13,9-4,362:56,27:55
Ball St. (MAC),12,4-8,334:53,27:54
Texas St. (Sun Belt),12,3-9,334:37,27:53
Kent St. (MAC),12,2-10,334:16,27:51
Duke (ACC),13,8-5,361:45,27:49
Boston College (ACC),12,7-5,333:55,27:49
Nebraska (Big Ten),12,4-8,332:45,27:43
Penn St. (Big Ten),13,9-4,359:53,27:41
ULM (Sun Belt),12,6-6,331:54,27:39
UTSA (C-USA),12,3-9,331:43,27:38
Florida St. (ACC),12,5-7,331:35,27:37
New Mexico (Mountain West),12,3-9,331:12,27:36
UCLA (Pac-12),12,3-9,330:49,27:34
Oklahoma St. (Big 12),13,7-6,356:48,27:26
Massachusetts (FBS Independent),12,4-8,328:52,27:24
SMU (AAC),12,5-7,326:49,27:14
South Fla. (AAC),13,7-6,351:00,27:00
Ole Miss (SEC),12,5-7,323:36,26:58
Central Mich. (MAC),12,1-11,320:47,26:43
Utah St. (Mountain West),13,11-2,345:30,26:34
San Jose St. (Mountain West),12,1-11,318:42,26:33
UCF (AAC),13,12-1,330:27,25:25
New Mexico St. (FBS Independent),12,3-9,302:04,25:10
Houston (AAC),13,8-5,325:42,25:03
South Carolina (SEC),13,7-6,324:20,24:56
Liberty (FBS Independent),12,6-6,353:26,29:27
