Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Arizona St. (Pac-12),13,7-6,921,5257,5.71,37,40,404.4
West Virginia (Big 12),12,8-4,839,4876,5.81,39,41,406.3
Tulane (AAC),13,7-6,951,5288,5.56,45,46,406.8
Tulsa (AAC),12,3-9,869,4892,5.63,37,43,407.7
Duke (ACC),13,8-5,964,5314,5.51,44,48,408.8
Stanford (Pac-12),13,9-4,942,5331,5.66,31,33,410.1
Arkansas (SEC),12,2-10,827,4958,6.00,47,53,413.2
Florida St. (ACC),12,5-7,954,4996,5.24,46,47,416.3
Kansas (Big 12),12,3-9,829,5022,6.06,44,46,418.5
Western Ky. (C-USA),12,3-9,862,5059,5.87,36,37,421.6
Indiana (Big Ten),12,5-7,848,5085,6.00,44,45,423.8
South Carolina (SEC),13,7-6,991,5516,5.57,41,42,424.3
Baylor (Big 12),13,7-6,852,5532,6.49,50,51,425.5
Navy (AAC),13,3-10,850,5543,6.52,57,60,426.4
Syracuse (ACC),13,10-3,951,5545,5.83,40,42,426.5
Fla. Atlantic (C-USA),12,5-7,863,5129,5.94,49,52,427.4
Memphis (AAC),14,8-6,1069,5994,5.61,56,59,428.1
ULM (Sun Belt),12,6-6,817,5157,6.31,44,49,429.8
SMU (AAC),12,5-7,931,5158,5.54,45,54,429.8
Arizona (Pac-12),12,5-7,904,5184,5.73,51,52,432.0
Toledo (MAC),13,7-6,963,5620,5.84,51,54,432.3
Nebraska (Big Ten),12,4-8,895,5202,5.81,44,47,433.5
UCF (AAC),13,12-1,1031,5638,5.47,33,35,433.7
UTSA (C-USA),12,3-9,815,5226,6.41,45,47,435.5
Louisiana (Sun Belt),14,7-7,966,6102,6.32,59,62,435.9
Virginia Tech (ACC),13,6-7,892,5703,6.39,51,53,438.7
Vanderbilt (SEC),13,6-7,929,5706,6.14,41,41,438.9
Hawaii (Mountain West),14,8-6,977,6156,6.30,63,65,439.7
East Carolina (AAC),12,3-9,859,5278,6.14,53,58,439.8
UCLA (Pac-12),12,3-9,891,5339,5.99,50,52,444.9
Rice (C-USA),13,2-11,842,5799,6.89,59,62,446.1
South Fla. (AAC),13,7-6,994,5806,5.84,51,53,446.6
North Carolina (ACC),11,2-9,823,4924,5.98,45,49,447.6
Bowling Green (MAC),12,3-9,834,5377,6.45,63,66,448.1
South Alabama (Sun Belt),12,3-9,804,5384,6.70,59,61,448.7
Texas Tech (Big 12),12,5-7,905,5387,5.95,44,47,448.9
Ball St. (MAC),12,4-8,913,5403,5.92,49,51,450.3
Coastal Carolina (Sun Belt),12,5-7,741,5410,7.30,52,53,450.8
Colorado St. (Mountain West),12,3-9,798,5423,6.80,50,56,451.9
Oklahoma St. (Big 12),13,7-6,974,5882,6.04,53,55,452.5
Purdue (Big Ten),13,6-7,982,5884,5.99,47,49,452.6
Oklahoma (Big 12),14,12-2,1036,6353,6.13,61,62,453.8
UNLV (Mountain West),12,4-8,843,5450,6.47,53,55,454.2
Wake Forest (ACC),13,7-6,1015,5962,5.87,57,59,458.6
Kent St. (MAC),12,2-10,895,5607,6.26,58,60,467.3
Old Dominion (C-USA),12,4-8,906,5657,6.24,56,59,471.4
New Mexico (Mountain West),12,3-9,898,5676,6.32,53,56,473.0
New Mexico St. (FBS Independent),12,3-9,961,5711,5.94,58,63,475.9
Ole Miss (SEC),12,5-7,918,5801,6.32,51,54,483.4
Louisville (ACC),12,2-10,843,5802,6.88,65,71,483.5
Massachusetts (FBS Independent),12,4-8,846,5817,6.88,63,68,484.8
Georgia St. (Sun Belt),12,2-10,760,5874,7.73,56,58,489.5
San Jose St. (Mountain West),12,1-11,955,5941,6.22,54,57,495.1
Houston (AAC),13,8-5,1087,6454,5.94,61,62,496.5
Illinois (Big Ten),12,4-8,866,6100,7.04,61,64,508.3
Oregon St. (Pac-12),12,2-10,868,6441,7.42,70,76,536.8
UConn (AAC),12,1-11,841,7409,8.81,78,81,617.4
Liberty (FBS Independent),12,6-6,922,5817,6.31,53,57,484.8
