Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
FIU (C-USA),13,9-4,22,426,0,19.36
Miami (OH) (MAC),12,6-6,16,310,0,19.38
Auburn (SEC),13,8-5,16,311,0,19.44
Tulsa (AAC),12,3-9,25,487,0,19.48
UNLV (Mountain West),12,4-8,24,468,0,19.50
Georgia St. (Sun Belt),12,2-10,22,429,0,19.50
Florida (SEC),13,10-3,34,663,0,19.50
Duke (ACC),13,8-5,43,845,0,19.65
North Texas (C-USA),13,9-4,37,735,0,19.86
Toledo (MAC),13,7-6,35,697,0,19.91
San Diego St. (Mountain West),13,7-6,13,259,0,19.92
UCF (AAC),13,12-1,52,1038,0,19.96
Virginia Tech (ACC),13,6-7,8,160,0,20.00
Boise St. (Mountain West),13,10-3,28,561,0,20.04
Ball St. (MAC),12,4-8,33,662,0,20.06
Massachusetts (FBS Independent),12,4-8,49,984,0,20.08
Alabama (SEC),15,14-1,41,825,0,20.12
Fresno St. (Mountain West),14,12-2,52,1051,0,20.21
Wisconsin (Big Ten),13,8-5,13,263,0,20.23
Army West Point (FBS Independent),13,11-2,45,912,0,20.27
Washington St. (Pac-12),13,11-2,39,792,0,20.31
Old Dominion (C-USA),12,4-8,32,653,1,20.41
Nebraska (Big Ten),12,4-8,34,695,0,20.44
Pittsburgh (ACC),14,7-7,26,532,0,20.46
Clemson (ACC),15,15-0,32,657,1,20.53
Kansas (Big 12),12,3-9,22,454,0,20.64
Central Mich. (MAC),12,1-11,25,516,0,20.64
Houston (AAC),13,8-5,59,1218,0,20.64
NC State (ACC),13,9-4,46,950,0,20.65
NIU (MAC),14,8-6,30,620,0,20.67
Maryland (Big Ten),12,5-7,47,972,0,20.68
Wyoming (Mountain West),12,6-6,22,456,1,20.73
Louisville (ACC),12,2-10,33,685,1,20.76
Utah (Pac-12),14,9-5,22,460,0,20.91
Arkansas (SEC),12,2-10,29,608,2,20.97
Arizona (Pac-12),12,5-7,11,231,0,21.00
Oregon St. (Pac-12),12,2-10,18,378,0,21.00
LSU (SEC),13,10-3,6,126,0,21.00
Minnesota (Big Ten),13,7-6,32,673,0,21.03
Washington (Pac-12),14,10-4,42,884,0,21.05
Marshall (C-USA),13,9-4,38,800,0,21.05
South Alabama (Sun Belt),12,3-9,38,801,0,21.08
San Jose St. (Mountain West),12,1-11,25,527,0,21.08
Boston College (ACC),12,7-5,43,907,0,21.09
Missouri (SEC),13,8-5,29,612,0,21.10
Texas Tech (Big 12),12,5-7,21,445,1,21.19
UTEP (C-USA),12,1-11,13,276,0,21.23
Penn St. (Big Ten),13,9-4,30,640,1,21.33
Navy (AAC),13,3-10,34,728,1,21.41
Purdue (Big Ten),13,6-7,32,686,0,21.44
Baylor (Big 12),13,7-6,27,580,0,21.48
East Carolina (AAC),12,3-9,13,280,0,21.54
Louisiana Tech (C-USA),13,8-5,43,928,0,21.58
Tennessee (SEC),12,5-7,22,476,0,21.64
Western Ky. (C-USA),12,3-9,35,758,0,21.66
Utah St. (Mountain West),13,11-2,32,695,0,21.72
Colorado St. (Mountain West),12,3-9,20,435,1,21.75
Charlotte (C-USA),12,5-7,20,440,1,22.00
South Carolina (SEC),13,7-6,17,374,0,22.00
Buffalo (MAC),14,10-4,31,683,0,22.03
California (Pac-12),13,7-6,23,510,0,22.17
Troy (Sun Belt),13,10-3,27,601,0,22.26
Texas (Big 12),14,10-4,27,601,0,22.26
Nevada (Mountain West),13,8-5,29,647,1,22.31
Arizona St. (Pac-12),13,7-6,23,514,0,22.35
Illinois (Big Ten),12,4-8,21,470,1,22.38
Mississippi St. (SEC),13,8-5,36,806,0,22.39
Miami (FL) (ACC),13,7-6,24,540,0,22.50
Oregon (Pac-12),13,9-4,44,998,0,22.68
SMU (AAC),12,5-7,34,778,2,22.88
Louisiana (Sun Belt),14,7-7,48,1106,1,23.04
Notre Dame (FBS Independent),13,12-1,33,762,2,23.09
Southern California (Pac-12),12,5-7,18,416,0,23.11
Akron (MAC),12,4-8,18,420,0,23.33
Cincinnati (AAC),13,11-2,34,799,0,23.50
Hawaii (Mountain West),14,8-6,46,1083,0,23.54
New Mexico St. (FBS Independent),12,3-9,24,570,1,23.75
Vanderbilt (SEC),13,6-7,16,381,0,23.81
Wake Forest (ACC),13,7-6,46,1097,1,23.85
UConn (AAC),12,1-11,33,796,1,24.12
Coastal Carolina (Sun Belt),12,5-7,43,1047,1,24.35
Indiana (Big Ten),12,5-7,32,782,0,24.44
Ole Miss (SEC),12,5-7,41,1012,1,24.68
Ga. Southern (Sun Belt),13,10-3,17,420,0,24.71
Virginia (ACC),13,8-5,24,599,1,24.96
Oklahoma (Big 12),14,12-2,18,453,1,25.17
Florida St. (ACC),12,5-7,12,305,0,25.42
App State (Sun Belt),13,11-2,31,799,0,25.77
UCLA (Pac-12),12,3-9,22,572,0,26.00
Georgia Tech (ACC),13,7-6,48,1261,2,26.27
UAB (C-USA),14,11-3,5,134,0,26.80
Georgia (SEC),14,11-3,10,313,1,31.30
Stanford (Pac-12),13,9-4,5,166,1,33.20
Liberty (FBS Independent),12,6-6,43,962,2,22.37
