Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
South Alabama (Sun Belt),12,3-9,10,21,0.476
TCU (Big 12),13,7-6,12,25,0.480
Georgia (SEC),14,11-3,13,27,0.481
Tulane (AAC),13,7-6,14,29,0.483
Kent St. (MAC),12,2-10,15,31,0.484
Nevada (Mountain West),13,8-5,16,33,0.485
Akron (MAC),12,4-8,12,24,0.500
Texas A&M (SEC),13,9-4,5,10,0.500
Arkansas St. (Sun Belt),13,8-5,11,22,0.500
Ball St. (MAC),12,4-8,10,20,0.500
Boston College (ACC),12,7-5,14,28,0.500
Colorado St. (Mountain West),12,3-9,7,14,0.500
Houston (AAC),13,8-5,10,20,0.500
Iowa St. (Big 12),13,8-5,9,18,0.500
Western Mich. (MAC),13,7-6,8,16,0.500
Massachusetts (FBS Independent),12,4-8,10,20,0.500
North Carolina (ACC),11,2-9,9,18,0.500
NC State (ACC),13,9-4,11,22,0.500
NIU (MAC),14,8-6,12,24,0.500
Rutgers (Big Ten),12,1-11,7,14,0.500
Army West Point (FBS Independent),13,11-2,15,30,0.500
Wake Forest (ACC),13,7-6,14,27,0.519
Fresno St. (Mountain West),14,12-2,14,27,0.519
Notre Dame (FBS Independent),13,12-1,13,25,0.520
Pittsburgh (ACC),14,7-7,13,25,0.520
Ole Miss (SEC),12,5-7,12,23,0.522
LSU (SEC),13,10-3,12,23,0.522
Michigan (Big Ten),13,10-3,11,21,0.524
UCLA (Pac-12),12,3-9,10,19,0.526
Oklahoma St. (Big 12),13,7-6,10,19,0.526
Baylor (Big 12),13,7-6,8,15,0.533
Tennessee (SEC),12,5-7,7,13,0.538
Wisconsin (Big Ten),13,8-5,7,13,0.538
California (Pac-12),13,7-6,12,22,0.545
Colorado (Pac-12),12,5-7,12,22,0.545
Texas (Big 12),14,10-4,12,22,0.545
Western Ky. (CUSA),12,3-9,12,22,0.545
Stanford (Pac-12),13,9-4,17,31,0.548
South Carolina (SEC),13,7-6,11,20,0.550
UTEP (CUSA),12,1-11,10,18,0.556
Memphis (AAC),14,8-6,19,34,0.559
Purdue (Big Ten),13,6-7,14,25,0.560
East Carolina (AAC),12,3-9,9,16,0.563
New Mexico (Mountain West),12,3-9,9,16,0.563
Washington (Pac-12),14,10-4,13,23,0.565
South Fla. (AAC),13,7-6,13,23,0.565
Temple (AAC),13,8-5,20,35,0.571
Nebraska (Big Ten),12,4-8,11,19,0.579
BYU (FBS Independent),13,7-6,14,24,0.583
ULM (Sun Belt),12,6-6,7,12,0.583
Illinois (Big Ten),12,4-8,10,17,0.588
Texas St. (Sun Belt),12,3-9,13,22,0.591
Georgia Tech (ACC),13,7-6,9,15,0.600
Arizona (Pac-12),12,5-7,17,28,0.607
Boise St. (Mountain West),13,10-3,14,23,0.609
UTSA (CUSA),12,3-9,11,18,0.611
New Mexico St. (FBS Independent),12,3-9,8,13,0.615
Southern California (Pac-12),12,5-7,13,21,0.619
Minnesota (Big Ten),13,7-6,15,24,0.625
Vanderbilt (SEC),13,6-7,12,19,0.632
West Virginia (Big 12),12,8-4,12,19,0.632
Oregon St. (Pac-12),12,2-10,14,22,0.636
Hawaii (Mountain West),14,8-6,18,28,0.643
Arizona St. (Pac-12),13,7-6,9,14,0.643
Maryland (Big Ten),12,5-7,13,20,0.650
Troy (Sun Belt),13,10-3,13,20,0.650
FIU (CUSA),13,9-4,15,23,0.652
Buffalo (MAC),14,10-4,21,32,0.656
Louisville (ACC),12,2-10,10,15,0.667
SMU (AAC),12,5-7,14,21,0.667
Oklahoma (Big 12),14,12-2,20,30,0.667
Miami (OH) (MAC),12,6-6,12,18,0.667
Louisiana Tech (CUSA),13,8-5,17,25,0.680
UConn (AAC),12,1-11,13,19,0.684
Wyoming (Mountain West),12,6-6,11,16,0.688
UNLV (Mountain West),12,4-8,11,16,0.688
Ga. Southern (Sun Belt),13,10-3,20,29,0.690
San Jose St. (Mountain West),12,1-11,20,29,0.690
Southern Miss. (CUSA),11,6-5,5,7,0.714
Washington St. (Pac-12),13,11-2,15,21,0.714
Bowling Green (MAC),12,3-9,18,25,0.720
Louisiana (Sun Belt),14,7-7,21,29,0.724
Navy (AAC),13,3-10,21,29,0.724
Indiana (Big Ten),12,5-7,14,19,0.737
Georgia St. (Sun Belt),12,2-10,14,18,0.778
Liberty (FBS Independent),12,6-6,14,28,0.500
