Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Pittsburgh (ACC),14,7-7,9,19,0.474
Rutgers (Big Ten),12,1-11,9,19,0.474
Michigan (Big Ten),13,10-3,9,19,0.474
Alabama (SEC),15,14-1,7,15,0.467
Texas St. (Sun Belt),12,3-9,7,15,0.467
Central Mich. (MAC),12,1-11,6,13,0.462
Tennessee (SEC),12,5-7,5,11,0.455
Kansas St. (Big 12),12,5-7,9,20,0.450
Toledo (MAC),13,7-6,9,20,0.450
BYU (FBS Independent),13,7-6,9,20,0.450
Nebraska (Big Ten),12,4-8,9,20,0.450
Southern Miss. (CUSA),11,6-5,8,18,0.444
Miami (FL) (ACC),13,7-6,10,23,0.435
Duke (ACC),13,8-5,12,28,0.429
Louisiana (Sun Belt),14,7-7,8,19,0.421
North Texas (CUSA),13,9-4,10,24,0.417
Wisconsin (Big Ten),13,8-5,5,12,0.417
South Carolina (SEC),13,7-6,10,25,0.400
Colorado (Pac-12),12,5-7,9,23,0.391
NIU (MAC),14,8-6,10,26,0.385
UAB (CUSA),14,11-3,5,13,0.385
Northwestern (Big Ten),14,9-5,12,32,0.375
Western Ky. (CUSA),12,3-9,9,24,0.375
TCU (Big 12),13,7-6,6,16,0.375
Kansas (Big 12),12,3-9,7,19,0.368
Louisville (ACC),12,2-10,8,22,0.364
Tulane (AAC),13,7-6,10,28,0.357
Arkansas (SEC),12,2-10,5,14,0.357
Mississippi St. (SEC),13,8-5,6,17,0.353
Michigan St. (Big Ten),13,7-6,7,21,0.333
UTEP (CUSA),12,1-11,5,15,0.333
New Mexico (Mountain West),12,3-9,4,12,0.333
Wyoming (Mountain West),12,6-6,4,12,0.333
Charlotte (CUSA),12,5-7,6,19,0.316
Akron (MAC),12,4-8,5,17,0.294
San Jose St. (Mountain West),12,1-11,4,14,0.286
Liberty (FBS Independent),12,6-6,12,21,0.571
