Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Nebraska (Big Ten),12,4-8,92,850,70.83
Central Mich. (MAC),12,1-11,98,851,70.92
Florida St. (ACC),12,5-7,110,851,70.92
Toledo (MAC),13,7-6,99,931,71.62
Louisville (ACC),12,2-10,101,861,71.75
UAB (CUSA),14,11-3,95,1023,73.07
Southern California (Pac-12),12,5-7,96,883,73.58
Cincinnati (AAC),13,11-2,107,958,73.69
Texas Tech (Big 12),12,5-7,96,890,74.17
Kent St. (MAC),12,2-10,107,904,75.33
Ohio St. (Big Ten),14,13-1,116,1055,75.36
Arizona (Pac-12),12,5-7,95,908,75.67
Maryland (Big Ten),12,5-7,100,956,79.67
South Alabama (Sun Belt),12,3-9,107,1002,83.50
Liberty (FBS Independent),12,6-6,51,458,38.17
