Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Iowa St. (Big 12),12,2-10,58,55,0,0,21,0,466,38.8
Colorado (Pac-12),12,2-10,60,54,0,0,18,0,468,39.0
North Carolina (ACC),13,6-7,67,61,1,0,12,3,507,39.0
New Mexico St. (Sun Belt),12,2-10,61,56,0,1,15,0,469,39.1
Tulsa (AAC),12,2-10,62,59,1,0,12,1,471,39.3
California (Pac-12),12,5-7,63,60,0,0,13,0,477,39.8
Western Ky. (C-USA),13,8-5,70,66,0,0,11,0,519,39.9
Eastern Mich. (MAC),12,2-10,65,62,0,0,13,0,491,40.9
Texas Tech (Big 12),12,4-8,63,61,0,0,18,1,495,41.3
SMU (AAC),12,1-11,63,58,0,0,20,0,496,41.3
Georgia St. (Sun Belt),12,1-11,67,64,0,0,18,0,520,43.3
Ga. Southern (Sun Belt),12,9-3,37,31,2,0,8,0,281,23.4
App State (Sun Belt),12,7-5,42,34,0,0,14,0,328,27.3
Charlotte (FBS Independent),11,5-6,46,42,0,0,10,0,348,31.6
Old Dominion (C-USA),12,6-6,61,59,2,0,9,0,456,38.0
