Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Vanderbilt (SEC),12,3-9,26,7,7,5,19,0.731
Clemson (ACC),13,10-3,52,18,7,13,38,0.731
Wake Forest (ACC),12,3-9,33,4,10,10,24,0.727
Miami (OH) (MAC),12,2-10,40,10,14,5,29,0.725
Idaho (Sun Belt),11,1-10,50,22,5,9,36,0.720
Kent St. (MAC),11,2-9,32,3,12,8,23,0.719
Ole Miss (),13,9-4,41,14,9,6,29,0.707
Eastern Mich. (MAC),12,2-10,27,7,7,5,19,0.704
South Fla. (AAC),12,4-8,27,4,5,10,19,0.704
Massachusetts (MAC),12,3-9,54,15,17,6,38,0.704
Temple (AAC),12,6-6,42,10,7,12,29,0.690
SMU (AAC),12,1-11,29,8,4,8,20,0.690
Akron (MAC),12,5-7,47,15,8,9,32,0.681
San Jose St. (Mountain West),12,3-9,39,7,10,9,26,0.667
Tulane (AAC),12,3-9,33,8,9,5,22,0.667
UConn (AAC),12,2-10,24,6,4,4,14,0.583
Ga. Southern (Sun Belt),12,9-3,59,41,2,9,52,0.881
Charlotte (FBS Independent),11,5-6,48,18,9,15,42,0.875
Old Dominion (C-USA),12,6-6,47,17,17,5,39,0.830
App State (Sun Belt),12,7-5,60,29,11,5,45,0.750
