Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Indiana (Big Ten),12,4-8,339:56,28:19
Ole Miss (),13,9-4,367:04,28:14
Texas St. (Sun Belt),12,7-5,337:16,28:06
Western Ky. (C-USA),13,8-5,365:07,28:05
South Fla. (AAC),12,4-8,336:50,28:04
Oklahoma St. (Big 12),13,7-6,363:55,27:59
BYU (FBS Independent),13,8-5,362:44,27:54
Illinois (Big Ten),13,6-7,360:16,27:42
New Mexico St. (Sun Belt),12,2-10,330:47,27:33
UNLV (Mountain West),13,2-11,356:36,27:25
Massachusetts (MAC),12,3-9,327:10,27:15
Arizona (Pac-12),14,10-4,381:13,27:13
Maryland (Big Ten),13,7-6,351:10,27:00
Oregon (Pac-12),15,13-2,402:15,26:49
Temple (AAC),12,6-6,321:32,26:47
Syracuse (ACC),12,3-9,320:13,26:41
Eastern Mich. (MAC),12,2-10,318:16,26:31
Texas A&M (SEC),13,8-5,341:18,26:15
Bowling Green (MAC),14,8-6,366:52,26:12
Texas Tech (Big 12),12,4-8,313:04,26:05
North Carolina (ACC),13,6-7,331:09,25:28
Ga. Southern (Sun Belt),12,9-3,387:35,32:17
App State (Sun Belt),12,7-5,376:06,31:20
Old Dominion (C-USA),12,6-6,321:21,26:46
Charlotte (FBS Independent),11,5-6,267:11,24:17
