Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Tennessee (SEC),13,7-6,45,42,2,0,20,0,376,28.9
Rice (C-USA),13,8-5,48,47,0,0,13,0,374,28.8
Colorado (Pac-12),12,2-10,42,42,0,0,16,0,342,28.5
Maryland (Big Ten),13,7-6,45,44,1,0,18,0,370,28.5
Minnesota (Big Ten),13,8-5,48,45,0,0,12,0,369,28.4
Ole Miss (),13,9-4,49,47,0,0,9,0,368,28.3
Iowa (Big Ten),13,7-6,47,45,1,0,12,1,367,28.2
UCF (AAC),13,9-4,43,40,1,0,21,1,365,28.1
Missouri (SEC),14,11-3,48,43,2,0,18,0,389,27.8
Ball St. (MAC),12,5-7,37,35,0,0,25,0,332,27.7
New Mexico (Mountain West),12,4-8,45,43,1,1,5,0,332,27.7
LSU (SEC),13,8-5,46,40,2,0,13,0,359,27.6
Oklahoma St. (Big 12),13,7-6,42,41,0,0,22,0,359,27.6
Massachusetts (MAC),12,3-9,45,38,1,0,6,0,328,27.3
North Texas (C-USA),12,4-8,40,39,1,0,15,0,326,27.2
Stanford (Pac-12),13,8-5,44,44,0,0,15,0,353,27.2
Utah St. (Mountain West),14,10-4,49,45,0,1,12,0,377,26.9
Central Mich. (MAC),13,7-6,47,42,1,0,8,0,350,26.9
Rutgers (Big Ten),13,8-5,43,41,0,0,16,0,347,26.7
UTEP (C-USA),13,7-6,44,43,0,0,13,0,346,26.6
Fresno St. (Mountain West),14,6-8,49,46,0,0,9,2,371,26.5
Boston College (ACC),13,7-6,45,35,0,0,12,0,341,26.2
Illinois (Big Ten),13,6-7,45,38,0,0,9,1,337,25.9
Virginia (ACC),12,5-7,35,34,0,0,22,0,310,25.8
Oregon St. (Pac-12),12,5-7,36,33,0,0,19,1,308,25.7
Indiana (Big Ten),12,4-8,37,35,1,0,14,0,301,25.1
Idaho (Sun Belt),11,1-10,35,28,1,0,11,1,275,25.0
San Diego St. (Mountain West),13,7-6,38,37,0,0,20,0,325,25.0
Army West Point (FBS Independent),12,4-8,40,36,1,0,7,0,299,24.9
Tulsa (AAC),12,2-10,37,34,2,0,12,0,296,24.7
New Mexico St. (Sun Belt),12,2-10,39,37,1,0,7,0,294,24.5
Virginia Tech (ACC),13,7-6,36,33,1,0,20,1,313,24.1
Fla. Atlantic (C-USA),12,3-9,35,34,0,0,14,1,288,24.0
Purdue (Big Ten),12,3-9,34,32,1,0,16,0,286,23.8
Iowa St. (Big 12),12,2-10,35,35,0,0,11,0,278,23.2
Temple (AAC),12,6-6,33,32,0,0,15,1,277,23.1
Northwestern (Big Ten),12,5-7,33,26,4,1,14,0,276,23.0
FIU (C-USA),12,4-8,33,29,1,0,15,1,276,23.0
Georgia St. (Sun Belt),12,1-11,36,35,0,0,7,0,272,22.7
Akron (MAC),12,5-7,33,32,0,0,13,1,271,22.6
South Alabama (Sun Belt),13,6-7,34,30,0,0,19,1,293,22.5
Miami (OH) (MAC),12,2-10,35,31,0,0,9,0,268,22.3
UNLV (Mountain West),13,2-11,34,32,1,0,15,1,285,21.9
Troy (Sun Belt),12,3-9,33,32,0,0,10,1,262,21.8
Texas (Big 12),13,6-7,34,30,0,0,14,1,278,21.4
Wyoming (Mountain West),12,4-8,31,31,0,0,12,0,253,21.1
Hawaii (Mountain West),13,4-9,31,28,1,0,18,1,272,20.9
Michigan (Big Ten),12,5-7,29,28,1,0,15,1,251,20.9
Penn St. (Big Ten),13,7-6,28,28,0,0,24,0,268,20.6
Ohio (MAC),12,6-6,28,27,0,0,17,0,246,20.5
ULM (Sun Belt),12,4-8,26,23,0,0,20,1,241,20.1
San Jose St. (Mountain West),12,3-9,28,28,0,0,12,0,232,19.3
Southern Miss. (C-USA),12,3-9,25,21,0,0,19,0,228,19.0
Kansas (Big 12),12,3-9,27,25,0,0,9,0,214,17.8
South Fla. (AAC),12,4-8,24,23,0,0,13,0,206,17.2
Vanderbilt (SEC),12,3-9,26,22,2,0,8,0,206,17.2
Syracuse (ACC),12,3-9,22,20,0,0,17,1,205,17.1
UTSA (C-USA),12,4-8,22,20,0,0,17,1,205,17.1
Kent St. (MAC),11,2-9,22,16,1,0,10,0,180,16.4
Tulane (AAC),12,3-9,24,22,0,0,8,1,192,16.0
UConn (AAC),12,2-10,23,19,1,0,9,0,186,15.5
Eastern Mich. (MAC),12,2-10,23,20,0,0,8,0,182,15.2
Wake Forest (ACC),12,3-9,19,19,0,0,15,0,178,14.8
SMU (AAC),12,1-11,15,12,1,0,9,1,133,11.1
Ga. Southern (Sun Belt),12,9-3,64,53,1,0,10,0,469,39.1
Charlotte (FBS Independent),11,5-6,53,47,1,0,20,0,427,38.8
App State (Sun Belt),12,7-5,58,52,1,0,8,1,428,35.7
Old Dominion (C-USA),12,6-6,54,50,0,0,6,0,392,32.7
