Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
San Diego St. (Mountain West),13,7-6,23,156,1.77
Stanford (Pac-12),13,8-5,23,154,1.77
TCU (Big 12),13,12-1,23,120,1.77
Louisiana (Sun Belt),13,9-4,23,136,1.77
Baylor (Big 12),13,11-2,24,152,1.85
Western Mich. (MAC),13,8-5,24,136,1.85
Ohio St. (Big Ten),15,14-1,28,203,1.87
San Jose St. (Mountain West),12,3-9,23,167,1.92
South Fla. (AAC),12,4-8,23,155,1.92
Colorado (Pac-12),12,2-10,23,137,1.92
Troy (Sun Belt),12,3-9,23,171,1.92
Ohio (MAC),12,6-6,23,173,1.92
LSU (SEC),13,8-5,25,183,1.92
Akron (MAC),12,5-7,24,152,2.00
Washington (Pac-12),14,8-6,28,221,2.00
Utah St. (Mountain West),14,10-4,28,154,2.00
Syracuse (ACC),12,3-9,24,183,2.00
Bowling Green (MAC),14,8-6,28,171,2.00
Purdue (Big Ten),12,3-9,24,186,2.00
Boise St. (Mountain West),14,12-2,28,197,2.00
Oregon (Pac-12),15,13-2,31,165,2.07
South Carolina (SEC),13,7-6,27,219,2.08
Clemson (ACC),13,10-3,27,196,2.08
Texas A&M (SEC),13,8-5,27,188,2.08
Tulsa (AAC),12,2-10,25,152,2.08
Tulane (AAC),12,3-9,25,198,2.08
North Texas (CUSA),12,4-8,25,215,2.08
Central Mich. (MAC),13,7-6,28,187,2.15
UCF (AAC),13,9-4,28,184,2.15
North Carolina (ACC),13,6-7,28,215,2.15
Rice (CUSA),13,8-5,28,160,2.15
Notre Dame (FBS Independent),13,8-5,28,208,2.15
Colorado St. (Mountain West),13,10-3,28,202,2.15
Indiana (Big Ten),12,4-8,26,179,2.17
Texas St. (Sun Belt),12,7-5,26,151,2.17
Michigan (Big Ten),12,5-7,26,172,2.17
Middle Tenn. (CUSA),12,6-6,26,175,2.17
Texas (Big 12),13,6-7,29,226,2.23
NC State (ACC),13,8-5,29,192,2.23
California (Pac-12),12,5-7,28,209,2.33
Massachusetts (MAC),12,3-9,28,201,2.33
UAB (CUSA),12,6-6,28,162,2.33
Utah (Pac-12),13,9-4,31,216,2.38
Kansas St. (Big 12),13,9-4,31,173,2.38
West Virginia (Big 12),13,7-6,31,228,2.38
Arkansas St. (Sun Belt),13,7-6,31,193,2.38
Ole Miss (),13,9-4,31,171,2.38
South Alabama (Sun Belt),13,6-7,31,229,2.38
Kansas (Big 12),12,3-9,29,201,2.42
UTSA (CUSA),12,4-8,29,186,2.42
Southern California (Pac-12),13,9-4,32,228,2.46
East Carolina (AAC),13,8-5,32,232,2.46
Iowa St. (Big 12),12,2-10,30,188,2.50
UConn (AAC),12,2-10,30,181,2.50
Georgia St. (Sun Belt),12,1-11,31,184,2.58
Houston (AAC),13,8-5,34,215,2.62
Virginia Tech (ACC),13,7-6,34,279,2.62
BYU (FBS Independent),13,8-5,36,211,2.77
Northwestern (Big Ten),12,5-7,34,279,2.83
Kentucky (SEC),12,5-7,34,217,2.83
Maryland (Big Ten),13,7-6,37,222,2.85
Illinois (Big Ten),13,6-7,37,239,2.85
Arizona (Pac-12),14,10-4,40,239,2.86
Fresno St. (Mountain West),14,6-8,40,223,2.86
Eastern Mich. (MAC),12,2-10,35,247,2.92
UNLV (Mountain West),13,2-11,38,247,2.92
Arizona St. (Pac-12),13,10-3,39,235,3.00
Washington St. (Pac-12),12,3-9,36,273,3.00
Southern Miss. (CUSA),12,3-9,36,232,3.00
Oregon St. (Pac-12),12,5-7,36,304,3.00
Oklahoma St. (Big 12),13,7-6,40,235,3.08
UCLA (Pac-12),13,10-3,41,228,3.15
Hawaii (Mountain West),13,4-9,41,264,3.15
Louisville (ACC),13,9-4,41,307,3.15
Tennessee (SEC),13,7-6,43,305,3.31
FIU (CUSA),12,4-8,40,290,3.33
Penn St. (Big Ten),13,7-6,44,277,3.38
Miami (OH) (MAC),12,2-10,43,287,3.58
ULM (Sun Belt),12,4-8,44,238,3.67
Wyoming (Mountain West),12,4-8,44,277,3.67
Idaho (Sun Belt),11,1-10,41,282,3.73
Wake Forest (ACC),12,3-9,48,352,4.00
SMU (AAC),12,1-11,48,256,4.00
Ga. Southern (Sun Belt),12,9-3,5,29,0.42
App State (Sun Belt),12,7-5,11,46,0.92
Charlotte (FBS Independent),11,5-6,12,67,1.09
Old Dominion (CUSA),12,6-6,28,232,2.33
