Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Purdue (Big Ten),12,3-9,119,131,18,268
NC State (ACC),13,8-5,138,116,15,269
Utah (Pac-12),13,9-4,113,129,28,270
Kentucky (SEC),12,5-7,127,125,18,270
Colorado (Pac-12),12,2-10,108,131,32,271
Hawaii (Mountain West),13,4-9,129,125,19,273
Fla. Atlantic (C-USA),12,3-9,133,124,17,274
Missouri (SEC),14,11-3,113,137,25,275
Rutgers (Big Ten),13,8-5,136,123,17,276
Navy (FBS Independent),13,8-5,151,120,7,278
Miami (OH) (MAC),12,2-10,123,130,25,278
Notre Dame (FBS Independent),13,8-5,126,136,16,278
Fresno St. (Mountain West),14,6-8,127,138,14,279
Troy (Sun Belt),12,3-9,149,111,19,279
Eastern Mich. (MAC),12,2-10,130,132,17,279
Middle Tenn. (C-USA),12,6-6,121,141,17,279
Southern Miss. (C-USA),12,3-9,117,139,23,279
Arkansas St. (Sun Belt),13,7-6,146,108,25,279
Louisiana Tech (C-USA),14,9-5,103,162,14,279
Massachusetts (MAC),12,3-9,118,138,25,281
BYU (FBS Independent),13,8-5,87,164,31,282
Ohio St. (Big Ten),15,14-1,120,135,28,283
Toledo (MAC),13,9-4,88,173,22,283
Duke (ACC),13,9-4,152,118,15,285
Oklahoma St. (Big 12),13,7-6,117,145,24,286
Cincinnati (AAC),13,9-4,132,142,13,287
Auburn (SEC),13,8-5,119,131,37,287
Maryland (Big Ten),13,7-6,138,131,22,291
Illinois (Big Ten),13,6-7,152,117,23,292
South Carolina (SEC),13,7-6,133,138,21,292
New Mexico St. (Sun Belt),12,2-10,190,88,14,292
Colorado St. (Mountain West),13,10-3,131,138,24,293
Florida St. (ACC),14,13-1,146,131,18,295
UCLA (Pac-12),13,10-3,111,151,33,295
Georgia Tech (ACC),14,11-3,125,160,15,300
Marshall (C-USA),14,13-1,138,127,36,301
SMU (AAC),12,1-11,140,147,15,302
Southern California (Pac-12),13,9-4,100,161,41,302
Texas A&M (SEC),13,8-5,139,139,24,302
NIU (MAC),14,11-3,123,155,26,304
New Mexico (Mountain West),12,4-8,156,133,17,306
Georgia St. (Sun Belt),12,1-11,182,115,10,307
UNLV (Mountain West),13,2-11,178,112,23,313
North Carolina (ACC),13,6-7,154,138,24,316
Nevada (Mountain West),13,7-6,129,168,19,316
Washington (Pac-12),14,8-6,101,188,28,317
Texas Tech (Big 12),12,4-8,164,130,31,325
Iowa St. (Big 12),12,2-10,156,150,22,328
California (Pac-12),12,5-7,95,203,34,332
Arizona (Pac-12),14,10-4,120,188,29,337
Western Ky. (C-USA),13,8-5,148,170,21,339
Oregon (Pac-12),15,13-2,132,189,28,349
Bowling Green (MAC),14,8-6,149,192,25,366
App State (Sun Belt),12,7-5,94,100,19,213
Ga. Southern (Sun Belt),12,9-3,112,128,14,254
Charlotte (FBS Independent),11,5-6,127,142,17,286
Old Dominion (C-USA),12,6-6,159,123,9,291
