Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Texas A&M (SEC),13,8-5,63,26,267,76,5.8
UTEP (C-USA),13,7-6,53,46,261,76,5.8
North Texas (C-USA),12,4-8,57,24,295,69,5.8
Buffalo (MAC),11,5-6,47,32,272,63,5.7
Nevada (Mountain West),13,7-6,65,18,246,74,5.7
Maryland (Big Ten),13,7-6,60,28,344,74,5.7
FIU (C-USA),12,4-8,56,24,283,68,5.7
Vanderbilt (SEC),12,3-9,54,28,241,68,5.7
Kansas St. (Big 12),13,9-4,65,16,274,73,5.6
Notre Dame (FBS Independent),13,8-5,57,32,326,73,5.6
New Mexico (Mountain West),12,4-8,50,34,294,67,5.6
Kansas (Big 12),12,3-9,57,20,249,67,5.6
UNLV (Mountain West),13,2-11,53,38,259,72,5.5
North Carolina (ACC),13,6-7,60,24,259,72,5.5
East Carolina (AAC),13,8-5,49,46,268,72,5.5
Western Ky. (C-USA),13,8-5,63,18,285,72,5.5
Southern Miss. (C-USA),12,3-9,58,16,229,66,5.5
Georgia (SEC),13,10-3,53,36,348,71,5.5
Iowa (Big Ten),13,7-6,48,46,263,71,5.5
Rutgers (Big Ten),13,8-5,59,24,325,71,5.5
Florida St. (ACC),14,13-1,64,24,273,76,5.4
Massachusetts (MAC),12,3-9,35,60,180,65,5.4
Hawaii (Mountain West),13,4-9,65,10,291,70,5.4
Northwestern (Big Ten),12,5-7,52,24,244,64,5.3
Kentucky (SEC),12,5-7,50,28,263,64,5.3
NIU (MAC),14,11-3,55,38,314,74,5.3
Eastern Mich. (MAC),12,2-10,40,46,224,63,5.3
Texas Tech (Big 12),12,4-8,48,30,258,63,5.3
South Alabama (Sun Belt),13,6-7,55,26,308,68,5.2
UConn (AAC),12,2-10,43,36,186,61,5.1
Purdue (Big Ten),12,3-9,50,22,224,61,5.1
Houston (AAC),13,8-5,50,32,249,66,5.1
Central Mich. (MAC),13,7-6,53,24,243,65,5.0
Fla. Atlantic (C-USA),12,3-9,51,18,255,60,5.0
Miami (FL) (ACC),13,6-7,56,16,289,64,4.9
Texas St. (Sun Belt),12,7-5,51,16,215,59,4.9
Iowa St. (Big 12),12,2-10,44,28,169,58,4.8
Western Mich. (MAC),13,8-5,51,22,266,62,4.8
Middle Tenn. (C-USA),12,6-6,53,8,232,57,4.8
Duke (ACC),13,9-4,48,26,303,61,4.7
Ohio (MAC),12,6-6,38,36,219,56,4.7
Kent St. (MAC),11,2-9,37,28,172,51,4.6
California (Pac-12),12,5-7,44,22,229,55,4.6
Miami (OH) (MAC),12,2-10,45,20,173,55,4.6
Army West Point (FBS Independent),12,4-8,48,14,179,55,4.6
Colorado (Pac-12),12,2-10,50,10,214,55,4.6
Colorado St. (Mountain West),13,10-3,46,22,192,57,4.4
Georgia Tech (ACC),14,11-3,51,20,242,61,4.4
Troy (Sun Belt),12,3-9,44,16,192,52,4.3
Ball St. (MAC),12,5-7,49,6,210,52,4.3
Wyoming (Mountain West),12,4-8,45,14,202,52,4.3
SMU (AAC),12,1-11,41,18,178,50,4.2
Pittsburgh (),13,6-7,51,6,254,54,4.2
South Carolina (SEC),13,7-6,47,10,205,52,4.0
Georgia St. (Sun Belt),12,1-11,42,12,158,48,4.0
San Jose St. (Mountain West),12,3-9,31,30,172,46,3.8
New Mexico St. (Sun Belt),12,2-10,32,22,147,43,3.6
Navy (FBS Independent),13,8-5,36,18,149,45,3.5
Charlotte (FBS Independent),11,5-6,66,22,310,77,7.0
App State (Sun Belt),12,7-5,57,38,287,76,6.3
Ga. Southern (Sun Belt),12,9-3,55,22,266,66,5.5
Old Dominion (C-USA),12,6-6,47,26,241,60,5.0
