Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
North Carolina (ACC),13,6-7,230,392,3346,31,8.54,14.55,257.4
Air Force (Mountain West),13,10-3,239,434,3369,20,7.76,14.10,259.2
Arizona St. (Pac-12),13,10-3,269,453,3376,22,7.45,12.55,259.7
Ohio (MAC),12,6-6,255,434,3137,22,7.23,12.30,261.4
Louisiana (Sun Belt),13,9-4,288,443,3427,19,7.74,11.90,263.6
SMU (AAC),12,1-11,230,364,3164,27,8.69,13.76,263.7
Baylor (Big 12),13,11-2,249,456,3434,24,7.53,13.79,264.2
Oregon (Pac-12),15,13-2,351,581,3964,21,6.82,11.29,264.3
Nevada (Mountain West),13,7-6,332,503,3479,26,6.92,10.48,267.6
Oklahoma St. (Big 12),13,7-6,275,453,3499,23,7.72,12.72,269.2
Middle Tenn. (C-USA),12,6-6,259,422,3236,26,7.67,12.49,269.7
BYU (FBS Independent),13,8-5,318,549,3506,25,6.39,11.03,269.7
Tulsa (AAC),12,2-10,232,374,3265,29,8.73,14.07,272.1
Mississippi St. (SEC),13,10-3,264,506,3547,17,7.01,13.44,272.8
Southern California (Pac-12),13,9-4,322,548,3569,20,6.51,11.08,274.5
Eastern Mich. (MAC),12,2-10,247,374,3298,27,8.82,13.35,274.8
Oklahoma (Big 12),13,8-5,287,510,3591,23,7.04,12.51,276.2
Arizona (Pac-12),14,10-4,349,534,3937,28,7.37,11.28,281.2
Iowa St. (Big 12),12,2-10,280,451,3392,20,7.52,12.11,282.7
Washington (Pac-12),14,8-6,343,539,4012,26,7.44,11.70,286.6
Western Ky. (C-USA),13,8-5,267,420,3759,33,8.95,14.08,289.2
Bowling Green (MAC),14,8-6,353,588,4080,25,6.94,11.56,291.4
Toledo (MAC),13,9-4,293,481,3792,37,7.88,12.94,291.7
Washington St. (Pac-12),12,3-9,276,429,3559,33,8.30,12.89,296.6
California (Pac-12),12,5-7,356,544,4406,42,8.10,12.38,367.2
App State (Sun Belt),12,7-5,210,356,2342,17,6.58,11.15,195.2
Old Dominion (C-USA),12,6-6,229,334,2756,26,8.25,12.03,229.7
Ga. Southern (Sun Belt),12,9-3,244,417,2813,18,6.75,11.53,234.4
Charlotte (FBS Independent),11,5-6,299,478,3126,19,6.54,10.45,284.2
