Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
South Alabama (Sun Belt),13,6-7,49,18,11,9,38,0.776
Bowling Green (MAC),14,8-6,67,27,14,11,52,0.776
Rutgers (Big Ten),13,8-5,54,20,13,9,42,0.778
LSU (SEC),13,8-5,32,10,6,9,25,0.781
Florida (SEC),12,7-5,37,9,9,11,29,0.784
Hawaii (Mountain West),13,4-9,51,18,16,6,40,0.784
Texas St. (Sun Belt),12,7-5,47,19,8,10,37,0.787
Navy (FBS Independent),13,8-5,52,14,16,11,41,0.788
Purdue (Big Ten),12,3-9,57,22,12,11,45,0.789
Georgia Tech (ACC),14,11-3,53,18,10,14,42,0.792
Kansas St. (Big 12),13,9-4,39,11,12,8,31,0.795
Arkansas St. (Sun Belt),13,7-6,44,21,8,6,35,0.795
Boise St. (Mountain West),14,12-2,45,17,9,10,36,0.800
NC State (ACC),13,8-5,45,15,12,9,36,0.800
UAB (C-USA),12,6-6,41,13,14,6,33,0.805
Ohio (MAC),12,6-6,36,10,12,7,29,0.806
Central Mich. (MAC),13,7-6,47,13,15,10,38,0.809
Nevada (Mountain West),13,7-6,47,13,14,11,38,0.809
Air Force (Mountain West),13,10-3,42,11,11,12,34,0.810
Stanford (Pac-12),13,8-5,33,10,9,8,27,0.818
Wake Forest (ACC),12,3-9,44,16,7,13,36,0.818
Nebraska (Big Ten),13,9-4,44,17,10,9,36,0.818
Penn St. (Big Ten),13,7-6,39,12,6,14,32,0.821
Virginia (ACC),12,5-7,39,10,12,10,32,0.821
Oklahoma (Big 12),13,8-5,39,15,5,12,32,0.821
New Mexico (Mountain West),12,4-8,56,28,9,9,46,0.821
California (Pac-12),12,5-7,62,18,22,11,51,0.823
Fla. Atlantic (C-USA),12,3-9,51,24,9,9,42,0.824
Wyoming (Mountain West),12,4-8,51,18,13,11,42,0.824
Miami (FL) (ACC),13,6-7,46,19,10,9,38,0.826
Tulsa (AAC),12,2-10,52,21,16,6,43,0.827
Michigan (Big Ten),12,5-7,41,11,10,13,34,0.829
UTSA (C-USA),12,4-8,41,11,8,15,34,0.829
San Jose St. (Mountain West),12,3-9,53,28,6,10,44,0.830
SMU (AAC),12,1-11,65,27,13,14,54,0.831
ULM (Sun Belt),12,4-8,42,15,11,9,35,0.833
Rice (C-USA),13,8-5,42,16,11,8,35,0.833
Maryland (Big Ten),13,7-6,60,21,13,16,50,0.833
Boston College (ACC),13,7-6,42,12,15,8,35,0.833
BYU (FBS Independent),13,8-5,50,17,15,10,42,0.840
Notre Dame (FBS Independent),13,8-5,50,20,15,7,42,0.840
Alabama (SEC),14,12-2,44,4,13,20,37,0.841
Miami (OH) (MAC),12,2-10,57,20,17,11,48,0.842
Pittsburgh (),13,6-7,38,20,7,5,32,0.842
Middle Tenn. (C-USA),12,6-6,51,16,13,14,43,0.843
TCU (Big 12),13,12-1,32,9,4,14,27,0.844
Kent St. (MAC),11,2-9,45,16,13,9,38,0.844
UCLA (Pac-12),13,10-3,45,17,10,11,38,0.844
Ohio St. (Big Ten),15,14-1,45,19,12,7,38,0.844
Utah (Pac-12),13,9-4,39,10,15,8,33,0.846
East Carolina (AAC),13,8-5,39,15,8,10,33,0.846
Oregon (Pac-12),15,13-2,59,20,17,13,50,0.847
UConn (AAC),12,2-10,46,15,14,10,39,0.848
Idaho (Sun Belt),11,1-10,40,20,5,9,34,0.850
West Virginia (Big 12),13,7-6,41,16,8,11,35,0.854
Oklahoma St. (Big 12),13,7-6,48,16,12,13,41,0.854
Louisiana Tech (C-USA),14,9-5,48,17,10,14,41,0.854
Massachusetts (MAC),12,3-9,48,17,14,10,41,0.854
Oregon St. (Pac-12),12,5-7,42,17,8,11,36,0.857
UTEP (C-USA),13,7-6,42,20,10,6,36,0.857
Colorado St. (Mountain West),13,10-3,50,24,8,11,43,0.860
Texas A&M (SEC),13,8-5,43,16,7,14,37,0.860
Buffalo (MAC),11,5-6,43,21,8,8,37,0.860
Houston (AAC),13,8-5,44,18,11,9,38,0.864
Michigan St. (Big Ten),13,11-2,30,14,7,5,26,0.867
Washington St. (Pac-12),12,3-9,53,14,19,13,46,0.868
Fresno St. (Mountain West),14,6-8,53,14,18,14,46,0.868
Utah St. (Mountain West),14,10-4,38,14,9,10,33,0.868
Missouri (SEC),14,11-3,38,15,9,9,33,0.868
Baylor (Big 12),13,11-2,38,15,11,7,33,0.868
Duke (ACC),13,9-4,51,19,11,15,45,0.882
South Carolina (SEC),13,7-6,60,24,12,17,53,0.883
Iowa St. (Big 12),12,2-10,60,29,10,14,53,0.883
UNLV (Mountain West),13,2-11,61,29,13,12,54,0.885
North Texas (C-USA),12,4-8,35,17,9,5,31,0.886
South Fla. (AAC),12,4-8,44,17,11,11,39,0.886
Toledo (MAC),13,9-4,53,12,22,13,47,0.887
Arizona (Pac-12),14,10-4,53,13,19,15,47,0.887
North Carolina (ACC),13,6-7,54,26,13,9,48,0.889
Iowa (Big Ten),13,7-6,37,12,8,13,33,0.892
Colorado (Pac-12),12,2-10,56,15,21,14,50,0.893
Army West Point (FBS Independent),12,4-8,56,17,22,11,50,0.893
NIU (MAC),14,11-3,48,23,9,11,43,0.896
Illinois (Big Ten),13,6-7,50,22,13,10,45,0.900
Minnesota (Big Ten),13,8-5,40,13,12,11,36,0.900
Wisconsin (Big Ten),14,11-3,32,12,7,10,29,0.906
Georgia St. (Sun Belt),12,1-11,68,33,15,14,62,0.912
Texas Tech (Big 12),12,4-8,57,31,13,8,52,0.912
New Mexico St. (Sun Belt),12,2-10,60,34,9,12,55,0.917
San Diego St. (Mountain West),13,7-6,36,21,3,9,33,0.917
Vanderbilt (SEC),12,3-9,52,21,13,14,48,0.923
Troy (Sun Belt),12,3-9,54,28,11,11,50,0.926
Kentucky (SEC),12,5-7,44,15,15,11,41,0.932
Tennessee (SEC),13,7-6,34,18,5,9,32,0.941
Indiana (Big Ten),12,4-8,45,13,14,16,43,0.956
Charlotte (FBS Independent),11,5-6,55,21,13,9,43,0.782
Ga. Southern (Sun Belt),12,9-3,37,16,8,5,29,0.784
Old Dominion (C-USA),12,6-6,57,26,15,6,47,0.825
App State (Sun Belt),12,7-5,47,19,11,10,40,0.851
