Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Penn St. (Big Ten),13,7-6,36,940,1,26.11
Kansas (Big 12),12,3-9,30,807,2,26.90
Rice (CUSA),13,8-5,25,686,1,27.44
Hawaii (Mountain West),13,4-9,28,770,0,27.50
Southern Miss. (CUSA),12,3-9,34,1011,2,29.74
Texas (Big 12),13,6-7,15,451,1,30.07
Charlotte (FBS Independent),11,5-6,68,1425,1,20.96
Ga. Southern (Sun Belt),12,9-3,48,1029,0,21.44
Old Dominion (CUSA),12,6-6,49,1123,1,22.92
App State (Sun Belt),12,7-5,45,1046,1,23.24
