Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
SMU (AAC),12,5-7,9,20,0.450
San Diego St. (Mountain West),13,8-5,11,24,0.458
Arizona (Pac-12),13,8-5,12,26,0.462
Auburn (SEC),14,12-2,13,28,0.464
Oregon (Pac-12),13,11-2,13,28,0.464
NIU (MAC),14,12-2,14,30,0.467
Western Ky. (Sun Belt),12,8-4,7,15,0.467
Florida (SEC),12,4-8,8,17,0.471
Massachusetts (MAC),12,1-11,9,19,0.474
UCLA (Pac-12),13,10-3,11,23,0.478
Kansas St. (Big 12),13,8-5,11,23,0.478
Colorado St. (Mountain West),14,8-6,14,29,0.483
Florida St. (ACC),14,14-0,11,22,0.500
Illinois (Big Ten),12,4-8,9,18,0.500
Mississippi St. (SEC),13,7-6,9,18,0.500
Fresno St. (Mountain West),13,11-2,19,38,0.500
Oklahoma St. (Big 12),13,10-3,15,30,0.500
Utah (Pac-12),12,5-7,9,18,0.500
Boston College (ACC),13,7-6,8,16,0.500
Northwestern (Big Ten),12,5-7,8,16,0.500
Stanford (Pac-12),14,11-3,16,31,0.516
East Carolina (C-USA),13,10-3,13,25,0.520
Louisville (AAC),13,12-1,12,23,0.522
Hawaii (Mountain West),12,1-11,11,21,0.524
Wake Forest (ACC),12,4-8,11,21,0.524
Temple (AAC),12,2-10,10,19,0.526
Memphis (AAC),12,3-9,10,19,0.526
Louisiana Tech (C-USA),12,4-8,10,19,0.526
Oregon St. (Pac-12),13,7-6,9,17,0.529
Duke (ACC),14,10-4,15,28,0.536
Ohio St. (Big Ten),14,12-2,13,24,0.542
Cincinnati (AAC),13,9-4,12,22,0.545
Ole Miss (SEC),13,8-5,11,20,0.550
Navy (FBS Independent),13,9-4,16,29,0.552
Boise St. (Mountain West),13,8-5,15,27,0.556
Army West Point (FBS Independent),12,3-9,10,18,0.556
South Fla. (AAC),12,2-10,5,9,0.556
New Mexico St. (FBS Independent),12,2-10,10,18,0.556
Purdue (Big Ten),12,1-11,10,18,0.556
Houston (AAC),13,8-5,14,25,0.560
Texas A&M (SEC),13,9-4,14,25,0.560
Iowa St. (Big 12),12,3-9,13,23,0.565
Missouri (SEC),14,12-2,13,23,0.565
Marshall (C-USA),14,10-4,17,30,0.567
Iowa (Big Ten),13,8-5,12,21,0.571
Ohio (MAC),13,7-6,8,14,0.571
Utah St. (Mountain West),14,9-5,19,33,0.576
Washington St. (Pac-12),13,6-7,15,26,0.577
South Alabama (Sun Belt),12,6-6,11,19,0.579
Air Force (Mountain West),12,2-10,11,19,0.579
Vanderbilt (SEC),13,9-4,14,24,0.583
Tulsa (C-USA),12,3-9,7,12,0.583
Arizona St. (Pac-12),14,10-4,13,22,0.591
Minnesota (Big Ten),13,8-5,13,22,0.591
Tulane (C-USA),13,7-6,6,10,0.600
Colorado (Pac-12),12,4-8,15,25,0.600
Clemson (ACC),13,11-2,14,23,0.609
Ball St. (MAC),13,10-3,19,31,0.613
Georgia Tech (ACC),13,7-6,8,13,0.615
TCU (Big 12),12,4-8,8,13,0.615
South Carolina (SEC),13,11-2,13,21,0.619
NC State (ACC),12,3-9,5,8,0.625
FIU (C-USA),12,1-11,7,11,0.636
Georgia (SEC),13,8-5,14,22,0.636
Arkansas (SEC),12,3-9,9,14,0.643
Western Mich. (MAC),12,1-11,11,17,0.647
Toledo (MAC),12,7-5,11,17,0.647
Miami (FL) (ACC),13,9-4,14,21,0.667
California (Pac-12),12,1-11,12,18,0.667
Middle Tenn. (C-USA),13,8-5,12,18,0.667
New Mexico (Mountain West),12,3-9,15,22,0.682
Idaho (FBS Independent),12,1-11,13,19,0.684
Kentucky (SEC),12,2-10,11,16,0.688
Wyoming (Mountain West),12,5-7,17,24,0.708
UTEP (C-USA),12,2-10,8,11,0.727
San Jose St. (Mountain West),12,6-6,14,19,0.737
Miami (OH) (MAC),12,0-12,9,12,0.750
Tennessee (SEC),12,5-7,9,12,0.750
West Virginia (Big 12),12,4-8,6,8,0.750
Rutgers (AAC),13,6-7,13,17,0.765
Eastern Mich. (MAC),12,2-10,8,10,0.800
Southern Miss. (C-USA),12,1-11,12,15,0.800
UAB (C-USA),12,2-10,10,12,0.833
Old Dominion (FBS Independent),12,8-4,7,20,0.350
UTSA (C-USA),12,7-5,6,17,0.353
Georgia St. (Sun Belt),12,0-12,6,16,0.375
Ga. Southern (FBS Independent),11,7-4,10,19,0.526
App State (FBS Independent),12,4-8,12,19,0.632
