Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Michigan (Big Ten),13,7-6,243,434,3007,23,6.93,12.37,231.3
Akron (MAC),12,5-7,238,385,2795,27,7.26,11.74,232.9
Virginia (ACC),12,2-10,195,386,2795,19,7.24,14.33,232.9
Arkansas St. (Sun Belt),13,8-5,239,433,3028,20,6.99,12.67,232.9
Arizona (Pac-12),13,8-5,269,460,3032,20,6.59,11.27,233.2
Arizona St. (Pac-12),14,10-4,249,445,3286,24,7.38,13.20,234.7
Arkansas (SEC),12,3-9,231,356,2820,25,7.92,12.21,235.0
Penn St. (Big Ten),12,7-5,249,423,2848,18,6.73,11.44,237.3
ULM (Sun Belt),12,6-6,220,408,2851,22,6.99,12.96,237.6
Iowa St. (Big 12),12,3-9,239,416,2869,17,6.90,12.00,239.1
UCF (AAC),13,12-1,272,479,3114,13,6.50,11.45,239.5
Air Force (Mountain West),12,2-10,237,326,2876,26,8.82,12.14,239.7
Kansas (Big 12),12,3-9,235,407,2904,20,7.14,12.36,242.0
Oklahoma St. (Big 12),13,10-3,290,541,3153,16,5.83,10.87,242.5
Louisiana (Sun Belt),13,9-4,250,414,3157,17,7.63,12.63,242.8
Illinois (Big Ten),12,4-8,231,354,2915,25,8.23,12.62,242.9
Duke (ACC),14,10-4,264,460,3414,25,7.42,12.93,243.9
Georgia Tech (ACC),13,7-6,267,427,3178,18,7.44,11.90,244.5
Oregon St. (Pac-12),13,7-6,265,439,3202,20,7.29,12.08,246.3
Nevada (Mountain West),12,4-8,255,380,2962,19,7.79,11.62,246.8
San Jose St. (Mountain West),12,6-6,252,408,2971,26,7.28,11.79,247.6
UConn (AAC),12,3-9,221,396,2990,23,7.55,13.53,249.2
Boise St. (Mountain West),13,8-5,294,455,3240,17,7.12,11.02,249.2
Texas St. (Sun Belt),12,6-6,271,455,2991,18,6.57,11.04,249.3
Miami (FL) (ACC),13,9-4,266,442,3248,16,7.35,12.21,249.8
New Mexico St. (FBS Independent),12,2-10,218,338,3000,21,8.88,13.76,250.0
Toledo (MAC),12,7-5,219,360,3016,17,8.38,13.77,251.3
East Carolina (C-USA),13,10-3,304,514,3277,24,6.38,10.78,252.1
Eastern Mich. (MAC),12,2-10,204,312,3031,23,9.71,14.86,252.6
Texas A&M (SEC),13,9-4,250,436,3295,31,7.56,13.18,253.5
Stanford (Pac-12),14,11-3,344,554,3553,22,6.41,10.33,253.8
Memphis (AAC),12,3-9,265,436,3052,18,7.00,11.52,254.3
San Diego St. (Mountain West),13,8-5,296,488,3312,31,6.79,11.19,254.8
Northwestern (Big Ten),12,5-7,267,446,3074,20,6.89,11.51,256.2
Auburn (SEC),14,12-2,286,494,3620,19,7.33,12.66,258.6
New Mexico (Mountain West),12,3-9,228,336,3113,30,9.26,13.65,259.4
Colorado (Pac-12),12,4-8,247,418,3114,24,7.45,12.61,259.5
Miami (OH) (MAC),12,0-12,254,387,3131,29,8.09,12.33,260.9
Wyoming (Mountain West),12,5-7,273,396,3142,32,7.93,11.51,261.8
NIU (MAC),14,12-2,280,517,3684,27,7.13,13.16,263.1
West Virginia (Big 12),12,4-8,244,401,3160,24,7.88,12.95,263.3
Missouri (SEC),14,12-2,356,567,3707,18,6.54,10.41,264.8
Houston (AAC),13,8-5,298,493,3468,15,7.03,11.64,266.8
Utah (Pac-12),12,5-7,262,443,3208,22,7.24,12.24,267.3
Ohio St. (Big Ten),14,12-2,330,534,3752,31,7.03,11.37,268.0
Boston College (ACC),13,7-6,283,423,3489,26,8.25,12.33,268.4
Washington St. (Pac-12),13,6-7,287,459,3520,23,7.67,12.26,270.8
SMU (AAC),12,5-7,286,441,3262,24,7.40,11.41,271.8
Colorado St. (Mountain West),14,8-6,310,492,3860,33,7.85,12.45,275.7
UAB (C-USA),12,2-10,232,355,3318,32,9.35,14.30,276.5
Hawaii (Mountain West),12,1-11,248,416,3373,27,8.11,13.60,281.1
Fresno St. (Mountain West),13,11-2,280,463,3674,26,7.94,13.12,282.6
Indiana (Big Ten),12,5-7,253,415,3482,24,8.39,13.76,290.2
Temple (AAC),12,2-10,278,431,3583,24,8.31,12.89,298.6
Rutgers (AAC),13,6-7,331,521,4056,31,7.79,12.25,312.0
Troy (Sun Belt),12,6-6,230,397,3763,28,9.48,16.36,313.6
Idaho (FBS Independent),12,1-11,304,450,3790,40,8.42,12.47,315.8
California (Pac-12),12,1-11,282,436,4092,32,9.39,14.51,341.0
App State (FBS Independent),12,4-8,188,295,2163,15,7.33,11.51,180.3
Ga. Southern (FBS Independent),11,7-4,167,309,2201,16,7.12,13.18,200.1
UTSA (C-USA),12,7-5,241,412,2799,20,6.79,11.61,233.3
Georgia St. (Sun Belt),12,0-12,223,346,2943,27,8.51,13.20,245.3
Old Dominion (FBS Independent),12,8-4,224,353,3063,23,8.68,13.67,255.3
