Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Utah (Pac-12),12,5-7,362:27,30:12
Tulane (C-USA),13,7-6,390:37,30:02
Memphis (AAC),12,3-9,360:10,30:00
LSU (SEC),13,10-3,390:05,30:00
Missouri (SEC),14,12-2,419:55,29:59
Penn St. (Big Ten),12,7-5,359:55,29:59
Arkansas St. (Sun Belt),13,8-5,389:31,29:57
Troy (Sun Belt),12,6-6,359:21,29:56
Central Mich. (MAC),12,6-6,358:27,29:52
UNLV (Mountain West),13,7-6,387:38,29:49
Louisiana (Sun Belt),13,9-4,387:09,29:46
Ole Miss (SEC),13,8-5,386:36,29:44
Kansas (Big 12),12,3-9,356:44,29:43
Wake Forest (ACC),12,4-8,356:15,29:41
Maryland (ACC),13,7-6,384:09,29:33
Massachusetts (MAC),12,1-11,353:21,29:26
New Mexico St. (FBS Independent),12,2-10,353:05,29:25
Florida St. (ACC),14,14-0,411:36,29:24
Georgia (SEC),13,8-5,381:58,29:22
ULM (Sun Belt),12,6-6,352:25,29:22
Akron (MAC),12,5-7,352:08,29:20
Nebraska (Big Ten),13,9-4,381:20,29:20
East Carolina (C-USA),13,10-3,381:13,29:19
Rutgers (AAC),13,6-7,381:03,29:18
California (Pac-12),12,1-11,351:23,29:16
Toledo (MAC),12,7-5,351:22,29:16
Northwestern (Big Ten),12,5-7,351:04,29:15
Boston College (ACC),13,7-6,380:13,29:14
Illinois (Big Ten),12,4-8,350:16,29:11
Notre Dame (FBS Independent),13,9-4,378:25,29:06
Duke (ACC),14,10-4,406:53,29:03
UCLA (Pac-12),13,10-3,377:41,29:03
SMU (AAC),12,5-7,347:10,28:55
UConn (AAC),12,3-9,347:00,28:55
South Fla. (AAC),12,2-10,346:52,28:54
Ball St. (MAC),13,10-3,374:46,28:49
Colorado (Pac-12),12,4-8,345:56,28:49
Tennessee (SEC),12,5-7,345:49,28:49
Western Mich. (MAC),12,1-11,344:27,28:42
Washington (Pac-12),13,9-4,372:56,28:41
Washington St. (Pac-12),13,6-7,372:05,28:37
NIU (MAC),14,12-2,399:40,28:32
Arizona (Pac-12),13,8-5,370:31,28:30
Temple (AAC),12,2-10,341:47,28:28
Texas Tech (Big 12),13,8-5,369:30,28:25
Boise St. (Mountain West),13,8-5,369:05,28:23
Fresno St. (Mountain West),13,11-2,368:47,28:22
West Virginia (Big 12),12,4-8,339:51,28:19
Tulsa (C-USA),12,3-9,338:38,28:13
Middle Tenn. (C-USA),13,8-5,366:35,28:11
Kentucky (SEC),12,2-10,336:00,28:00
BYU (FBS Independent),13,8-5,361:16,27:47
Miami (OH) (MAC),12,0-12,331:59,27:39
Purdue (Big Ten),12,1-11,330:58,27:34
Air Force (Mountain West),12,2-10,330:49,27:34
North Carolina (ACC),13,7-6,354:52,27:17
Clemson (ACC),13,11-2,354:51,27:17
Southern Miss. (C-USA),12,1-11,327:25,27:17
Baylor (Big 12),13,11-2,354:41,27:17
Ohio (MAC),13,7-6,353:45,27:12
Marshall (C-USA),14,10-4,377:00,26:55
Texas A&M (SEC),13,9-4,347:41,26:44
Oklahoma St. (Big 12),13,10-3,347:37,26:44
Hawaii (Mountain West),12,1-11,319:47,26:38
Miami (FL) (ACC),13,9-4,337:42,25:58
Louisiana Tech (C-USA),12,4-8,310:59,25:54
Indiana (Big Ten),12,5-7,309:45,25:48
Houston (AAC),13,8-5,334:08,25:42
Oregon (Pac-12),13,11-2,331:29,25:29
Wyoming (Mountain West),12,5-7,300:34,25:02
UTSA (C-USA),12,7-5,388:49,32:24
Ga. Southern (FBS Independent),11,7-4,347:12,31:33
App State (FBS Independent),12,4-8,352:18,29:21
Old Dominion (FBS Independent),12,8-4,337:02,28:05
Georgia St. (Sun Belt),12,0-12,335:34,27:57
