Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Illinois (Big Ten),12,4-8,867,5778,6.66,54,55,481.5
Wyoming (Mountain West),12,5-7,966,5784,5.99,59,60,482.0
Troy (Sun Belt),12,6-6,869,5798,6.67,55,58,483.2
Miami (OH) (MAC),12,0-12,915,5811,6.35,52,55,484.3
Air Force (Mountain West),12,2-10,918,5883,6.41,67,67,490.3
Hawaii (Mountain West),12,1-11,994,5936,5.97,54,59,494.7
UAB (C-USA),12,2-10,829,5974,7.21,67,71,497.8
Nevada (Mountain West),12,4-8,852,6064,7.12,53,54,505.3
Eastern Mich. (MAC),12,2-10,806,6130,7.61,66,71,510.8
New Mexico (Mountain West),12,3-9,836,6199,7.42,70,71,516.6
Indiana (Big Ten),12,5-7,940,6335,6.74,59,63,527.9
Idaho (FBS Independent),12,1-11,917,6353,6.93,72,76,529.4
California (Pac-12),12,1-11,898,6355,7.08,64,72,529.6
New Mexico St. (FBS Independent),12,2-10,862,6594,7.65,66,71,549.5
Ga. Southern (FBS Independent),11,7-4,709,3965,5.59,31,32,360.5
UTSA (C-USA),12,7-5,841,4516,5.37,35,40,376.3
App State (FBS Independent),12,4-8,835,4806,5.76,40,44,400.5
Old Dominion (FBS Independent),12,8-4,860,5426,6.31,51,54,452.2
Georgia St. (Sun Belt),12,0-12,888,5598,6.30,55,59,466.5
