Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Washington (Pac-12),13,9-4,84,222,0.378
Washington St. (Pac-12),13,6-7,77,202,0.381
Arkansas St. (Sun Belt),13,8-5,76,199,0.382
Pittsburgh (ACC),13,7-6,70,183,0.383
LSU (SEC),13,10-3,72,188,0.383
Iowa St. (Big 12),12,3-9,71,185,0.384
UConn (AAC),12,3-9,68,177,0.384
NIU (MAC),14,12-2,87,225,0.387
San Diego St. (Mountain West),13,8-5,77,199,0.387
Colorado (Pac-12),12,4-8,73,188,0.388
South Fla. (AAC),12,2-10,60,154,0.390
Ball St. (MAC),13,10-3,77,196,0.393
Arizona (Pac-12),13,8-5,83,211,0.393
Tulane (C-USA),13,7-6,84,213,0.394
Texas St. (Sun Belt),12,6-6,75,190,0.395
FIU (C-USA),12,1-11,60,151,0.397
Michigan (Big Ten),13,7-6,76,191,0.398
Georgia (SEC),13,8-5,77,193,0.399
North Carolina (ACC),13,7-6,84,210,0.400
Ole Miss (SEC),13,8-5,75,187,0.401
Northwestern (Big Ten),12,5-7,73,182,0.401
ULM (Sun Belt),12,6-6,74,184,0.402
Oregon (Pac-12),13,11-2,93,231,0.403
Massachusetts (MAC),12,1-11,59,146,0.404
Oregon St. (Pac-12),13,7-6,74,183,0.404
NC State (ACC),12,3-9,66,162,0.407
Kansas (Big 12),12,3-9,73,179,0.408
Kansas St. (Big 12),13,8-5,81,198,0.409
Temple (AAC),12,2-10,70,171,0.409
Texas A&M (SEC),13,9-4,75,183,0.410
UCF (AAC),13,12-1,77,187,0.412
SMU (AAC),12,5-7,73,177,0.412
Louisiana (Sun Belt),13,9-4,76,184,0.413
California (Pac-12),12,1-11,72,174,0.414
Wyoming (Mountain West),12,5-7,80,193,0.415
Rutgers (AAC),13,6-7,82,197,0.416
Hawaii (Mountain West),12,1-11,84,201,0.418
Boise St. (Mountain West),13,8-5,87,208,0.418
Notre Dame (FBS Independent),13,9-4,80,191,0.419
Miami (FL) (ACC),13,9-4,83,198,0.419
Boston College (ACC),13,7-6,80,189,0.423
Kent St. (MAC),12,4-8,64,151,0.424
Tennessee (SEC),12,5-7,71,167,0.425
West Virginia (Big 12),12,4-8,85,199,0.427
Akron (MAC),12,5-7,75,175,0.429
Arkansas (SEC),12,3-9,66,152,0.434
Troy (Sun Belt),12,6-6,75,172,0.436
Memphis (AAC),12,3-9,83,189,0.439
Tulsa (C-USA),12,3-9,85,193,0.440
Army West Point (FBS Independent),12,3-9,64,145,0.441
Ohio (MAC),13,7-6,88,199,0.442
Kentucky (SEC),12,2-10,71,159,0.447
Central Mich. (MAC),12,6-6,73,163,0.448
Western Ky. (Sun Belt),12,8-4,74,164,0.451
New Mexico St. (FBS Independent),12,2-10,71,157,0.452
Illinois (Big Ten),12,4-8,76,168,0.452
Louisiana Tech (C-USA),12,4-8,92,203,0.453
Toledo (MAC),12,7-5,76,167,0.455
East Carolina (C-USA),13,10-3,104,228,0.456
Western Mich. (MAC),12,1-11,79,173,0.457
Southern Miss. (C-USA),12,1-11,79,172,0.459
Navy (FBS Independent),13,9-4,79,172,0.459
UAB (C-USA),12,2-10,69,150,0.460
San Jose St. (Mountain West),12,6-6,80,173,0.462
Indiana (Big Ten),12,5-7,80,172,0.465
Idaho (FBS Independent),12,1-11,80,171,0.468
UTEP (C-USA),12,2-10,67,143,0.469
Eastern Mich. (MAC),12,2-10,64,135,0.474
UNLV (Mountain West),13,7-6,99,208,0.476
Nevada (Mountain West),12,4-8,76,159,0.478
Middle Tenn. (C-USA),13,8-5,99,207,0.478
Miami (OH) (MAC),12,0-12,80,166,0.482
New Mexico (Mountain West),12,3-9,72,146,0.493
Purdue (Big Ten),12,1-11,95,168,0.565
Air Force (Mountain West),12,2-10,96,163,0.589
Ga. Southern (FBS Independent),11,7-4,57,155,0.368
UTSA (C-USA),12,7-5,77,172,0.448
App State (FBS Independent),12,4-8,77,167,0.461
Old Dominion (FBS Independent),12,8-4,80,166,0.482
Georgia St. (Sun Belt),12,0-12,88,175,0.503
