Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Penn St. (Big Ten),12,7-5,441,1728,3.92,16,144.0
Mississippi St. (SEC),13,7-6,445,1874,4.21,17,144.2
Baylor (Big 12),13,11-2,546,1890,3.46,15,145.4
Texas St. (Sun Belt),12,6-6,425,1769,4.16,20,147.4
Vanderbilt (SEC),13,9-4,460,1922,4.18,19,147.8
Georgia (SEC),13,8-5,520,1926,3.70,25,148.2
Fresno St. (Mountain West),13,11-2,529,1926,3.64,22,148.2
Houston (AAC),13,8-5,541,1937,3.58,18,149.0
Pittsburgh (ACC),13,7-6,479,1937,4.04,19,149.0
Maryland (ACC),13,7-6,522,1941,3.72,20,149.3
Bowling Green (MAC),14,10-4,468,2108,4.50,16,150.6
Louisiana (Sun Belt),13,9-4,474,1959,4.13,20,150.7
NIU (MAC),14,12-2,551,2124,3.85,14,151.7
Missouri (SEC),14,12-2,513,2141,4.17,20,152.9
South Carolina (SEC),13,11-2,464,2000,4.31,16,153.8
Ole Miss (SEC),13,8-5,514,2014,3.92,27,154.9
Clemson (ACC),13,11-2,543,2024,3.73,22,155.7
Nebraska (Big Ten),13,9-4,538,2030,3.77,21,156.2
Minnesota (Big Ten),13,8-5,453,2056,4.54,19,158.2
South Alabama (Sun Belt),12,6-6,450,1916,4.26,15,159.7
BYU (FBS Independent),13,8-5,538,2079,3.86,11,159.9
Marshall (C-USA),14,10-4,607,2247,3.70,20,160.5
Boston College (ACC),13,7-6,518,2088,4.03,19,160.6
Western Ky. (Sun Belt),12,8-4,451,1935,4.29,24,161.3
Washington (Pac-12),13,9-4,508,2097,4.13,20,161.3
Rice (C-USA),14,10-4,545,2259,4.14,20,161.4
Auburn (SEC),14,12-2,495,2270,4.59,19,162.1
Akron (MAC),12,5-7,480,1969,4.10,16,164.1
Boise St. (Mountain West),13,8-5,568,2134,3.76,19,164.2
Fla. Atlantic (C-USA),12,6-6,457,1973,4.32,18,164.4
Oregon (Pac-12),13,11-2,563,2152,3.82,17,165.5
Buffalo (MAC),13,8-5,511,2166,4.24,24,166.6
Northwestern (Big Ten),12,5-7,484,2008,4.15,16,167.3
Arizona (Pac-12),13,8-5,531,2182,4.11,18,167.8
Notre Dame (FBS Independent),13,9-4,522,2184,4.18,13,168.0
UCLA (Pac-12),13,10-3,554,2203,3.98,19,169.5
Troy (Sun Belt),12,6-6,472,2035,4.31,27,169.6
Toledo (MAC),12,7-5,510,2045,4.01,27,170.4
Virginia (ACC),12,2-10,470,2048,4.36,28,170.7
Duke (ACC),14,10-4,573,2438,4.25,17,174.1
Temple (AAC),12,2-10,457,2100,4.60,17,175.0
Miami (FL) (ACC),13,9-4,522,2295,4.40,26,176.5
Arkansas (SEC),12,3-9,458,2141,4.67,21,178.4
Navy (FBS Independent),13,9-4,511,2325,4.55,17,178.8
Arkansas St. (Sun Belt),13,8-5,496,2342,4.72,22,180.2
NC State (ACC),12,3-9,431,2162,5.02,26,180.2
North Carolina (ACC),13,7-6,569,2372,4.17,19,182.5
Texas (Big 12),13,8-5,547,2380,4.35,21,183.1
Washington St. (Pac-12),13,6-7,547,2434,4.45,25,187.2
Ohio (MAC),13,7-6,529,2443,4.62,21,187.9
California (Pac-12),12,1-11,462,2263,4.90,32,188.6
ULM (Sun Belt),12,6-6,472,2271,4.81,19,189.3
Oregon St. (Pac-12),13,7-6,485,2474,5.10,28,190.3
Kansas (Big 12),12,3-9,485,2287,4.72,25,190.6
West Virginia (Big 12),12,4-8,519,2300,4.43,23,191.7
Louisiana Tech (C-USA),12,4-8,568,2337,4.11,25,194.8
Ball St. (MAC),13,10-3,532,2539,4.77,22,195.3
Kentucky (SEC),12,2-10,483,2368,4.90,26,197.3
Kent St. (MAC),12,4-8,489,2386,4.88,21,198.8
Tulsa (C-USA),12,3-9,520,2387,4.59,21,198.9
Middle Tenn. (C-USA),13,8-5,598,2591,4.33,25,199.3
Central Mich. (MAC),12,6-6,505,2415,4.78,23,201.3
Texas Tech (Big 12),13,8-5,576,2619,4.55,32,201.5
FIU (C-USA),12,1-11,467,2465,5.28,26,205.4
Tennessee (SEC),12,5-7,473,2488,5.26,25,207.3
Colorado (Pac-12),12,4-8,506,2502,4.94,31,208.5
San Jose St. (Mountain West),12,6-6,490,2540,5.18,29,211.7
Army West Point (FBS Independent),12,3-9,502,2560,5.10,29,213.3
Hawaii (Mountain West),12,1-11,578,2563,4.43,27,213.6
Idaho (FBS Independent),12,1-11,467,2563,5.49,32,213.6
Massachusetts (MAC),12,1-11,480,2586,5.39,23,215.5
UNLV (Mountain West),13,7-6,558,2802,5.02,28,215.5
Wyoming (Mountain West),12,5-7,570,2642,4.64,27,220.2
UAB (C-USA),12,2-10,474,2656,5.60,35,221.3
Texas A&M (SEC),13,9-4,537,2890,5.38,23,222.3
Miami (OH) (MAC),12,0-12,528,2680,5.08,23,223.3
Iowa St. (Big 12),12,3-9,502,2688,5.35,33,224.0
Southern Miss. (C-USA),12,1-11,567,2695,4.75,38,224.6
Purdue (Big Ten),12,1-11,529,2825,5.34,28,235.4
Indiana (Big Ten),12,5-7,525,2853,5.43,35,237.8
Illinois (Big Ten),12,4-8,513,2863,5.58,29,238.6
UTEP (C-USA),12,2-10,483,2974,6.16,35,247.8
Western Mich. (MAC),12,1-11,558,3000,5.38,30,250.0
Air Force (Mountain West),12,2-10,592,3007,5.08,41,250.6
New Mexico (Mountain West),12,3-9,500,3086,6.17,40,257.2
Eastern Mich. (MAC),12,2-10,494,3099,6.27,43,258.3
Nevada (Mountain West),12,4-8,472,3102,6.57,34,258.5
New Mexico St. (FBS Independent),12,2-10,524,3594,6.86,45,299.5
UTSA (C-USA),12,7-5,429,1717,4.00,15,143.1
Ga. Southern (FBS Independent),11,7-4,400,1764,4.41,15,160.4
Old Dominion (FBS Independent),12,8-4,507,2363,4.66,28,196.9
App State (FBS Independent),12,4-8,540,2643,4.89,25,220.3
Georgia St. (Sun Belt),12,0-12,542,2655,4.90,28,221.3
