Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Western Ky. (Sun Belt),12,8-4,53,1065,0,20.09
Maryland (ACC),13,7-6,55,1109,0,20.16
Nebraska (Big Ten),13,9-4,28,566,0,20.21
Southern California (Pac-12),14,10-4,58,1173,0,20.22
NIU (MAC),14,12-2,61,1234,1,20.23
Boston College (ACC),13,7-6,21,425,0,20.24
Army West Point (FBS Independent),12,3-9,41,832,0,20.29
UCF (AAC),13,12-1,62,1259,0,20.31
Mississippi St. (SEC),13,7-6,44,899,0,20.43
Kansas St. (Big 12),13,8-5,54,1107,1,20.50
Colorado St. (Mountain West),14,8-6,59,1211,1,20.53
Southern Miss. (CUSA),12,1-11,36,739,0,20.53
Minnesota (Big Ten),13,8-5,46,946,0,20.57
Alabama (SEC),13,11-2,68,1400,0,20.59
Toledo (MAC),12,7-5,35,721,0,20.60
Nevada (Mountain West),12,4-8,43,886,0,20.60
Duke (ACC),14,10-4,54,1113,0,20.61
Tulane (CUSA),13,7-6,13,268,0,20.62
Virginia Tech (ACC),13,8-5,43,899,1,20.91
Memphis (AAC),12,3-9,28,590,0,21.07
Bowling Green (MAC),14,10-4,62,1310,0,21.13
Michigan St. (Big Ten),14,13-1,45,953,0,21.18
Rice (CUSA),14,10-4,21,446,0,21.24
Temple (AAC),12,2-10,47,1000,0,21.28
UAB (CUSA),12,2-10,28,596,0,21.29
North Texas (CUSA),13,9-4,41,873,0,21.29
Arizona St. (Pac-12),14,10-4,64,1365,1,21.33
Oregon St. (Pac-12),13,7-6,53,1132,0,21.36
Georgia (SEC),13,8-5,63,1349,1,21.41
Pittsburgh (ACC),13,7-6,53,1139,1,21.49
Houston (AAC),13,8-5,42,903,0,21.50
Georgia Tech (ACC),13,7-6,45,968,0,21.51
Oregon (Pac-12),13,11-2,72,1559,0,21.65
Wyoming (Mountain West),12,5-7,27,586,0,21.70
SMU (AAC),12,5-7,37,805,1,21.76
Western Mich. (MAC),12,1-11,38,827,1,21.76
Texas Tech (Big 12),13,8-5,47,1025,1,21.81
East Carolina (CUSA),13,10-3,55,1206,0,21.93
Ole Miss (SEC),13,8-5,31,680,0,21.94
Texas St. (Sun Belt),12,6-6,18,395,0,21.94
Kent St. (MAC),12,4-8,39,856,0,21.95
UTEP (CUSA),12,2-10,30,659,0,21.97
Eastern Mich. (MAC),12,2-10,39,858,3,22.00
UNLV (Mountain West),13,7-6,52,1145,1,22.02
Hawaii (Mountain West),12,1-11,34,749,0,22.03
Troy (Sun Belt),12,6-6,43,948,1,22.05
Louisiana (Sun Belt),13,9-4,49,1086,3,22.16
San Jose St. (Mountain West),12,6-6,40,887,0,22.18
San Diego St. (Mountain West),13,8-5,37,827,1,22.35
Kansas (Big 12),12,3-9,22,492,1,22.36
Missouri (SEC),14,12-2,38,850,1,22.37
Virginia (ACC),12,2-10,35,783,0,22.37
South Carolina (SEC),13,11-2,42,943,1,22.45
Louisville (AAC),13,12-1,68,1540,0,22.65
Wake Forest (ACC),12,4-8,37,844,1,22.81
New Mexico (Mountain West),12,3-9,50,1145,0,22.90
Utah (Pac-12),12,5-7,54,1237,2,22.91
West Virginia (Big 12),12,4-8,42,963,0,22.93
North Carolina (ACC),13,7-6,57,1317,1,23.11
LSU (SEC),13,10-3,40,926,1,23.15
Colorado (Pac-12),12,4-8,31,721,0,23.26
Oklahoma (Big 12),13,11-2,36,838,0,23.28
Iowa (Big Ten),13,8-5,39,908,0,23.28
Michigan (Big Ten),13,7-6,34,792,0,23.29
Fresno St. (Mountain West),13,11-2,60,1403,2,23.38
Massachusetts (MAC),12,1-11,29,679,0,23.41
Middle Tenn. (CUSA),13,8-5,47,1111,0,23.64
Tulsa (CUSA),12,3-9,22,522,1,23.73
New Mexico St. (FBS Independent),12,2-10,34,811,2,23.85
Penn St. (Big Ten),12,7-5,49,1186,2,24.20
Arkansas (SEC),12,3-9,12,291,0,24.25
Washington (Pac-12),13,9-4,70,1698,2,24.26
UConn (AAC),12,3-9,43,1052,0,24.47
Purdue (Big Ten),12,1-11,31,760,1,24.52
Fla. Atlantic (CUSA),12,6-6,37,913,0,24.68
Illinois (Big Ten),12,4-8,29,719,0,24.79
Texas (Big 12),13,8-5,44,1098,0,24.95
BYU (FBS Independent),13,8-5,41,1028,2,25.07
South Fla. (AAC),12,2-10,26,658,0,25.31
TCU (Big 12),12,4-8,28,711,1,25.39
Tennessee (SEC),12,5-7,40,1017,1,25.43
FIU (CUSA),12,1-11,30,764,1,25.47
Notre Dame (FBS Independent),13,9-4,40,1027,0,25.68
Auburn (SEC),14,12-2,28,722,1,25.79
NC State (ACC),12,3-9,26,674,1,25.92
Idaho (FBS Independent),12,1-11,26,797,1,30.65
Ga. Southern (FBS Independent),11,7-4,40,832,0,20.80
Georgia St. (Sun Belt),12,0-12,32,703,1,21.97
UTSA (CUSA),12,7-5,40,880,1,22.00
App State (FBS Independent),12,4-8,31,730,1,23.55
Old Dominion (FBS Independent),12,8-4,46,1178,1,25.61
