Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Western Mich. (MAC),12,1-11,55,46,2,0,15,0,425,35.4
Miami (OH) (MAC),12,0-12,55,54,1,0,14,0,428,35.7
Troy (Sun Belt),12,6-6,58,51,1,0,10,0,431,35.9
Iowa St. (Big 12),12,3-9,56,54,0,0,14,0,432,36.0
Wyoming (Mountain West),12,5-7,60,53,3,0,7,0,440,36.7
FIU (C-USA),12,1-11,57,51,1,0,15,2,444,37.0
Purdue (Big Ten),12,1-11,61,61,0,0,9,1,456,38.0
Colorado (Pac-12),12,4-8,58,55,2,0,16,2,459,38.3
Hawaii (Mountain West),12,1-11,59,56,1,0,17,1,465,38.8
Indiana (Big Ten),12,5-7,63,61,0,0,9,0,466,38.8
UTEP (C-USA),12,2-10,62,59,2,0,11,2,472,39.3
Air Force (Mountain West),12,2-10,67,55,4,0,5,0,480,40.0
Southern Miss. (C-USA),12,1-11,68,61,1,0,10,1,503,41.9
New Mexico (Mountain West),12,3-9,71,69,0,0,6,0,513,42.8
UAB (C-USA),12,2-10,71,67,1,0,10,0,525,43.8
New Mexico St. (FBS Independent),12,2-10,71,64,2,1,13,0,535,44.6
Eastern Mich. (MAC),12,2-10,71,69,1,0,15,0,542,45.2
California (Pac-12),12,1-11,72,69,0,0,16,1,551,45.9
Idaho (FBS Independent),12,1-11,76,73,0,0,10,1,561,46.8
Ga. Southern (FBS Independent),11,7-4,32,24,2,0,11,1,255,23.2
UTSA (C-USA),12,7-5,40,38,1,0,12,0,316,26.3
App State (FBS Independent),12,4-8,44,42,0,0,10,0,336,28.0
Old Dominion (FBS Independent),12,8-4,54,52,0,0,10,1,408,34.0
Georgia St. (Sun Belt),12,0-12,59,56,0,0,10,0,440,36.7
