Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
NIU (MAC),14,12-2,43,13,14,9,36,0.837
Central Mich. (MAC),12,6-6,50,18,12,12,42,0.840
Illinois (Big Ten),12,4-8,57,19,17,12,48,0.842
Penn St. (Big Ten),12,7-5,38,12,10,9,32,0.842
Temple (AAC),12,2-10,51,16,10,17,43,0.843
Akron (MAC),12,5-7,51,15,18,10,43,0.843
UConn (AAC),12,3-9,45,15,15,8,38,0.844
Texas St. (Sun Belt),12,6-6,45,16,11,11,38,0.844
North Carolina (ACC),13,7-6,45,16,9,13,38,0.844
Kansas (Big 12),12,3-9,52,20,11,13,44,0.846
Mississippi St. (SEC),13,7-6,39,14,11,8,33,0.846
Indiana (Big Ten),12,5-7,52,25,11,8,44,0.846
Fla. Atlantic (C-USA),12,6-6,33,14,6,8,28,0.848
Syracuse (ACC),13,7-6,40,13,12,9,34,0.850
Ole Miss (SEC),13,8-5,47,25,6,9,40,0.851
Georgia (SEC),13,8-5,48,21,8,12,41,0.854
Iowa (Big Ten),13,8-5,28,7,8,9,24,0.857
Oklahoma (Big 12),13,11-2,35,14,6,10,30,0.857
Utah (Pac-12),12,5-7,50,11,18,14,43,0.860
Army West Point (FBS Independent),12,3-9,51,22,12,10,44,0.863
Northwestern (Big Ten),12,5-7,44,13,12,13,38,0.864
Texas (Big 12),13,8-5,52,18,9,18,45,0.865
California (Pac-12),12,1-11,52,21,14,10,45,0.865
Michigan (Big Ten),13,7-6,45,10,14,15,39,0.867
Fresno St. (Mountain West),13,11-2,45,14,16,9,39,0.867
Vanderbilt (SEC),13,9-4,46,18,11,11,40,0.870
Arizona St. (Pac-12),14,10-4,46,14,16,10,40,0.870
Eastern Mich. (MAC),12,2-10,54,24,10,13,47,0.870
Arizona (Pac-12),13,8-5,39,16,10,8,34,0.872
Rutgers (AAC),13,6-7,48,15,17,10,42,0.875
Texas A&M (SEC),13,9-4,48,19,16,7,42,0.875
Air Force (Mountain West),12,2-10,57,35,13,2,50,0.877
South Alabama (Sun Belt),12,6-6,41,13,12,11,36,0.878
SMU (AAC),12,5-7,50,22,15,7,44,0.880
Tulsa (C-USA),12,3-9,51,18,15,12,45,0.882
FIU (C-USA),12,1-11,52,18,13,15,46,0.885
Nebraska (Big Ten),13,9-4,44,19,7,13,39,0.886
New Mexico (Mountain West),12,3-9,53,27,16,4,47,0.887
Hawaii (Mountain West),12,1-11,53,22,15,10,47,0.887
Rice (C-USA),14,10-4,45,19,10,11,40,0.889
Virginia (ACC),12,2-10,46,19,10,12,41,0.891
Nevada (Mountain West),12,4-8,47,24,11,7,42,0.894
UTEP (C-USA),12,2-10,50,25,11,9,45,0.900
Toledo (MAC),12,7-5,51,26,12,8,46,0.902
Maryland (ACC),13,7-6,53,16,14,18,48,0.906
Kansas St. (Big 12),13,8-5,44,17,8,15,40,0.909
UAB (C-USA),12,2-10,59,28,19,7,54,0.915
Oregon St. (Pac-12),13,7-6,48,22,7,15,44,0.917
Pittsburgh (ACC),13,7-6,40,16,8,13,37,0.925
Purdue (Big Ten),12,1-11,56,23,21,8,52,0.929
Southern Miss. (C-USA),12,1-11,56,32,14,7,53,0.946
NC State (ACC),12,3-9,40,21,11,6,38,0.950
San Diego St. (Mountain West),13,8-5,43,17,20,4,41,0.953
Ga. Southern (FBS Independent),11,7-4,33,11,5,9,25,0.758
Old Dominion (FBS Independent),12,8-4,48,21,11,6,38,0.792
App State (FBS Independent),12,4-8,49,22,9,8,39,0.796
Georgia St. (Sun Belt),12,0-12,53,25,14,7,46,0.868
UTSA (C-USA),12,7-5,40,14,12,9,35,0.875
