Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
UConn (AAC),12,3-9,33,11,9,8,28,0.848
Pittsburgh (ACC),13,7-6,45,16,13,9,38,0.844
Fresno St. (Mountain West),13,11-2,70,19,32,8,59,0.843
Memphis (AAC),12,3-9,38,13,9,10,32,0.842
North Texas (C-USA),13,9-4,44,24,6,7,37,0.841
LSU (SEC),13,10-3,56,26,11,10,47,0.839
Utah (Pac-12),12,5-7,42,14,13,8,35,0.833
Houston (AAC),13,8-5,59,15,19,15,49,0.831
Nevada (Mountain West),12,4-8,52,20,14,9,43,0.827
Maryland (ACC),13,7-6,46,13,9,16,38,0.826
Wyoming (Mountain West),12,5-7,46,18,16,4,38,0.826
BYU (FBS Independent),13,8-5,56,16,11,19,46,0.821
Wake Forest (ACC),12,4-8,28,10,8,5,23,0.821
Arizona (Pac-12),13,8-5,56,27,10,9,46,0.821
Indiana (Big Ten),12,5-7,56,17,21,8,46,0.821
Baylor (Big 12),13,11-2,67,37,6,12,55,0.821
Penn St. (Big Ten),12,7-5,50,20,11,10,41,0.820
Ohio (MAC),13,7-6,55,14,16,15,45,0.818
Colorado (Pac-12),12,4-8,32,7,7,12,26,0.813
Western Ky. (Sun Belt),12,8-4,64,27,12,13,52,0.813
Texas St. (Sun Belt),12,6-6,37,18,7,5,30,0.811
Texas A&M (SEC),13,9-4,73,30,23,6,59,0.808
Western Mich. (MAC),12,1-11,36,9,7,13,29,0.806
Virginia (ACC),12,2-10,41,14,7,12,33,0.805
Tulane (C-USA),13,7-6,41,13,12,8,33,0.805
Syracuse (ACC),13,7-6,46,21,8,8,37,0.804
Notre Dame (FBS Independent),13,9-4,45,10,14,12,36,0.800
Miami (FL) (ACC),13,9-4,55,22,11,11,44,0.800
West Virginia (Big 12),12,4-8,40,12,9,11,32,0.800
Mississippi St. (SEC),13,7-6,55,24,11,9,44,0.800
Michigan St. (Big Ten),14,13-1,50,15,13,12,40,0.800
Kentucky (SEC),12,2-10,35,13,6,9,28,0.800
Fla. Atlantic (C-USA),12,6-6,40,15,10,7,32,0.800
South Alabama (Sun Belt),12,6-6,50,21,8,11,40,0.800
Alabama (SEC),13,11-2,54,20,15,8,43,0.796
San Jose St. (Mountain West),12,6-6,44,8,14,13,35,0.795
Oregon St. (Pac-12),13,7-6,68,14,29,11,54,0.794
Troy (Sun Belt),12,6-6,53,23,12,7,42,0.792
Illinois (Big Ten),12,4-8,48,17,11,10,38,0.792
Louisiana Tech (C-USA),12,4-8,43,13,8,13,34,0.791
Arkansas (SEC),12,3-9,38,11,12,7,30,0.789
Tulsa (C-USA),12,3-9,47,15,7,15,37,0.787
Washington St. (Pac-12),13,6-7,51,10,22,8,40,0.784
Oregon (Pac-12),13,11-2,74,28,21,9,58,0.784
Temple (AAC),12,2-10,37,16,10,3,29,0.784
Akron (MAC),12,5-7,32,10,9,6,25,0.781
SMU (AAC),12,5-7,50,12,15,12,39,0.780
UNLV (Mountain West),13,7-6,54,17,19,6,42,0.778
Middle Tenn. (C-USA),13,8-5,53,18,13,10,41,0.774
Tennessee (SEC),12,5-7,44,15,10,9,34,0.773
NC State (ACC),12,3-9,39,9,8,13,30,0.769
Central Mich. (MAC),12,6-6,43,12,10,11,33,0.767
Kent St. (MAC),12,4-8,34,12,7,7,26,0.765
Rutgers (AAC),13,6-7,55,14,16,12,42,0.764
Iowa (Big Ten),13,8-5,54,18,10,13,41,0.759
Idaho (FBS Independent),12,1-11,36,11,8,8,27,0.750
Hawaii (Mountain West),12,1-11,40,12,13,5,30,0.750
Eastern Mich. (MAC),12,2-10,32,11,9,4,24,0.750
Ole Miss (SEC),13,8-5,46,16,8,10,34,0.739
Virginia Tech (ACC),13,8-5,42,15,8,8,31,0.738
Cincinnati (AAC),13,9-4,57,26,10,6,42,0.737
South Fla. (AAC),12,2-10,19,3,4,7,14,0.737
Southern Miss. (C-USA),12,1-11,34,5,12,8,25,0.735
Purdue (Big Ten),12,1-11,26,4,11,4,19,0.731
California (Pac-12),12,1-11,43,7,14,10,31,0.721
FIU (C-USA),12,1-11,25,5,7,6,18,0.720
Massachusetts (MAC),12,1-11,21,5,5,5,15,0.714
San Diego St. (Mountain West),13,8-5,52,22,9,6,37,0.712
Florida (SEC),12,4-8,43,13,6,11,30,0.698
Kansas (Big 12),12,3-9,33,10,4,9,23,0.697
UTEP (C-USA),12,2-10,36,13,7,5,25,0.694
ULM (Sun Belt),12,6-6,38,8,13,4,25,0.658
Miami (OH) (MAC),12,0-12,19,5,5,2,12,0.632
Ga. Southern (FBS Independent),11,7-4,46,34,2,4,40,0.870
Old Dominion (FBS Independent),12,8-4,68,27,21,11,59,0.868
UTSA (C-USA),12,7-5,41,16,9,10,35,0.854
App State (FBS Independent),12,4-8,40,16,8,8,32,0.800
Georgia St. (Sun Belt),12,0-12,27,7,9,5,21,0.778
