Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Louisville (AAC),13,12-1,2,6,0.333
South Fla. (AAC),12,2-10,5,16,0.313
Louisiana Tech (C-USA),12,4-8,5,16,0.313
ULM (Sun Belt),12,6-6,6,20,0.300
Central Mich. (MAC),12,6-6,3,10,0.300
Iowa (Big Ten),13,8-5,5,17,0.294
Arkansas St. (Sun Belt),13,8-5,6,21,0.286
Colorado (Pac-12),12,4-8,4,14,0.286
Louisiana (Sun Belt),13,9-4,4,14,0.286
Kansas (Big 12),12,3-9,7,28,0.250
Virginia (ACC),12,2-10,6,25,0.240
Houston (AAC),13,8-5,4,17,0.235
West Virginia (Big 12),12,4-8,4,18,0.222
UTSA (C-USA),12,7-5,10,13,0.769
Ga. Southern (FBS Independent),11,7-4,11,19,0.579
Old Dominion (FBS Independent),12,8-4,11,23,0.478
Georgia St. (Sun Belt),12,0-12,9,20,0.450
App State (FBS Independent),12,4-8,8,20,0.400
