Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
San Diego St. (Mountain West),13,8-5,510,2166,4.25,30,166.6
Tulsa (C-USA),12,3-9,483,1977,4.09,15,164.8
NC State (ACC),12,3-9,519,1952,3.76,14,162.7
Utah (Pac-12),12,5-7,473,1924,4.07,19,160.3
Miami (FL) (ACC),13,9-4,436,2084,4.78,25,160.3
Louisiana Tech (C-USA),12,4-8,410,1922,4.69,14,160.2
UCF (AAC),13,12-1,471,2079,4.41,28,159.9
Eastern Mich. (MAC),12,2-10,445,1896,4.26,13,158.0
Virginia (ACC),12,2-10,489,1879,3.84,18,156.6
Kansas (Big 12),12,3-9,496,1849,3.73,12,154.1
Fresno St. (Mountain West),13,11-2,413,1989,4.82,21,153.0
Ball St. (MAC),13,10-3,451,1988,4.41,28,152.9
Notre Dame (FBS Independent),13,9-4,440,1967,4.47,12,151.3
Temple (AAC),12,2-10,422,1792,4.25,17,149.3
West Virginia (Big 12),12,4-8,427,1784,4.18,18,148.7
Maryland (ACC),13,7-6,476,1929,4.05,18,148.4
North Carolina (ACC),13,7-6,490,1928,3.93,19,148.3
Kentucky (SEC),12,2-10,431,1775,4.12,16,147.9
Louisville (AAC),13,12-1,455,1909,4.20,18,146.8
Florida (SEC),12,4-8,482,1749,3.63,14,145.8
New Mexico St. (FBS Independent),12,2-10,444,1731,3.90,14,144.3
Iowa St. (Big 12),12,3-9,488,1726,3.54,16,143.8
Troy (Sun Belt),12,6-6,437,1692,3.87,23,141.0
East Carolina (C-USA),13,10-3,463,1821,3.93,30,140.1
Houston (AAC),13,8-5,435,1807,4.15,19,139.0
Vanderbilt (SEC),13,9-4,504,1807,3.59,34,139.0
Illinois (Big Ten),12,4-8,411,1668,4.06,20,139.0
Memphis (AAC),12,3-9,438,1660,3.79,14,138.3
Idaho (FBS Independent),12,1-11,501,1650,3.29,12,137.5
San Jose St. (Mountain West),12,6-6,432,1648,3.81,12,137.3
Ohio (MAC),13,7-6,462,1742,3.77,16,134.0
Central Mich. (MAC),12,6-6,410,1593,3.89,16,132.8
Rutgers (AAC),13,6-7,455,1684,3.70,17,129.5
Tulane (C-USA),13,7-6,461,1649,3.58,15,126.8
Pittsburgh (ACC),13,7-6,452,1634,3.62,20,125.7
Michigan (Big Ten),13,7-6,498,1634,3.28,27,125.7
Massachusetts (MAC),12,1-11,448,1502,3.35,5,125.2
ULM (Sun Belt),12,6-6,389,1474,3.79,10,122.8
Akron (MAC),12,5-7,418,1471,3.52,12,122.6
California (Pac-12),12,1-11,424,1466,3.46,10,122.2
Colorado (Pac-12),12,4-8,421,1450,3.44,10,120.8
Virginia Tech (ACC),13,8-5,493,1557,3.16,17,119.8
TCU (Big 12),12,4-8,403,1423,3.53,20,118.6
Texas Tech (Big 12),13,8-5,422,1536,3.64,19,118.2
Western Mich. (MAC),12,1-11,389,1394,3.58,10,116.2
Hawaii (Mountain West),12,1-11,428,1375,3.21,12,114.6
Miami (OH) (MAC),12,0-12,451,1219,2.70,5,101.6
Oregon St. (Pac-12),13,7-6,355,1227,3.46,15,94.4
Wake Forest (ACC),12,4-8,388,1129,2.91,11,94.1
SMU (AAC),12,5-7,326,1125,3.45,13,93.8
South Fla. (AAC),12,2-10,359,1064,2.96,4,88.7
UConn (AAC),12,3-9,388,1013,2.61,12,84.4
FIU (C-USA),12,1-11,445,915,2.06,5,76.3
Southern Miss. (C-USA),12,1-11,335,875,2.61,5,72.9
Purdue (Big Ten),12,1-11,319,805,2.52,6,67.1
Washington St. (Pac-12),13,6-7,243,694,2.86,10,53.4
Ga. Southern (FBS Independent),11,7-4,626,3964,6.33,44,360.4
UTSA (C-USA),12,7-5,426,2105,4.94,23,175.4
Old Dominion (FBS Independent),12,8-4,401,1915,4.78,29,159.6
App State (FBS Independent),12,4-8,428,1656,3.87,18,138.0
Georgia St. (Sun Belt),12,0-12,364,1227,3.37,9,102.3
