Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Wyoming (Mountain West),12,5-7,59,32,275,75,6.3
Toledo (MAC),12,7-5,60,30,305,75,6.3
Georgia (SEC),13,8-5,71,20,337,81,6.2
UCF (AAC),13,12-1,60,42,290,81,6.2
BYU (FBS Independent),13,8-5,66,30,303,81,6.2
Central Mich. (MAC),12,6-6,50,48,261,74,6.2
Northwestern (Big Ten),12,5-7,60,28,303,74,6.2
Iowa (Big Ten),13,8-5,55,50,239,80,6.2
North Carolina (ACC),13,7-6,65,30,376,80,6.2
Kansas (Big 12),12,3-9,60,26,274,73,6.1
Temple (AAC),12,2-10,69,8,230,73,6.1
Bowling Green (MAC),14,10-4,65,38,335,84,6.0
UCLA (Pac-12),13,10-3,68,20,344,78,6.0
North Texas (C-USA),13,9-4,62,32,330,78,6.0
Houston (AAC),13,8-5,62,32,360,78,6.0
East Carolina (C-USA),13,10-3,54,48,306,78,6.0
Fla. Atlantic (C-USA),12,6-6,61,22,338,72,6.0
Louisiana Tech (C-USA),12,4-8,52,40,203,72,6.0
Arizona (Pac-12),13,8-5,63,28,255,77,5.9
Idaho (FBS Independent),12,1-11,66,10,278,71,5.9
Colorado St. (Mountain West),14,8-6,64,36,329,82,5.9
Washington St. (Pac-12),13,6-7,58,36,276,76,5.8
Colorado (Pac-12),12,4-8,64,12,247,70,5.8
ULM (Sun Belt),12,6-6,51,38,186,70,5.8
San Diego St. (Mountain West),13,8-5,62,26,284,75,5.8
Oregon St. (Pac-12),13,7-6,56,38,275,75,5.8
Penn St. (Big Ten),12,7-5,55,28,328,69,5.8
Washington (Pac-12),13,9-4,57,34,310,74,5.7
Mississippi St. (SEC),13,7-6,54,40,260,74,5.7
Ball St. (MAC),13,10-3,52,44,288,74,5.7
Western Ky. (Sun Belt),12,8-4,54,28,249,68,5.7
Minnesota (Big Ten),13,8-5,57,32,286,73,5.6
Oklahoma (Big 12),13,11-2,57,32,303,73,5.6
Ohio (MAC),13,7-6,54,38,275,73,5.6
Arkansas (SEC),12,3-9,52,30,294,67,5.6
Akron (MAC),12,5-7,51,32,251,67,5.6
Illinois (Big Ten),12,4-8,51,32,219,67,5.6
UNLV (Mountain West),13,7-6,58,28,247,72,5.5
UConn (AAC),12,3-9,49,34,243,66,5.5
Wake Forest (ACC),12,4-8,50,32,287,66,5.5
Troy (Sun Belt),12,6-6,61,10,236,66,5.5
Arkansas St. (Sun Belt),13,8-5,51,40,297,71,5.5
Kansas St. (Big 12),13,8-5,59,24,240,71,5.5
Tennessee (SEC),12,5-7,56,18,216,65,5.4
Oregon (Pac-12),13,11-2,61,18,270,70,5.4
Michigan (Big Ten),13,7-6,57,26,283,70,5.4
Indiana (Big Ten),12,5-7,47,34,232,64,5.3
LSU (SEC),13,10-3,52,34,281,69,5.3
Alabama (SEC),13,11-2,53,32,245,69,5.3
Nevada (Mountain West),12,4-8,52,22,245,63,5.3
Rice (C-USA),14,10-4,48,50,302,73,5.2
Miami (OH) (MAC),12,0-12,46,32,164,62,5.2
Middle Tenn. (C-USA),13,8-5,59,16,270,67,5.2
Texas A&M (SEC),13,9-4,48,38,196,67,5.2
NIU (MAC),14,12-2,59,26,301,72,5.1
Florida (SEC),12,4-8,54,14,249,61,5.1
Western Mich. (MAC),12,1-11,37,48,151,61,5.1
UAB (C-USA),12,2-10,53,14,188,60,5.0
Iowa St. (Big 12),12,3-9,46,28,192,60,5.0
Duke (ACC),14,10-4,54,30,273,69,4.9
Wisconsin (Big Ten),13,9-4,50,28,246,64,4.9
Notre Dame (FBS Independent),13,9-4,58,12,270,64,4.9
Army West Point (FBS Independent),12,3-9,54,8,204,58,4.8
FIU (C-USA),12,1-11,48,18,192,57,4.8
Texas St. (Sun Belt),12,6-6,50,14,221,57,4.8
Miami (FL) (ACC),13,9-4,53,16,249,61,4.7
Purdue (Big Ten),12,1-11,48,14,181,55,4.6
Kentucky (SEC),12,2-10,42,24,216,54,4.5
Kent St. (MAC),12,4-8,39,28,211,53,4.4
San Jose St. (Mountain West),12,6-6,46,6,181,49,4.1
New Mexico St. (FBS Independent),12,2-10,33,28,145,47,3.9
New Mexico (Mountain West),12,3-9,35,24,185,47,3.9
Eastern Mich. (MAC),12,2-10,34,24,199,46,3.8
Massachusetts (MAC),12,1-11,30,32,133,46,3.8
UTEP (C-USA),12,2-10,33,24,158,45,3.8
Air Force (Mountain West),12,2-10,31,22,170,42,3.5
Navy (FBS Independent),13,9-4,32,14,114,39,3.0
Old Dominion (FBS Independent),12,8-4,61,34,234,78,6.5
Georgia St. (Sun Belt),12,0-12,48,28,171,62,5.2
App State (FBS Independent),12,4-8,38,38,146,57,4.8
Ga. Southern (FBS Independent),11,7-4,43,16,165,51,4.6
UTSA (C-USA),12,7-5,42,16,187,50,4.2
