year,0_team,1_team,winner_id
2013,toledo,eastern mich,0
2013,georgia tech,pittsburgh,0
2013,missouri,tennessee,0
2013,ucla,colorado,0
2013,south alabama,arkansas state,1
2013,kentucky,alabama state,0
2013,colorado state,boise state,1
2013,san diego state,new mexico,0
2013,florida state,miami fl,0
2013,texas am,utep,0
2013,fresno state,nevada,0
2013,miami fl,bowling green,1
2013,buffalo,ohio,0
2013,ball state,central mich,0
2013,baylor,oklahoma,0
2013,louisiana,troy,0
2013,stanford,oregon,0
2013,uconn,louisville,1
2013,new mexico,air force,0
2013,iowa state,tcu,1
2013,marshall,uab,0
2013,cincinnati,smu,0
2013,army west point,western ky,1
2013,purdue,iowa,1
2013,florida,vanderbilt,1
2013,tennessee,auburn,1
2013,kentucky,missouri,1
2013,wake forest,florida state,1
2013,texas tech,kansas state,1
2013,minnesota,penn state,0
2013,ole miss,arkansas,0
2013,north carolina,virginia,0
2013,georgia,app state,0
2013,eastern mich,western mich,0
2013,utsa,tulane,0
2013,california,southern california,1
2013,michigan,nebraska,1
2013,north texas,utep,0
2013,indiana,illinois,0
2013,new mexico state,boston college,1
2013,navy,hawaii,0
2013,wisconsin,byu,0
2013,texas am,mississippi state,0
2013,colorado state,nevada,0
2013,maryland,syracuse,1
2013,east carolina,tulsa,0
2013,duke,nc state,0
2013,oklahoma state,kansas,0
2013,middle tenn,fiu,0
2013,utah,arizona state,1
2013,memphis,ut martin,0
2013,idaho,old dominion,1
2013,west virginia,texas,1
2013,louisiana tech,southern miss,0
2013,south fla,arkansas state,1
2013,miami fl,virginia tech,1
2013,ucf,houston,0
2013,washington,colorado,0
2013,alabama,lsu,0
2013,unlv,utah state,1
2013,pittsburgh,notre dame,0
2013,arizona,ucla,1
2013,wyoming,fresno state,1
2013,san jose state,san diego state,1
2013,toledo,buffalo,0
2013,bowling green,ohio,0
2013,niu,ball state,0
2013,kent state,miami fl,0
2013,clemson,georgia tech,0
2013,tulsa,marshall,1
2013,ucla,washington,0
2013,wisconsin,indiana,0
2013,kansas,west virginia,0
2013,temple,ucf,1
2013,illinois,ohio state,1
2013,oklahoma,iowa state,0
2013,ole miss,troy,0
2013,rutgers,cincinnati,1
2013,penn state,purdue,0
2013,western mich,central mich,1
2013,vanderbilt,kentucky,0
2013,boston college,nc state,0
2013,southern miss,fla atlantic,1
2013,virginia tech,maryland,1
2013,pittsburgh,north carolina,1
2013,massachusetts,akron,1
2013,georgia state,louisiana,1
2013,east carolina,uab,0
2013,arizona,washington state,1
2013,byu,idaho state,0
2013,smu,uconn,0
2013,kansas state,tcu,0
2013,northwestern,michigan,1
2013,navy,south alabama,0
2013,texas,oklahoma state,1
2013,duke,miami fl,0
2013,florida state,syracuse,0
2013,auburn,georgia,0
2013,nebraska,michigan state,1
2013,oregon,utah,0
2013,colorado,california,0
2013,south fla,memphis,1
2013,rice,louisiana tech,0
2013,south carolina,florida,0
2013,louisville,houston,0
2013,new mexico,colorado state,1
2013,baylor,texas tech,0
2013,arkansas state,texas state,0
2013,mississippi state,alabama,1
2013,southern california,stanford,0
2013,utep,fiu,0
2013,arizona state,oregon state,0
2013,boise state,wyoming,0
2013,hawaii,san diego state,1
2013,nevada,san jose state,0
2013,ohio,kent state,1
2013,miami fl,buffalo,1
2013,toledo,niu,1
2013,ucf,rutgers,0
2013,uab,rice,1
2013,air force,unlv,1
2013,san jose state,navy,1
2013,louisville,memphis,0
2013,northwestern,michigan state,1
2013,kansas state,oklahoma,1
2013,north carolina,old dominion,0
2013,wake forest,duke,1
2013,houston,cincinnati,1
2013,iowa,michigan,0
2013,miami fl,virginia,0
2013,purdue,illinois,1
2013,clemson,the citadel,0
2013,arkansas,mississippi state,1
2013,nc state,east carolina,1
2013,syracuse,pittsburgh,1
2013,central mich,massachusetts,0
2013,eastern mich,bowling green,1
2013,south carolina,coastal carolina,0
2013,georgia tech,alabama am,0
2013,wyoming,hawaii,0
2013,alabama,chattanooga,0
2013,florida,ga southern,1
2013,arkansas state,georgia state,0
2013,fla atlantic,new mexico state,0
2013,north texas,utsa,1
2013,maryland,boston college,1
2013,southern miss,middle tenn,1
2013,tulane,utep,0
2013,notre dame,byu,0
2013,ohio state,indiana,0
2013,minnesota,wisconsin,1
2013,arizona,oregon,0
2013,florida state,idaho,0
2013,lsu,texas am,0
2013,utah state,colorado state,0
2013,washington state,utah,0
2013,penn state,nebraska,1
2013,stanford,california,0
2013,fresno state,new mexico,0
2013,fiu,marshall,1
2013,south alabama,south fla,0
