Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Georgetown (Patriot),11,3-8,31,27,0,0,11,1,248,22.5
William & Mary (CAA),12,7-5,35,31,2,0,9,0,272,22.7
McNeese (Southland),11,6-5,31,29,1,0,11,0,250,22.7
Brown (Ivy League),10,5-5,30,25,0,0,7,1,228,22.8
Dayton (Pioneer),11,8-3,34,27,1,0,6,0,251,22.8
Tennessee St. (OVC),12,6-6,36,30,2,0,8,0,274,22.8
Wofford (SoCon),11,6-5,31,27,1,0,12,1,253,23.0
Colgate (Patriot),12,5-7,33,22,4,0,16,1,278,23.2
Fordham (Patriot),14,11-3,42,30,2,0,13,0,325,23.2
UAlbany (CAA),12,7-5,37,33,1,0,8,0,281,23.4
Youngstown St. (MVFC),12,7-5,36,33,0,0,11,0,282,23.5
Mercer (SoCon),12,6-6,39,35,1,0,6,0,289,24.1
Holy Cross (Patriot),12,4-8,38,35,0,0,9,0,290,24.2
Indiana St. (MVFC),14,8-6,40,34,1,0,21,0,339,24.2
Alabama St. (SWAC),11,7-5,33,25,0,1,14,1,269,24.5
Presbyterian (Big South),11,6-5,36,33,0,0,7,0,270,24.5
N.C. Central (MEAC),12,7-5,41,36,0,0,5,0,297,24.8
Central Conn. St. (NEC),12,3-9,39,32,3,0,9,1,301,25.1
South Dakota St. (MVFC),14,9-5,47,35,3,0,10,1,355,25.4
Richmond (CAA),14,9-5,44,35,4,0,16,0,355,25.4
Eastern Ill. (OVC),12,5-7,37,35,0,0,16,1,307,25.6
Monmouth (Big South),11,6-5,36,32,2,0,10,0,282,25.6
Northern Ariz. (Big Sky),12,7-5,38,35,2,0,13,1,308,25.7
Eastern Ky. (OVC),13,9-4,41,38,1,0,16,1,336,25.8
Missouri St. (MVFC),12,4-8,38,33,3,0,15,0,312,26.0
North Dakota (Big Sky),12,5-7,40,36,0,0,12,1,314,26.2
Florida A&M (MEAC),12,3-9,38,34,1,0,17,0,315,26.3
Southern Ill. (MVFC),12,6-6,39,34,1,0,15,1,317,26.4
Morgan St. (MEAC),13,7-6,44,38,2,0,12,1,344,26.5
Liberty (Big South),14,9-5,50,46,3,0,7,0,373,26.6
Western Caro. (SoCon),12,7-5,39,34,2,0,16,0,320,26.7
San Diego (Pioneer),12,9-3,44,37,0,0,8,0,325,27.1
Western Ill. (MVFC),12,5-7,40,35,1,0,16,1,327,27.3
Delaware (CAA),12,6-6,43,34,1,0,11,0,327,27.3
Texas Southern (SWAC),11,5-6,38,27,1,0,13,2,300,27.3
Jackson St. (SWAC),12,5-7,41,36,0,0,15,2,331,27.6
Butler (Pioneer),11,4-7,40,34,2,0,9,0,305,27.7
Gardner-Webb (Big South),12,4-8,41,33,4,0,16,0,335,27.9
Valparaiso (Pioneer),12,4-8,45,38,1,0,9,0,337,28.1
Sam Houston (Southland),16,11-5,58,51,3,0,15,0,450,28.1
Furman (SoCon),12,3-9,45,41,1,0,9,0,340,28.3
UT Martin (OVC),12,6-6,45,42,0,0,10,0,342,28.5
Towson (CAA),12,4-8,44,38,1,0,12,1,342,28.5
SFA (),13,8-5,48,42,1,0,13,0,371,28.5
Cal Poly (Big Sky),12,7-5,43,41,1,0,14,0,343,28.6
Campbell (Pioneer),12,5-7,45,40,0,0,11,0,343,28.6
Saint Francis (PA) (NEC),11,5-6,42,37,1,0,8,0,315,28.6
The Citadel (SoCon),12,5-7,44,37,2,0,13,0,344,28.7
Princeton (Ivy League),10,5-5,35,33,1,0,14,0,287,28.7
James Madison (CAA),13,9-4,51,45,1,0,8,0,377,29.0
Lamar University (Southland),12,8-4,46,42,0,0,13,0,357,29.8
Yale (Ivy League),10,8-2,40,35,3,0,6,0,299,29.9
Tennessee Tech (OVC),12,5-7,43,43,0,0,19,1,360,30.0
Howard (MEAC),12,5-7,49,41,1,0,9,0,364,30.3
Elon (CAA),12,1-11,47,45,0,0,13,0,366,30.5
Southeast Mo. St. (OVC),12,5-7,50,44,1,0,7,0,367,30.6
Northern Colo. (Big Sky),11,3-8,40,36,1,0,19,1,337,30.6
Weber St. (Big Sky),12,2-10,46,40,1,0,16,1,368,30.7
Hampton (MEAC),12,3-9,50,43,2,0,9,0,374,31.2
Eastern Wash. (Big Sky),14,11-3,57,46,3,0,15,0,439,31.4
Idaho St. (Big Sky),12,8-4,51,45,1,0,8,0,377,31.4
Northwestern St. (Southland),12,6-6,49,45,0,0,13,0,378,31.5
Penn (Ivy League),10,2-8,42,32,4,0,9,0,319,31.9
Grambling (SWAC),12,7-5,50,42,3,0,13,0,387,32.3
Stetson (Pioneer),12,5-7,51,46,0,0,12,0,388,32.3
Delaware St. (MEAC),12,2-10,48,43,2,0,18,0,389,32.4
Alabama A&M (SWAC),12,4-8,54,48,0,0,6,1,392,32.7
Southern U. (SWAC),13,9-4,56,54,1,0,11,0,425,32.7
Lehigh (Patriot),11,3-8,48,39,3,0,10,1,365,33.2
Montana St. (Big Sky),13,8-5,55,44,2,0,17,2,433,33.3
Cornell (Ivy League),10,1-9,46,42,0,0,6,0,336,33.6
Central Ark. (Southland),12,6-6,54,45,2,0,11,0,406,33.8
Portland St. (Big Sky),12,3-9,53,52,1,0,12,0,408,34.0
Rhode Island (CAA),12,1-11,52,49,1,0,14,2,409,34.1
Robert Morris (NEC),11,1-10,44,41,0,0,22,3,377,34.3
Prairie View (SWAC),10,5-5,45,38,0,0,15,0,353,35.3
South Dakota (MVFC),12,2-10,55,51,1,1,14,0,427,35.6
Southern Utah (Big Sky),12,3-9,58,57,1,1,6,0,427,35.6
Sacramento St. (Big Sky),12,7-5,57,51,1,0,12,1,433,36.1
Mississippi Val. (SWAC),11,2-9,53,47,2,0,14,0,411,37.4
UC Davis (Big Sky),11,2-9,55,53,0,0,11,0,416,37.8
Columbia (Ivy League),10,0-10,50,46,1,1,13,0,389,38.9
Ark.-Pine Bluff (SWAC),11,4-7,58,51,1,0,10,0,431,39.2
Davidson (Pioneer),12,1-11,64,56,2,0,11,0,477,39.8
VMI (SoCon),12,2-10,69,64,1,0,5,1,497,41.4
Murray St. (OVC),12,3-9,68,59,2,0,13,0,510,42.5
Morehead St. (Pioneer),12,4-8,70,59,3,1,12,0,523,43.6
Austin Peay (OVC),12,1-11,71,68,1,0,9,0,523,43.6
Savannah St. (MEAC),12,0-12,77,71,1,0,6,2,557,46.4
Houston Christian (Southland),11,2-9,73,66,1,0,6,0,524,47.6
Nicholls (Southland),12,0-12,82,78,2,0,8,2,602,50.2
Abilene Christian (Southland),12,6-6,43,41,1,0,8,0,325,27.1
UIW (Southland),11,2-9,57,54,1,0,6,1,418,38.0
