Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Fordham (Patriot),14,11-3,418:50,29:55
Davidson (Pioneer),12,1-11,358:54,29:54
N.C. Central (MEAC),12,7-5,358:52,29:54
Harvard (Ivy League),10,10-0,298:54,29:53
Dartmouth (Ivy League),10,8-2,298:49,29:52
Savannah St. (MEAC),12,0-12,357:44,29:48
Northern Colo. (Big Sky),11,3-8,327:44,29:47
North Dakota (Big Sky),12,5-7,356:44,29:43
Jacksonville (Pioneer),11,9-2,326:58,29:43
Delaware St. (MEAC),12,2-10,354:55,29:34
Central Conn. St. (NEC),12,3-9,354:50,29:34
South Dakota (MVFC),12,2-10,354:22,29:31
Furman (SoCon),12,3-9,354:21,29:31
New Hampshire (CAA),14,12-2,412:44,29:28
Sacred Heart (NEC),12,9-3,352:58,29:24
Eastern Ill. (OVC),12,5-7,351:54,29:19
UNI (MVFC),14,9-5,410:15,29:18
Southern Ill. (MVFC),12,6-6,351:33,29:17
Mercer (SoCon),12,6-6,351:12,29:16
Nicholls (Southland),12,0-12,351:07,29:15
Coastal Carolina (Big South),14,12-2,409:16,29:14
Holy Cross (Patriot),12,4-8,350:28,29:12
Jackson St. (SWAC),12,5-7,349:30,29:07
Gardner-Webb (Big South),12,4-8,349:09,29:05
Western Caro. (SoCon),12,7-5,348:53,29:04
Western Ill. (MVFC),12,5-7,347:14,28:56
Georgetown (Patriot),11,3-8,318:08,28:55
Weber St. (Big Sky),12,2-10,345:29,28:47
Southern U. (SWAC),13,9-4,374:15,28:47
Portland St. (Big Sky),12,3-9,344:32,28:42
Columbia (Ivy League),10,0-10,286:44,28:40
Eastern Ky. (OVC),13,9-4,372:13,28:37
Delaware (CAA),12,6-6,342:06,28:30
Howard (MEAC),12,5-7,341:50,28:29
Sam Houston (Southland),16,11-5,453:57,28:22
Idaho St. (Big Sky),12,8-4,340:07,28:20
Montana (Big Sky),14,9-5,394:01,28:08
Samford (SoCon),11,7-4,309:15,28:06
Central Ark. (Southland),12,6-6,336:56,28:04
UC Davis (Big Sky),11,2-9,308:33,28:03
Marist (Pioneer),11,4-7,307:19,27:56
South Carolina St. (MEAC),12,8-4,335:12,27:56
Morgan St. (MEAC),13,7-6,362:06,27:51
Grambling (SWAC),12,7-5,334:03,27:50
Indiana St. (MVFC),14,8-6,389:30,27:49
Rhode Island (CAA),12,1-11,332:18,27:41
Penn (Ivy League),10,2-8,276:15,27:37
Tennessee Tech (OVC),12,5-7,331:21,27:36
Alabama St. (SWAC),11,7-5,302:47,27:31
Prairie View (SWAC),10,5-5,274:14,27:25
Elon (CAA),12,1-11,327:20,27:16
Butler (Pioneer),11,4-7,299:24,27:13
Monmouth (Big South),11,6-5,298:08,27:06
Southern Utah (Big Sky),12,3-9,324:52,27:04
Robert Morris (NEC),11,1-10,297:29,27:02
James Madison (CAA),13,9-4,342:57,26:22
Princeton (Ivy League),10,5-5,250:49,25:04
Murray St. (OVC),12,3-9,261:43,21:48
Abilene Christian (Southland),12,6-6,365:10,30:25
UIW (Southland),11,2-9,322:44,29:20
