Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Alabama A&M (SWAC),12,4-8,215,81,0.377
South Dakota (MVFC),12,2-10,170,64,0.376
Penn (Ivy League),10,2-8,168,63,0.375
Western Ill. (MVFC),12,5-7,172,64,0.372
Bethune-Cookman (MEAC),12,9-3,177,65,0.367
Valparaiso (Pioneer),12,4-8,183,67,0.366
Marist (Pioneer),11,4-7,156,57,0.365
N.C. A&T (MEAC),12,9-3,168,61,0.363
Monmouth (Big South),11,6-5,160,58,0.363
UC Davis (Big Sky),11,2-9,127,46,0.362
William & Mary (CAA),12,7-5,163,59,0.362
Portland St. (Big Sky),12,3-9,188,68,0.362
Butler (Pioneer),11,4-7,161,58,0.360
Northern Colo. (Big Sky),11,3-8,153,55,0.359
Lehigh (Patriot),11,3-8,156,56,0.359
Saint Francis (PA) (NEC),11,5-6,156,56,0.359
Florida A&M (MEAC),12,3-9,167,59,0.353
Princeton (Ivy League),10,5-5,153,54,0.353
Lamar University (Southland),12,8-4,166,58,0.349
UNI (MVFC),14,9-5,221,77,0.348
Davidson (Pioneer),12,1-11,190,66,0.347
Cornell (Ivy League),10,1-9,148,51,0.345
Towson (CAA),12,4-8,169,58,0.343
Alabama St. (SWAC),11,7-5,159,54,0.340
Campbell (Pioneer),12,5-7,177,60,0.339
Indiana St. (MVFC),14,8-6,210,71,0.338
Furman (SoCon),12,3-9,163,54,0.331
Weber St. (Big Sky),12,2-10,170,56,0.329
Stetson (Pioneer),12,5-7,168,55,0.327
Wagner (NEC),11,7-4,165,54,0.327
Houston Christian (Southland),11,2-9,165,54,0.327
South Carolina St. (MEAC),12,8-4,163,53,0.325
Presbyterian (Big South),11,6-5,145,47,0.324
Nicholls (Southland),12,0-12,173,56,0.324
Sacred Heart (NEC),12,9-3,204,66,0.324
Stony Brook (CAA),12,5-7,164,53,0.323
Gardner-Webb (Big South),12,4-8,173,55,0.318
Lafayette (Patriot),11,5-6,165,52,0.315
San Diego (Pioneer),12,9-3,165,52,0.315
Georgetown (Patriot),11,3-8,153,48,0.314
Bryant (NEC),11,8-3,170,53,0.312
Tennessee Tech (OVC),12,5-7,177,55,0.311
Central Conn. St. (NEC),12,3-9,164,49,0.299
Jackson St. (SWAC),12,5-7,158,47,0.297
Missouri St. (MVFC),12,4-8,172,51,0.297
Robert Morris (NEC),11,1-10,175,50,0.286
North Dakota (Big Sky),12,5-7,182,51,0.280
Mississippi Val. (SWAC),11,2-9,172,48,0.279
Maine (CAA),11,5-6,166,46,0.277
Columbia (Ivy League),10,0-10,156,43,0.276
Norfolk St. (MEAC),12,4-8,167,46,0.275
Rhode Island (CAA),12,1-11,173,47,0.272
Delaware St. (MEAC),12,2-10,173,47,0.272
Elon (CAA),12,1-11,201,54,0.269
Savannah St. (MEAC),12,0-12,180,47,0.261
Austin Peay (OVC),12,1-11,182,45,0.247
Abilene Christian (Southland),12,6-6,161,63,0.391
UIW (Southland),11,2-9,163,53,0.325
