Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
South Dakota St. (MVFC),14,9-5,932,5262,5.65,44,47,375.9
Indiana St. (MVFC),14,8-6,1047,5262,5.03,38,40,375.9
Colgate (Patriot),12,5-7,847,4517,5.33,31,33,376.4
Youngstown St. (MVFC),12,7-5,806,4531,5.62,36,36,377.6
Presbyterian (Big South),11,6-5,731,4163,5.69,36,36,378.5
Delaware St. (MEAC),12,2-10,821,4544,5.53,37,48,378.7
Liberty (Big South),14,9-5,987,5329,5.40,48,50,380.6
Mercer (SoCon),12,6-6,807,4570,5.66,37,39,380.8
Holy Cross (Patriot),12,4-8,813,4574,5.63,37,38,381.2
Monmouth (Big South),11,6-5,826,4194,5.08,35,36,381.3
Dartmouth (Ivy League),10,8-2,756,3842,5.08,26,27,384.2
Furman (SoCon),12,3-9,835,4636,5.55,44,45,386.3
Southern Ill. (MVFC),12,6-6,853,4648,5.45,35,39,387.3
Missouri St. (MVFC),12,4-8,800,4650,5.81,38,38,387.5
Delaware (CAA),12,6-6,880,4665,5.30,42,43,388.8
Coastal Carolina (Big South),14,12-2,1004,5453,5.43,34,35,389.5
Northern Ariz. (Big Sky),12,7-5,788,4677,5.94,35,38,389.8
William & Mary (CAA),12,7-5,812,4681,5.76,35,35,390.1
Gardner-Webb (Big South),12,4-8,812,4685,5.77,35,41,390.4
Western Ill. (MVFC),12,5-7,853,4698,5.51,40,40,391.5
Hampton (MEAC),12,3-9,840,4758,5.66,48,50,396.5
Stetson (Pioneer),12,5-7,836,4776,5.71,48,51,398.0
Western Caro. (SoCon),12,7-5,837,4857,5.80,37,39,404.8
Campbell (Pioneer),12,5-7,819,4866,5.94,43,45,405.5
Valparaiso (Pioneer),12,4-8,867,4877,5.63,44,45,406.4
SFA (),13,8-5,908,5314,5.85,46,48,408.8
UT Martin (OVC),12,6-6,837,4916,5.87,44,45,409.7
Yale (Ivy League),10,8-2,709,4108,5.79,33,40,410.8
Northwestern St. (Southland),12,6-6,823,4934,6.00,47,49,411.2
Mississippi Val. (SWAC),11,2-9,733,4529,6.18,46,53,411.7
Cal Poly (Big Sky),12,7-5,823,4966,6.03,42,43,413.8
Eastern Ky. (OVC),13,9-4,1018,5394,5.30,37,41,414.9
Howard (MEAC),12,5-7,837,5022,6.00,49,49,418.5
Northern Colo. (Big Sky),11,3-8,778,4611,5.93,38,40,419.2
Alabama St. (SWAC),11,7-5,876,4616,5.27,33,33,419.6
Alabama A&M (SWAC),12,4-8,853,5042,5.91,50,54,420.2
Robert Morris (NEC),11,1-10,795,4623,5.82,40,44,420.3
Elon (CAA),12,1-11,898,5044,5.62,45,47,420.3
Sam Houston (Southland),16,11-5,1214,6737,5.55,57,58,421.1
Southern U. (SWAC),13,9-4,985,5505,5.59,51,56,423.5
Butler (Pioneer),11,4-7,822,4661,5.67,39,40,423.7
James Madison (CAA),13,9-4,989,5523,5.58,50,51,424.8
Southeast Mo. St. (OVC),12,5-7,853,5121,6.00,48,50,426.8
Grambling (SWAC),12,7-5,934,5228,5.60,47,50,435.7
Cornell (Ivy League),10,1-9,697,4405,6.32,44,46,440.5
Eastern Wash. (Big Sky),14,11-3,1011,6185,6.12,56,57,441.8
The Citadel (SoCon),12,5-7,804,5304,6.60,43,44,442.0
Rhode Island (CAA),12,1-11,853,5311,6.23,49,52,442.6
Portland St. (Big Sky),12,3-9,894,5317,5.95,48,53,443.1
Princeton (Ivy League),10,5-5,805,4457,5.54,34,35,445.7
Weber St. (Big Sky),12,2-10,897,5355,5.97,45,46,446.3
Tennessee Tech (OVC),12,5-7,923,5387,5.84,40,43,448.9
Savannah St. (MEAC),12,0-12,820,5398,6.58,70,77,449.8
Ark.-Pine Bluff (SWAC),11,4-7,726,4992,6.88,53,58,453.8
Central Ark. (Southland),12,6-6,937,5487,5.86,52,54,457.3
Davidson (Pioneer),12,1-11,854,5500,6.44,61,64,458.3
Prairie View (SWAC),10,5-5,762,4636,6.08,41,45,463.6
Sacramento St. (Big Sky),12,7-5,857,5594,6.53,55,57,466.2
South Dakota (MVFC),12,2-10,818,5604,6.85,53,55,467.0
Penn (Ivy League),10,2-8,765,4722,6.17,41,42,472.2
Idaho St. (Big Sky),12,8-4,961,5697,5.93,45,51,474.8
Morehead St. (Pioneer),12,4-8,798,5698,7.14,64,70,474.8
Lehigh (Patriot),11,3-8,787,5224,6.64,48,48,474.9
UC Davis (Big Sky),11,2-9,790,5297,6.71,53,55,481.5
Montana St. (Big Sky),13,8-5,943,6317,6.70,53,55,485.9
Columbia (Ivy League),10,0-10,739,4945,6.69,47,50,494.5
Austin Peay (OVC),12,1-11,870,5942,6.83,68,71,495.2
VMI (SoCon),12,2-10,861,5957,6.92,65,69,496.4
Houston Christian (Southland),11,2-9,720,5616,7.80,70,73,510.5
Murray St. (OVC),12,3-9,1038,6135,5.91,64,68,511.3
Southern Utah (Big Sky),12,3-9,965,6282,6.51,55,58,523.5
Nicholls (Southland),12,0-12,913,6461,7.08,79,82,538.4
Abilene Christian (Southland),12,6-6,880,5055,5.74,41,43,421.3
UIW (Southland),11,2-9,778,4672,6.01,53,57,424.7
