Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Marist (Pioneer),11,4-7,5,12,0.417
Sacred Heart (NEC),12,9-3,8,20,0.400
McNeese (Southland),11,6-5,6,15,0.400
Presbyterian (Big South),11,6-5,7,18,0.389
Furman (SoCon),12,3-9,7,18,0.389
Towson (CAA),12,4-8,10,26,0.385
Duquesne (NEC),12,6-6,5,13,0.385
Prairie View (SWAC),10,5-5,8,21,0.381
Mercer (SoCon),12,6-6,8,21,0.381
Delaware St. (MEAC),12,2-10,6,16,0.375
Brown (Ivy League),10,5-5,6,16,0.375
South Dakota (MVFC),12,2-10,6,16,0.375
Cornell (Ivy League),10,1-9,9,25,0.360
Eastern Ky. (OVC),13,9-4,5,14,0.357
San Diego (Pioneer),12,9-3,6,17,0.353
Nicholls (Southland),12,0-12,7,20,0.350
Texas Southern (SWAC),11,5-6,7,20,0.350
VMI (SoCon),12,2-10,7,20,0.350
Robert Morris (NEC),11,1-10,8,23,0.348
Savannah St. (MEAC),12,0-12,9,27,0.333
Stetson (Pioneer),12,5-7,7,21,0.333
Weber St. (Big Sky),12,2-10,7,22,0.318
Southern Utah (Big Sky),12,3-9,6,19,0.316
Rhode Island (CAA),12,1-11,11,35,0.314
South Carolina St. (MEAC),12,8-4,4,13,0.308
Georgetown (Patriot),11,3-8,6,20,0.300
Dartmouth (Ivy League),10,8-2,3,10,0.300
Wagner (NEC),11,7-4,4,14,0.286
South Dakota St. (MVFC),14,9-5,4,14,0.286
Alabama St. (SWAC),11,7-5,2,7,0.286
Norfolk St. (MEAC),12,4-8,5,18,0.278
Mississippi Val. (SWAC),11,2-9,6,22,0.273
Austin Peay (OVC),12,1-11,6,22,0.273
Stony Brook (CAA),12,5-7,4,15,0.267
UC Davis (Big Sky),11,2-9,2,8,0.250
Butler (Pioneer),11,4-7,4,19,0.211
N.C. Central (MEAC),12,7-5,1,13,0.077
Abilene Christian (Southland),12,6-6,7,18,0.389
UIW (Southland),11,2-9,6,17,0.353
