Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Missouri St. (MVFC),12,4-8,67,171,0.392
Sacramento St. (Big Sky),12,7-5,64,163,0.393
William & Mary (CAA),12,7-5,65,163,0.399
Montana (Big Sky),14,9-5,81,203,0.399
Tennessee Tech (OVC),12,5-7,74,184,0.402
Mercer (SoCon),12,6-6,70,173,0.405
Jackson St. (SWAC),12,5-7,71,175,0.406
UT Martin (OVC),12,6-6,74,182,0.407
Towson (CAA),12,4-8,68,167,0.407
Weber St. (Big Sky),12,2-10,73,179,0.408
Delaware (CAA),12,6-6,69,169,0.408
Southern U. (SWAC),13,9-4,89,216,0.412
Penn (Ivy League),10,2-8,60,145,0.414
James Madison (CAA),13,9-4,85,204,0.417
Monmouth (Big South),11,6-5,73,174,0.420
Indiana St. (MVFC),14,8-6,95,226,0.420
Eastern Wash. (Big Sky),14,11-3,88,209,0.421
Central Ark. (Southland),12,6-6,75,178,0.421
Cornell (Ivy League),10,1-9,57,134,0.425
Yale (Ivy League),10,8-2,65,152,0.428
Colgate (Patriot),12,5-7,71,165,0.430
Dartmouth (Ivy League),10,8-2,68,158,0.430
South Dakota (MVFC),12,2-10,66,153,0.431
Wofford (SoCon),11,6-5,63,146,0.432
Northern Colo. (Big Sky),11,3-8,64,148,0.432
Southeast Mo. St. (OVC),12,5-7,75,173,0.434
Cal Poly (Big Sky),12,7-5,70,161,0.435
Montana St. (Big Sky),13,8-5,84,193,0.435
Liberty (Big South),14,9-5,90,205,0.439
Furman (SoCon),12,3-9,77,172,0.448
Southern Ill. (MVFC),12,6-6,82,183,0.448
The Citadel (SoCon),12,5-7,67,148,0.453
Holy Cross (Patriot),12,4-8,78,171,0.456
Northwestern St. (Southland),12,6-6,73,160,0.456
Idaho St. (Big Sky),12,8-4,91,199,0.457
VMI (SoCon),12,2-10,73,158,0.462
Ark.-Pine Bluff (SWAC),11,4-7,56,121,0.463
Rhode Island (CAA),12,1-11,82,177,0.463
Columbia (Ivy League),10,0-10,60,129,0.465
Hampton (MEAC),12,3-9,79,169,0.467
Davidson (Pioneer),12,1-11,74,158,0.468
Austin Peay (OVC),12,1-11,75,159,0.472
UAlbany (CAA),12,7-5,78,165,0.473
Southern Utah (Big Sky),12,3-9,87,184,0.473
Morgan St. (MEAC),13,7-6,96,203,0.473
Western Caro. (SoCon),12,7-5,83,175,0.474
Murray St. (OVC),12,3-9,99,205,0.483
Lehigh (Patriot),11,3-8,80,165,0.485
UC Davis (Big Sky),11,2-9,73,149,0.490
Nicholls (Southland),12,0-12,79,154,0.513
Savannah St. (MEAC),12,0-12,79,154,0.513
Houston Christian (Southland),11,2-9,74,136,0.544
Abilene Christian (Southland),12,6-6,78,184,0.424
UIW (Southland),11,2-9,65,152,0.428
