Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Bucknell (Patriot),11,8-3,39,849,0,21.77
Cornell (Ivy League),10,1-9,19,414,1,21.79
Weber St. (Big Sky),12,2-10,24,525,0,21.88
Missouri St. (MVFC),12,4-8,29,636,0,21.93
North Dakota (Big Sky),12,5-7,33,727,0,22.03
Bethune-Cookman (MEAC),12,9-3,44,973,0,22.11
San Diego (Pioneer),12,9-3,44,975,0,22.16
Prairie View (SWAC),10,5-5,52,1153,2,22.17
Sacramento St. (Big Sky),12,7-5,64,1422,1,22.22
Elon (CAA),12,1-11,33,734,0,22.24
Delaware St. (MEAC),12,2-10,21,469,0,22.33
Wagner (NEC),11,7-4,37,830,0,22.43
Tennessee Tech (OVC),12,5-7,40,904,0,22.60
Southern U. (SWAC),13,9-4,73,1659,2,22.73
Wofford (SoCon),11,6-5,52,1189,1,22.87
Saint Francis (PA) (NEC),11,5-6,34,778,0,22.88
Stetson (Pioneer),12,5-7,46,1054,1,22.91
Liberty (Big South),14,9-5,31,711,0,22.94
Montana (Big Sky),14,9-5,45,1033,0,22.96
Montana St. (Big Sky),13,8-5,53,1221,0,23.04
Portland St. (Big Sky),12,3-9,40,922,1,23.05
Richmond (CAA),14,9-5,58,1337,0,23.05
Jacksonville (Pioneer),11,9-2,37,869,0,23.49
Eastern Ky. (OVC),13,9-4,38,896,2,23.58
Mississippi Val. (SWAC),11,2-9,33,804,2,24.36
Nicholls (Southland),12,0-12,35,859,0,24.54
Houston Christian (Southland),11,2-9,31,768,0,24.77
Alabama A&M (SWAC),12,4-8,42,1043,2,24.83
Maine (CAA),11,5-6,36,916,1,25.44
Howard (MEAC),12,5-7,33,850,0,25.76
Ark.-Pine Bluff (SWAC),11,4-7,40,1039,2,25.98
Abilene Christian (Southland),12,6-6,65,1257,0,19.34
UIW (Southland),11,2-9,26,535,0,20.58
