Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Mercer (SoCon),12,6-6,30,15,5,3,23,0.767
Southern Ill. (MVFC),12,6-6,43,14,8,11,33,0.767
North Dakota (Big Sky),12,5-7,39,11,12,7,30,0.769
Liberty (Big South),14,9-5,52,23,12,5,40,0.769
Delaware St. (MEAC),12,2-10,53,17,10,14,41,0.774
Lehigh (Patriot),11,3-8,49,23,6,9,38,0.776
Wofford (SoCon),11,6-5,41,17,6,9,32,0.780
Holy Cross (Patriot),12,4-8,46,15,15,6,36,0.783
The Citadel (SoCon),12,5-7,51,20,8,12,40,0.784
Howard (MEAC),12,5-7,51,19,14,7,40,0.784
Tennessee Tech (OVC),12,5-7,56,14,14,16,44,0.786
Richmond (CAA),14,9-5,61,21,12,15,48,0.787
Tennessee St. (OVC),12,6-6,33,14,6,6,26,0.788
Dayton (Pioneer),11,8-3,38,15,10,5,30,0.789
Southern Utah (Big Sky),12,3-9,57,24,15,6,45,0.789
Gardner-Webb (Big South),12,4-8,44,13,8,14,35,0.795
UT Martin (OVC),12,6-6,35,11,8,9,28,0.800
Western Ill. (MVFC),12,5-7,55,16,15,13,44,0.800
Bucknell (Patriot),11,8-3,40,17,7,8,32,0.800
N.C. Central (MEAC),12,7-5,40,19,9,4,32,0.800
Stetson (Pioneer),12,5-7,50,17,13,10,40,0.800
Charleston So. (Big South),12,8-4,25,8,7,5,20,0.800
James Madison (CAA),13,9-4,50,23,13,4,40,0.800
Princeton (Ivy League),10,5-5,45,8,14,14,36,0.800
Illinois St. (MVFC),15,13-2,46,18,6,13,37,0.804
Delaware (CAA),12,6-6,52,17,16,9,42,0.808
Towson (CAA),12,4-8,48,22,12,5,39,0.813
Robert Morris (NEC),11,1-10,61,19,11,20,50,0.820
Morgan St. (MEAC),13,7-6,50,24,10,7,41,0.820
Drake (Pioneer),11,7-4,28,11,6,6,23,0.821
SFA (),13,8-5,45,18,9,10,37,0.822
Elon (CAA),12,1-11,57,20,19,8,47,0.825
Columbia (Ivy League),10,0-10,57,19,16,12,47,0.825
Villanova (CAA),14,11-3,46,15,11,12,38,0.826
Missouri St. (MVFC),12,4-8,41,13,11,10,34,0.829
Saint Francis (PA) (NEC),11,5-6,41,15,13,6,34,0.829
Lafayette (Patriot),11,5-6,36,10,7,13,30,0.833
Northern Colo. (Big Sky),11,3-8,42,14,10,11,35,0.833
Montana St. (Big Sky),13,8-5,55,16,17,13,46,0.836
Ark.-Pine Bluff (SWAC),11,4-7,55,23,14,9,46,0.836
Lamar University (Southland),12,8-4,43,15,11,10,36,0.837
William & Mary (CAA),12,7-5,37,11,11,9,31,0.838
Mississippi Val. (SWAC),11,2-9,50,23,6,13,42,0.840
VMI (SoCon),12,2-10,50,29,9,4,42,0.840
Hampton (MEAC),12,3-9,50,24,10,8,42,0.840
Valparaiso (Pioneer),12,4-8,51,24,11,8,43,0.843
McNeese (Southland),11,6-5,32,7,12,8,27,0.844
Davidson (Pioneer),12,1-11,64,30,15,9,54,0.844
Colgate (Patriot),12,5-7,46,14,12,13,39,0.848
North Dakota St. (MVFC),16,15-1,33,10,8,10,28,0.848
Texas Southern (SWAC),11,5-6,40,15,8,11,34,0.850
Northern Ariz. (Big Sky),12,7-5,41,18,6,11,35,0.854
New Hampshire (CAA),14,12-2,48,16,11,14,41,0.854
Sam Houston (Southland),16,11-5,56,18,18,12,48,0.857
Bethune-Cookman (MEAC),12,9-3,35,9,10,11,30,0.857
Morehead St. (Pioneer),12,4-8,50,17,16,10,43,0.860
Portland St. (Big Sky),12,3-9,51,20,12,12,44,0.863
Savannah St. (MEAC),12,0-12,67,35,18,5,58,0.866
Nicholls (Southland),12,0-12,76,44,15,7,66,0.868
Prairie View (SWAC),10,5-5,46,21,7,12,40,0.870
UAlbany (CAA),12,7-5,39,19,8,7,34,0.872
Youngstown St. (MVFC),12,7-5,39,10,14,10,34,0.872
Central Ark. (Southland),12,6-6,57,24,17,9,50,0.877
Furman (SoCon),12,3-9,49,22,14,7,43,0.878
Houston Christian (Southland),11,2-9,50,31,9,4,44,0.880
Monmouth (Big South),11,6-5,43,19,9,10,38,0.884
Northwestern St. (Southland),12,6-6,44,23,8,8,39,0.886
Eastern Wash. (Big Sky),14,11-3,45,16,12,12,40,0.889
Jackson St. (SWAC),12,5-7,37,14,9,10,33,0.892
Jacksonville St. (OVC),12,10-2,37,11,12,10,33,0.892
Southern U. (SWAC),13,9-4,49,15,20,9,44,0.898
Weber St. (Big Sky),12,2-10,40,18,10,8,36,0.900
Cal Poly (Big Sky),12,7-5,42,13,16,9,38,0.905
Samford (SoCon),11,7-4,32,18,5,6,29,0.906
Austin Peay (OVC),12,1-11,65,33,18,8,59,0.908
South Dakota (MVFC),12,2-10,49,20,12,13,45,0.918
Sacramento St. (Big Sky),12,7-5,50,16,20,10,46,0.920
Murray St. (OVC),12,3-9,63,34,18,7,59,0.937
Cornell (Ivy League),10,1-9,37,16,13,6,35,0.946
Abilene Christian (Southland),12,6-6,42,14,9,7,30,0.714
UIW (Southland),11,2-9,45,23,12,4,39,0.867
